Composition,
Date Added,2015-11-07
Formula,
Grain Size Description,<1000.0um
Grain Size,710.0 - 1000.0
Locality,
Minimum Wavelength,300
Sample Name,Gypsum
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Purchased from Wards Natural Sciences. GPS coordinates estimated from Google Earth. Crushed and dry seived.
Sample ID,C1LF04
Original Sample ID,LF-NEB-004
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,598.56
305.0,600.85
310.0,599.21
315.0,603.61
320.0,604.66
325.0,609.67
330.0,612.82
335.0,616.0
340.0,621.12
345.0,624.67
350.0,626.96
355.0,628.98
360.0,631.65
365.0,633.47
370.0,636.42
375.0,638.77
380.0,642.74
385.0,646.52
390.0,657.53
395.0,660.34
400.0,662.46
405.0,664.77
410.0,666.75
415.0,669.42
420.0,672.19
425.0,674.9
430.0,677.69
435.0,680.3
440.0,683.0
445.0,685.32
450.0,687.31
455.0,689.2
460.0,689.71
465.0,692.01
470.0,693.63
475.0,695.12
480.0,695.31
485.0,695.52
490.0,696.86
495.0,699.22
500.0,700.89
505.0,703.7
510.0,704.95
515.0,706.82
520.0,708.83
525.0,711.07
530.0,711.62
535.0,713.35
540.0,715.19
545.0,716.69
550.0,718.4
555.0,720.02
560.0,721.66
565.0,724.29
570.0,724.06
575.0,726.13
580.0,728.04
585.0,728.85
590.0,729.15
595.0,730.05
600.0,731.11
605.0,731.24
610.0,731.23
615.0,731.43
620.0,731.55
625.0,731.87
630.0,731.23
635.0,731.31
640.0,730.77
645.0,731.08
650.0,731.36
655.0,731.02
660.0,730.65
665.0,730.97
670.0,731.29
675.0,730.38
680.0,730.15
685.0,730.35
690.0,730.54
695.0,730.15
700.0,729.01
705.0,729.23
710.0,729.03
715.0,728.14
720.0,727.62
725.0,727.84
730.0,727.43
735.0,726.76
740.0,726.83
745.0,726.51
750.0,725.35
755.0,723.88
760.0,722.81
765.0,721.03
770.0,720.92
775.0,721.07
780.0,719.94
785.0,721.63
790.0,721.58
795.0,721.32
800.0,721.49
805.0,721.37
810.0,722.17
815.0,722.17
820.0,721.52
825.0,721.86
830.0,719.31
835.0,719.52
840.0,718.99
845.0,718.68
850.0,718.23
855.0,719.07
860.0,719.39
865.0,719.55
870.0,719.82
875.0,720.42
880.0,720.63
885.0,720.84
890.0,720.7
895.0,719.95
900.0,718.69
905.0,717.79
910.0,716.49
915.0,715.38
920.0,714.42
925.0,714.04
930.0,713.54
935.0,713.25
940.0,711.39
945.0,708.28
950.0,705.49
955.0,701.33
960.0,698.52
965.0,693.42
970.0,687.14
975.0,681.07
980.0,674.84
985.0,667.76
990.0,662.84
995.0,658.63
1000.0,660.03
1005.0,666.48
1010.0,672.6
1015.0,678.3
1020.0,683.84
1025.0,689.16
1030.0,694.13
1035.0,697.42
1040.0,700.47
1045.0,703.15
1050.0,704.49
1055.0,705.46
1060.0,706.79
1065.0,705.98
1070.0,705.73
1075.0,705.58
1080.0,704.95
1085.0,704.01
1090.0,702.24
1095.0,700.79
1100.0,698.33
1105.0,696.27
1110.0,695.1
1115.0,692.45
1120.0,690.21
1125.0,687.55
1130.0,684.42
1135.0,682.39
1140.0,677.33
1145.0,670.66
1150.0,660.03
1155.0,645.28
1160.0,628.55
1165.0,606.67
1170.0,585.39
1175.0,571.48
1180.0,561.48
1185.0,560.78
1190.0,560.01
1195.0,558.45
1200.0,557.7
1205.0,551.67
1210.0,554.21
1215.0,567.39
1220.0,575.31
1225.0,575.86
1230.0,576.39
1235.0,579.41
1240.0,589.48
1245.0,599.92
1250.0,607.02
1255.0,610.91
1260.0,612.88
1265.0,614.5
1270.0,616.49
1275.0,618.42
1280.0,618.74
1285.0,618.45
1290.0,618.13
1295.0,616.63
1300.0,614.56
1305.0,611.55
1310.0,606.51
1315.0,599.87
1320.0,591.73
1325.0,582.89
1330.0,572.56
1335.0,562.05
1340.0,548.58
1345.0,532.78
1350.0,517.7
1355.0,504.48
1360.0,493.04
1365.0,483.63
1370.0,474.4
1375.0,465.26
1380.0,458.99
1385.0,454.5
1390.0,450.13
1395.0,442.12
1400.0,426.76
1405.0,406.36
1410.0,383.67
1415.0,358.76
1420.0,332.98
1425.0,311.75
1430.0,299.97
1435.0,278.28
1440.0,253.21
1445.0,236.38
1450.0,244.22
1455.0,260.07
1460.0,269.3
1465.0,274.84
1470.0,278.17
1475.0,281.1
1480.0,281.25
1485.0,274.6
1490.0,268.77
1495.0,274.2
1500.0,288.22
1505.0,301.39
1510.0,309.65
1515.0,312.71
1520.0,313.15
1525.0,309.88
1530.0,304.92
1535.0,300.17
1540.0,300.93
1545.0,310.91
1550.0,326.15
1555.0,342.08
1560.0,355.41
1565.0,367.74
1570.0,378.6
1575.0,388.25
1580.0,396.97
1585.0,405.91
1590.0,414.39
1595.0,424.72
1600.0,435.1
1605.0,445.79
1610.0,456.13
1615.0,465.86
1620.0,473.26
1625.0,481.16
1630.0,489.97
1635.0,498.22
1640.0,506.95
1645.0,514.0
1650.0,519.56
1655.0,524.18
1660.0,528.71
1665.0,530.92
1670.0,530.77
1675.0,529.58
1680.0,524.9
1685.0,518.98
1690.0,509.41
1695.0,496.8
1700.0,478.73
1705.0,458.9
1710.0,435.04
1715.0,409.9
1720.0,384.99
1725.0,359.87
1730.0,336.58
1735.0,317.29
1740.0,303.28
1745.0,293.81
1750.0,292.55
1755.0,298.08
1760.0,306.59
1765.0,311.62
1770.0,314.67
1775.0,316.61
1780.0,322.24
1785.0,332.11
