Composition,
Date Added,2010-11-11
Formula,
Grain Size Description,<0.01um
Grain Size,"(0.01, 0.01)"
Locality,Synthetic
Minimum Wavelength,1428
Sample Name,Sample 3 (DMSA + Iron Oxide nanopowder coated with Gentamycin + SMCC)
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Superparamagnetic Iron Oxide Nanoparticles
References,
Resolution,4.0
Material class,Synthetic
Sample Description,"Antibiotics coating on iron oxide nanoparticles for treating infectious tissues or delivering drugs using magnetic field (NSF, Student)"
Sample ID,BMR1NP024
Original Sample ID,NP-TJW-024
Viewing Geometry,unknown
Wavelength,Response
1428.4,0.04207
1428.8,0.04261
1429.2,0.04392
1429.6,0.04328
1430.0,0.04273
1430.4,0.04251
1430.8,0.04163
1431.2,0.04142
1431.6,0.04062
1432.0,0.04113
1432.4,0.04197
1432.8,0.04096
1433.2,0.04032
1433.6,0.04055
1433.9,0.04212
1434.3,0.04209
1434.8,0.04019
1435.1,0.03833
1435.5,0.0385
1435.9,0.03906
1436.3,0.03896
1436.7,0.03924
1437.1,0.04023
1437.5,0.04124
1437.9,0.04069
1438.3,0.03884
1438.7,0.03973
1439.1,0.04001
1439.5,0.0388
1439.9,0.03972
1440.3,0.04081
1440.7,0.04202
1441.1,0.04229
1441.5,0.04055
1441.9,0.03968
1442.3,0.03959
1442.7,0.04043
1443.1,0.04122
1443.5,0.04058
1443.9,0.03985
1444.3,0.04007
1444.7,0.03986
1445.2,0.03865
1445.6,0.03798
1445.9,0.03909
1446.3,0.04037
1446.8,0.0407
1447.2,0.0395
1447.6,0.0379
1448.0,0.03903
1448.4,0.04202
1448.8,0.043
1449.2,0.04166
1449.6,0.04022
1450.0,0.04042
1450.4,0.04073
1450.8,0.03999
1451.2,0.03839
1451.6,0.03781
1452.0,0.03843
1452.4,0.04008
1452.8,0.03995
1453.3,0.03854
1453.7,0.0369
1454.1,0.03852
1454.5,0.04021
1454.9,0.03941
1455.3,0.03948
1455.7,0.04063
1456.1,0.04028
1456.5,0.03965
1456.9,0.03911
1457.3,0.03925
1457.7,0.04029
1458.2,0.04046
1458.6,0.04056
1459.0,0.03964
1459.4,0.03945
1459.8,0.03976
1460.2,0.03932
1460.6,0.03953
1461.0,0.04041
1461.4,0.03894
1461.8,0.03779
1462.3,0.03928
1462.7,0.04151
1463.1,0.0413
1463.5,0.03964
1463.9,0.0393
1464.3,0.03881
1464.7,0.03971
1465.2,0.0412
1465.6,0.03966
1466.0,0.03895
1466.4,0.0391
1466.8,0.03898
1467.2,0.03845
1467.6,0.03767
1468.1,0.03683
1468.5,0.03802
1468.9,0.03929
1469.3,0.03812
1469.7,0.03804
1470.1,0.0383
1470.6,0.03762
1471.0,0.03786
1471.4,0.0397
1471.8,0.04059
1472.2,0.03919
1472.7,0.0387
1473.1,0.03907
1473.5,0.03962
1473.9,0.0386
1474.3,0.03754
1474.7,0.03788
1475.2,0.03797
1475.6,0.03708
1476.0,0.03646
1476.4,0.03655
1476.8,0.03807
1477.3,0.03901
1477.7,0.03858
1478.1,0.03836
1478.5,0.03849
1478.9,0.03836
1479.4,0.03791
1479.8,0.03856
1480.2,0.03859
1480.6,0.03742
1481.1,0.0384
1481.5,0.03788
1481.9,0.03744
1482.3,0.03865
1482.8,0.03924
1483.2,0.03849
1483.6,0.03693
1484.0,0.03579
1484.4,0.03592
1484.9,0.03789
1485.3,0.03973
1485.7,0.03899
1486.2,0.03663
