Composition,
Date Added,2008-06-16
Formula,
Grain Size Description,<0.0um
Grain Size,Whole Object
Locality,"Butler County, Pennsylvania, USA"
Minimum Wavelength,280
Sample Name,Chicora (LL6) chip
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,LL6
References,
Resolution,5.0
Material class,Rock
Sample Description,USNM 1326
Sample ID,C1OC14A
Original Sample ID,OC-TXH-014-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.07825
285.0,0.07976
290.0,0.08032
295.0,0.08068
300.0,0.08112
305.0,0.08191
310.0,0.08345
315.0,0.08619
320.0,0.08924
325.0,0.0928
330.0,0.09682
335.0,0.10124
340.0,0.10617
345.0,0.11128
350.0,0.11673
355.0,0.12274
360.0,0.12899
365.0,0.13467
370.0,0.13945
375.0,0.14346
380.0,0.14675
385.0,0.14951
390.0,0.15096
395.0,0.15255
400.0,0.15329
405.0,0.1543
410.0,0.15644
415.0,0.15762
420.0,0.15829
425.0,0.15905
430.0,0.15948
435.0,0.16003
440.0,0.16031
445.0,0.1601
450.0,0.1595
455.0,0.15974
460.0,0.16029
465.0,0.16099
470.0,0.16128
475.0,0.16222
480.0,0.16312
485.0,0.16336
490.0,0.1635
495.0,0.16353
500.0,0.16411
505.0,0.16452
510.0,0.16536
515.0,0.16577
520.0,0.16609
525.0,0.16628
530.0,0.16627
535.0,0.16622
540.0,0.1663
545.0,0.16648
550.0,0.16677
555.0,0.16727
560.0,0.16732
565.0,0.16709
570.0,0.16708
575.0,0.16689
580.0,0.16666
585.0,0.16653
590.0,0.16627
595.0,0.1662
600.0,0.16589
605.0,0.16557
610.0,0.16513
615.0,0.16481
620.0,0.16505
625.0,0.16497
630.0,0.16479
635.0,0.16454
640.0,0.16458
645.0,0.16456
650.0,0.16439
655.0,0.16416
660.0,0.1639
665.0,0.16387
670.0,0.16426
675.0,0.16449
680.0,0.16474
685.0,0.16451
690.0,0.16432
695.0,0.16409
700.0,0.16385
705.0,0.16338
710.0,0.16303
715.0,0.16275
720.0,0.16218
725.0,0.16181
730.0,0.16113
735.0,0.16058
740.0,0.15999
745.0,0.15945
750.0,0.15855
755.0,0.15804
760.0,0.15722
765.0,0.1555
770.0,0.15463
775.0,0.15363
780.0,0.1527
785.0,0.15159
790.0,0.15055
795.0,0.14936
800.0,0.14774
805.0,0.14671
810.0,0.1457
815.0,0.14461
820.0,0.14336
825.0,0.14222
830.0,0.14098
835.0,0.13977
840.0,0.13853
845.0,0.13748
850.0,0.13631
855.0,0.13565
860.0,0.13447
865.0,0.13338
870.0,0.13259
875.0,0.13173
880.0,0.13117
885.0,0.12983
890.0,0.12968
895.0,0.12922
900.0,0.12853
905.0,0.12831
910.0,0.12775
915.0,0.12776
920.0,0.12737
925.0,0.12686
930.0,0.12667
935.0,0.12612
940.0,0.12533
945.0,0.12505
950.0,0.12395
955.0,0.12363
960.0,0.12322
965.0,0.12281
970.0,0.12194
975.0,0.12147
980.0,0.12098
985.0,0.12085
990.0,0.12026
995.0,0.11952
1000.0,0.11975
1005.0,0.11957
1010.0,0.11917
1015.0,0.1189
1020.0,0.11886
1025.0,0.11883
1030.0,0.11873
1035.0,0.11866
1040.0,0.11865
1045.0,0.11857
1050.0,0.11863
1055.0,0.11867
1060.0,0.11886
1065.0,0.11896
1070.0,0.11947
1075.0,0.11945
1080.0,0.11961
1085.0,0.12
1090.0,0.11996
1095.0,0.12046
1100.0,0.12086
1105.0,0.12102
1110.0,0.12187
1115.0,0.12229
1120.0,0.12274
1125.0,0.12275
1130.0,0.12311
1135.0,0.12357
1140.0,0.12366
1145.0,0.12435
1150.0,0.12439
1155.0,0.1247
1160.0,0.12481
1165.0,0.12496
1170.0,0.12521
1175.0,0.12539
1180.0,0.1256
1185.0,0.12585
1190.0,0.12588
1195.0,0.12564
1200.0,0.12588
1205.0,0.12621
1210.0,0.12612
1215.0,0.12622
1220.0,0.12618
1225.0,0.12616
1230.0,0.12619
1235.0,0.12618
1240.0,0.12616
1245.0,0.12615
1250.0,0.12629
1255.0,0.12652
1260.0,0.1266
1265.0,0.12625
1270.0,0.1266
1275.0,0.12665
1280.0,0.12666
1285.0,0.12663
1290.0,0.12659
1295.0,0.12708
1300.0,0.12717
1305.0,0.12702
1310.0,0.12719
1315.0,0.12768
1320.0,0.12775
1325.0,0.12783
1330.0,0.12792
1335.0,0.12831
1340.0,0.12851
1345.0,0.12842
1350.0,0.12865
1355.0,0.129
1360.0,0.1295
1365.0,0.12909
1370.0,0.12959
1375.0,0.12962
1380.0,0.13024
1385.0,0.12983
1390.0,0.13061
1395.0,0.13063
1400.0,0.13068
1405.0,0.13079
1410.0,0.13079
1415.0,0.13092
1420.0,0.131
1425.0,0.13129
1430.0,0.1316
1435.0,0.13184
1440.0,0.13196
1445.0,0.13219
1450.0,0.13228
1455.0,0.13253
1460.0,0.13266
1465.0,0.13272
1470.0,0.13297
1475.0,0.13309
1480.0,0.13322
1485.0,0.13328
1490.0,0.13339
1495.0,0.13339
1500.0,0.13342
1505.0,0.13308
1510.0,0.13328
1515.0,0.13344
1520.0,0.13361
1525.0,0.13358
1530.0,0.13381
1535.0,0.13376
1540.0,0.13325
1545.0,0.13356
1550.0,0.13319
1555.0,0.13358
1560.0,0.13344
1565.0,0.13324
1570.0,0.13301
1575.0,0.1334
1580.0,0.13295
1585.0,0.1329
1590.0,0.1326
1595.0,0.13294
1600.0,0.13251
1605.0,0.13247
1610.0,0.13243
1615.0,0.13237
1620.0,0.13201
