Composition,
Date Added,2019-04-18
Formula,
Grain Size Description,<0.0um
Grain Size,Whole Object
Locality,"Cunene, Angola"
Minimum Wavelength,250
Sample Name,Ehole (H5) chip irradiated with pulse laser at 20 mJ energy x 2
Maximum Wavelength,2500
Database of Origin,RELAB
Other Information,Laser-irradiated H5
References,
Resolution,5.0
Material class,Rock
Sample Description,"USNM 6612, 6719"
Sample ID,C2OC06A40
Original Sample ID,OC-TXH-006-A40
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
250.0,0.069395
255.0,0.070126
260.0,0.070091
265.0,0.068675
270.0,0.069067
275.0,0.069899
280.0,0.070493
285.0,0.070833
290.0,0.070975
295.0,0.071508
300.0,0.072051
305.0,0.072871
310.0,0.073725
315.0,0.074895
320.0,0.077021
325.0,0.078479
330.0,0.080247
335.0,0.08223
340.0,0.084351
345.0,0.086522
350.0,0.088537
355.0,0.090964
360.0,0.093014
365.0,0.094788
370.0,0.096374
375.0,0.097812
380.0,0.099
385.0,0.099871
390.0,0.102303
395.0,0.103354
400.0,0.104142
405.0,0.105274
410.0,0.106449
415.0,0.107398
420.0,0.108083
425.0,0.108776
430.0,0.109355
435.0,0.110136
440.0,0.110816
445.0,0.111342
450.0,0.111801
455.0,0.112363
460.0,0.113141
465.0,0.113864
470.0,0.114519
475.0,0.115368
480.0,0.116088
485.0,0.116608
490.0,0.11709
495.0,0.117563
500.0,0.118193
505.0,0.118607
510.0,0.119442
515.0,0.12022
520.0,0.120784
525.0,0.121339
530.0,0.121867
535.0,0.122251
540.0,0.122619
545.0,0.123004
550.0,0.123374
555.0,0.123803
560.0,0.124162
565.0,0.124409
570.0,0.124661
575.0,0.124787
580.0,0.125096
585.0,0.125134
590.0,0.125314
595.0,0.125484
600.0,0.12562
605.0,0.12571
610.0,0.125783
615.0,0.1259
620.0,0.126045
625.0,0.126219
630.0,0.126365
635.0,0.126648
640.0,0.126906
645.0,0.127181
650.0,0.127468
655.0,0.127614
660.0,0.127814
665.0,0.128024
670.0,0.128338
675.0,0.128586
680.0,0.128739
685.0,0.128708
690.0,0.128768
695.0,0.128847
700.0,0.12893
705.0,0.128961
710.0,0.129023
715.0,0.129127
720.0,0.129116
725.0,0.129087
730.0,0.128952
735.0,0.128686
740.0,0.128185
745.0,0.128166
750.0,0.12789
755.0,0.127473
760.0,0.126874
765.0,0.126347
770.0,0.125628
775.0,0.124841
780.0,0.123743
785.0,0.122921
790.0,0.121982
795.0,0.120982
800.0,0.120043
805.0,0.11903
810.0,0.117886
815.0,0.116678
820.0,0.115588
825.0,0.114449
830.0,0.11323
835.0,0.112103
840.0,0.111099
845.0,0.109992
850.0,0.10898
855.0,0.107949
860.0,0.107104
865.0,0.106314
870.0,0.105423
875.0,0.10472
880.0,0.104012
885.0,0.103283
890.0,0.102894
895.0,0.102541
900.0,0.102188
905.0,0.10191
910.0,0.101685
915.0,0.101458
920.0,0.101198
925.0,0.10097
930.0,0.100817
935.0,0.100784
940.0,0.100738
945.0,0.100793
950.0,0.100862
955.0,0.101011
960.0,0.101255
965.0,0.101538
970.0,0.101819
975.0,0.102145
980.0,0.102508
985.0,0.102921
990.0,0.103296
995.0,0.103658
1000.0,0.104078
1005.0,0.104511
1010.0,0.104931
1015.0,0.105358
1020.0,0.105813
1025.0,0.106219
1030.0,0.106616
1035.0,0.107046
1040.0,0.107414
1045.0,0.107888
1050.0,0.108353
1055.0,0.108843
1060.0,0.109365
1065.0,0.109803
1070.0,0.110317
1075.0,0.11081
1080.0,0.111197
1085.0,0.111745
1090.0,0.11226
1095.0,0.112845
1100.0,0.113324
1105.0,0.113877
1110.0,0.11431
1115.0,0.114771
1120.0,0.115234
1125.0,0.115754
1130.0,0.116349
1135.0,0.11683
1140.0,0.117147
1145.0,0.117421
1150.0,0.117902
1155.0,0.118218
1160.0,0.118544
1165.0,0.118841
1170.0,0.118999
1175.0,0.119275
1180.0,0.119448
1185.0,0.119578
1190.0,0.119774
1195.0,0.119945
1200.0,0.12029
1205.0,0.120541
1210.0,0.120853
1215.0,0.121092
1220.0,0.121185
1225.0,0.121294
1230.0,0.12144
1235.0,0.12171
1240.0,0.121891
1245.0,0.121926
1250.0,0.122205
1255.0,0.122403
1260.0,0.122633
1265.0,0.122797
1270.0,0.122911
1275.0,0.123085
1280.0,0.123265
1285.0,0.123535
1290.0,0.123786
1295.0,0.124019
