Composition,
Date Added,2003-04-26
Formula,
Grain Size Description,<250.0um
Grain Size,(74.0 - 250.0)
Locality,"Ohaaki Pool, Taupo Volcanic Zone, New Zealand"
Minimum Wavelength,320
Sample Name,NZ341-2
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Opal-A
References,
Resolution,4.0
Material class,Mineral
Sample Description,"Collected by Dr. B. Jones; from 75C water, anaerobic, CO2, H2S; metal are present on order of 100 ppm (e.g., AU and Ag)."
Sample ID,BKR1OP008
Original Sample ID,OP-MCG-008
Viewing Geometry,Unknown
Wavelength,Response
320.0,0.12148
325.0,0.1208
330.0,0.11839
335.0,0.11957
340.0,0.1205
345.0,0.12355
350.0,0.12745
355.0,0.13299
360.0,0.1386
365.0,0.14773
370.0,0.15811
375.0,0.16971
380.0,0.18122
385.0,0.19445
390.0,0.20694
395.0,0.22153
400.0,0.23136
405.0,0.24118
410.0,0.25274
415.0,0.26542
420.0,0.27962
425.0,0.29511
430.0,0.3107
435.0,0.32513
440.0,0.33768
445.0,0.34846
450.0,0.35692
455.0,0.36422
460.0,0.37194
465.0,0.37983
470.0,0.38972
475.0,0.40071
480.0,0.41248
485.0,0.42554
490.0,0.44038
495.0,0.45421
500.0,0.46897
505.0,0.48335
510.0,0.49767
515.0,0.51195
520.0,0.52606
525.0,0.53858
530.0,0.55183
535.0,0.56435
540.0,0.57712
545.0,0.58965
550.0,0.60117
555.0,0.6127
560.0,0.62472
565.0,0.63519
570.0,0.64586
575.0,0.65513
580.0,0.66559
585.0,0.67481
590.0,0.6841
595.0,0.69229
600.0,0.70078
605.0,0.7082
610.0,0.71529
615.0,0.72221
620.0,0.72896
625.0,0.7347
630.0,0.74045
635.0,0.74547
640.0,0.75029
645.0,0.75501
650.0,0.75864
655.0,0.76335
660.0,0.7671
665.0,0.7708
670.0,0.77444
675.0,0.77665
680.0,0.78055
685.0,0.78326
690.0,0.78564
695.0,0.78831
700.0,0.79038
705.0,0.7926
710.0,0.7949
715.0,0.79641
720.0,0.79821
725.0,0.79858
730.0,0.80038
735.0,0.80153
740.0,0.80171
745.0,0.80362
750.0,0.80401
755.0,0.80493
760.0,0.80541
765.0,0.80572
770.0,0.80613
775.0,0.80625
780.0,0.80613
785.0,0.8062
790.0,0.80636
795.0,0.80641
800.0,0.80547
805.0,0.80548
810.0,0.80535
815.0,0.80495
820.0,0.80559
825.0,0.80525
830.0,0.80474
835.0,0.8036
840.0,0.80375
845.0,0.80312
850.0,0.80261
855.0,0.8025
860.0,0.80268
865.0,0.80392
870.0,0.80301
875.0,0.80315
880.0,0.80459
885.0,0.80499
890.0,0.805
895.0,0.80635
900.0,0.80672
905.0,0.80655
910.0,0.80635
915.0,0.80606
920.0,0.80617
925.0,0.80647
930.0,0.807
935.0,0.80751
940.0,0.80781
945.0,0.80808
950.0,0.80843
955.0,0.80908
960.0,0.81046
965.0,0.81075
970.0,0.81206
975.0,0.81299
980.0,0.81479
985.0,0.81609
990.0,0.81779
995.0,0.81914
1000.0,0.82101
1005.0,0.82174
1010.0,0.82328
