Composition,
Date Added,1991-05-30
Formula,
Grain Size Description,<25.0um
Grain Size,"(0.0, 25.0)"
Locality,"Ani-jima, Bonin Islands, Japan"
Minimum Wavelength,300
Sample Name,Ani-jima Bronzite 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Orthopyroxene 
References,
Resolution,5.0
Material class,Mineral
Sample Description,
Sample ID,CAPE40
Original Sample ID,PE-CMP-040-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.09368
305.0,0.09579
310.0,0.09905
315.0,0.10558
320.0,0.11502
325.0,0.12586
330.0,0.13817
335.0,0.15276
340.0,0.16892
345.0,0.18583
350.0,0.20555
355.0,0.22611
360.0,0.24755
365.0,0.26646
370.0,0.28204
375.0,0.29552
380.0,0.30744
385.0,0.3186
390.0,0.3314
395.0,0.34206
400.0,0.35358
405.0,0.36364
410.0,0.37108
415.0,0.38009
420.0,0.3876
425.0,0.39187
430.0,0.39738
435.0,0.40293
440.0,0.40651
445.0,0.40728
450.0,0.41015
455.0,0.41621
460.0,0.42043
465.0,0.42571
470.0,0.43205
475.0,0.43903
480.0,0.44448
485.0,0.45116
490.0,0.45866
495.0,0.46824
500.0,0.47598
505.0,0.47586
510.0,0.49137
515.0,0.50388
520.0,0.51278
525.0,0.51845
530.0,0.52445
535.0,0.52809
540.0,0.52889
545.0,0.52841
550.0,0.52827
555.0,0.53364
560.0,0.538
565.0,0.54103
570.0,0.54305
575.0,0.54516
580.0,0.5462
585.0,0.54641
590.0,0.54764
595.0,0.54601
600.0,0.54696
605.0,0.54628
610.0,0.54722
615.0,0.54741
620.0,0.54812
625.0,0.54902
630.0,0.54929
635.0,0.5494
640.0,0.55184
645.0,0.55228
650.0,0.55367
655.0,0.55506
660.0,0.55661
665.0,0.55754
670.0,0.55934
675.0,0.56216
680.0,0.56316
685.0,0.56314
690.0,0.56544
695.0,0.56625
700.0,0.56771
705.0,0.56894
710.0,0.57119
715.0,0.57174
720.0,0.57286
725.0,0.57228
730.0,0.57287
735.0,0.57227
740.0,0.56932
745.0,0.56692
750.0,0.5634
755.0,0.55807
760.0,0.55465
765.0,0.54785
770.0,0.53928
775.0,0.53145
780.0,0.52209
785.0,0.51039
790.0,0.49969
795.0,0.48765
800.0,0.47525
805.0,0.46264
810.0,0.4493
815.0,0.43478
820.0,0.42011
825.0,0.4067
830.0,0.39326
835.0,0.37857
840.0,0.36634
845.0,0.35288
850.0,0.34113
855.0,0.33019
860.0,0.31839
865.0,0.30811
870.0,0.29921
875.0,0.29021
880.0,0.28243
885.0,0.27594
890.0,0.27073
895.0,0.26597
900.0,0.26119
905.0,0.25892
910.0,0.25561
915.0,0.25419
920.0,0.2542
925.0,0.25463
930.0,0.25617
935.0,0.25872
940.0,0.26134
945.0,0.26578
950.0,0.2707
955.0,0.27675
960.0,0.28389
