Composition,
Date Added,1985-04-03
Formula,
Grain Size Description,<25.0um
Grain Size,"(0.0, 25.0)"
Locality,JSC Lab.
Minimum Wavelength,600
Sample Name,Feldspar 25S
Maximum Wavelength,2500
Database of Origin,RELAB
Other Information,Feldspar Shocked
References,
Resolution,10.0
Material class,Mineral
Sample Description,
Sample ID,CAPF19
Original Sample ID,PF-CMP-019
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
600.0,0.62323
610.0,0.62364
620.0,0.6241
630.0,0.62401
640.0,0.62631
650.0,0.62631
660.0,0.62649
670.0,0.62681
680.0,0.62848
690.0,0.62795
700.0,0.62893
710.0,0.62951
720.0,0.63113
730.0,0.63304
740.0,0.63292
750.0,0.63432
760.0,0.63611
770.0,0.63648
780.0,0.6365
790.0,0.63692
800.0,0.63898
810.0,0.63825
820.0,0.63748
830.0,0.63818
840.0,0.63781
850.0,0.63633
860.0,0.63714
870.0,0.63592
880.0,0.63552
890.0,0.63677
900.0,0.63589
910.0,0.63858
920.0,0.63677
930.0,0.63526
940.0,0.63809
950.0,0.63764
960.0,0.63796
970.0,0.63923
980.0,0.63977
990.0,0.63868
1000.0,0.63813
1010.0,0.63976
1020.0,0.64008
1030.0,0.64193
1040.0,0.63996
1050.0,0.64249
1060.0,0.64249
1070.0,0.64451
1080.0,0.64272
1090.0,0.6441
1100.0,0.64441
1110.0,0.64353
1120.0,0.64466
1130.0,0.6451
1140.0,0.64443
1150.0,0.64513
1160.0,0.64412
1170.0,0.64544
1180.0,0.64603
1190.0,0.64636
1200.0,0.64696
1210.0,0.6439
1220.0,0.64538
1230.0,0.64677
1240.0,0.64671
1250.0,0.64904
1260.0,0.64754
1270.0,0.64617
1280.0,0.64724
1290.0,0.64893
1300.0,0.64765
1310.0,0.6482
1320.0,0.6478
1330.0,0.64992
1340.0,0.6492
1350.0,0.64842
1360.0,0.64872
1370.0,0.64728
1380.0,0.64992
1390.0,0.65305
1400.0,0.64738
1410.0,0.64967
1420.0,0.64899
1430.0,0.65161
1440.0,0.65043
1450.0,0.64965
1460.0,0.64961
1470.0,0.65028
1480.0,0.64903
1490.0,0.65263
1500.0,0.65402
1510.0,0.65482
1520.0,0.6543
1530.0,0.65321
1540.0,0.65799
1550.0,0.65576
1560.0,0.65756
1570.0,0.65726
1580.0,0.65963
1590.0,0.65774
1600.0,0.65796
1610.0,0.65723
1620.0,0.65919
1630.0,0.66001
1640.0,0.66125
1650.0,0.65757
1660.0,0.65833
1670.0,0.6602
1680.0,0.65911
1690.0,0.65764
1700.0,0.6583
1710.0,0.65778
1720.0,0.6573
1730.0,0.65917
1740.0,0.65802
1750.0,0.65922
1760.0,0.65833
1770.0,0.66171
1780.0,0.66066
1790.0,0.65929
1800.0,0.65839
1810.0,0.65875
1820.0,0.6633
1830.0,0.65987
1840.0,0.65473
1850.0,0.65611
1860.0,0.65963
1870.0,0.65577
1880.0,0.65366
1890.0,0.6541
1900.0,0.64737
1910.0,0.64207
1920.0,0.64023
1930.0,0.63693
1940.0,0.63179
1950.0,0.63503
1960.0,0.63804
1970.0,0.63908
1980.0,0.64006
1990.0,0.64424
2000.0,0.64755
2010.0,0.64812
2020.0,0.65214
2030.0,0.65321
2040.0,0.65177
2050.0,0.65515
2060.0,0.65508
2070.0,0.65689
2080.0,0.65975
2090.0,0.66059
2100.0,0.66177
2110.0,0.65885
2120.0,0.66582
2130.0,0.66435
2140.0,0.66377
2150.0,0.66668
2160.0,0.66802
2170.0,0.67186
2180.0,0.66409
2190.0,0.65912
2200.0,0.65957
2210.0,0.65773
2220.0,0.6655
2230.0,0.66252
2240.0,0.66674
2250.0,0.66487
2260.0,0.66332
2270.0,0.66377
2280.0,0.65816
2290.0,0.65561
2300.0,0.65844
2310.0,0.6693
2320.0,0.65729
2330.0,0.6561
2340.0,0.66209
2350.0,0.65913
2360.0,0.65907
2370.0,0.65978
2380.0,0.65615
2390.0,0.65755
2400.0,0.65601
2410.0,0.65422
2420.0,0.6523
2430.0,0.65147
2440.0,0.65322
2450.0,0.64735
2460.0,0.64866
2470.0,0.64383
2480.0,0.64854
2490.0,0.64905
2500.0,0.64862
