Composition,
Date Added,2010-11-16
Formula,
Grain Size Description,<25.0um
Grain Size,0.0 - 25.0
Locality,
Minimum Wavelength,1428
Sample Name,"LEW88180,27 (EH5) <25 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Asteroid-meteorite connection (NASA-F)
Sample ID,BMR1MT123B
Original Sample ID,MT-PFV-123-B
Viewing Geometry,
Wavelength,Response
1428.4,75.06
1428.8,74.83
1429.2,74.57
1429.6,74.93
1430.0,74.89
1430.4,74.63
1430.8,74.77
1431.2,74.96
1431.6,74.77
1432.0,74.78
1432.4,75.14
1432.8,75.02
1433.2,74.5
1433.6,74.46
1433.9,74.93
1434.3,75.25
1434.8,74.94
1435.1,74.9
1435.5,75.14
1435.9,75.29
1436.3,75.47
1436.7,75.54
1437.1,75.62
1437.5,75.42
1437.9,74.92
1438.3,74.97
1438.7,75.16
1439.1,75.07
1439.5,75.25
1439.9,75.68
1440.3,75.8
1440.7,76.16
1441.1,75.98
1441.5,75.36
1441.9,75.42
1442.3,75.46
1442.7,75.14
1443.1,75.22
1443.5,75.25
1443.9,75.09
1444.3,74.9
1444.7,75.12
1445.1,74.85
1445.6,74.86
1445.9,75.01
1446.3,74.81
1446.8,74.85
1447.2,75.12
1447.6,75.54
1448.0,75.68
1448.4,75.12
1448.8,75.02
1449.2,75.46
1449.6,75.38
1450.0,75.46
1450.4,75.85
1450.8,75.89
1451.2,75.82
1451.6,75.73
1452.0,75.71
1452.4,75.31
1452.8,75.18
1453.3,75.55
1453.7,75.39
1454.1,74.99
1454.5,74.88
1454.9,74.65
1455.3,74.65
1455.7,75.45
1456.1,75.69
1456.5,75.46
1456.9,75.31
1457.3,75.33
1457.7,75.07
1458.2,74.64
1458.6,75.0
1459.0,75.57
1459.4,75.4
1459.8,75.19
1460.2,75.3
1460.6,75.49
1461.0,75.53
1461.4,75.27
1461.8,75.13
1462.3,75.47
1462.7,75.81
1463.1,75.46
1463.5,75.22
1463.9,75.08
1464.3,75.13
1464.7,75.52
1465.2,75.62
1465.6,75.41
1466.0,75.33
1466.4,75.36
1466.8,75.39
1467.2,75.61
1467.6,75.78
1468.1,75.71
1468.5,75.48
1468.9,75.56
1469.3,75.56
1469.7,75.45
1470.1,75.13
1470.6,75.14
1471.0,75.57
1471.4,75.48
1471.8,75.28
1472.2,75.27
1472.7,75.63
1473.1,76.0
1473.5,76.1
1473.9,75.7
1474.3,75.31
1474.7,75.39
1475.2,75.85
1475.6,76.18
1476.0,76.08
1476.4,75.45
1476.8,75.05
1477.3,75.37
1477.7,75.26
1478.1,75.27
1478.5,75.19
1478.9,75.2
1479.4,75.13
1479.8,75.2
1480.2,75.48
1480.6,75.38
1481.1,75.46
1481.5,75.85
1481.9,75.78
1482.3,75.48
1482.8,75.46
1483.2,75.47
1483.6,75.58
1484.0,75.51
1484.4,75.46
1484.9,75.47
1485.3,75.85
1485.7,75.83
1486.2,75.64
1486.6,75.88
1487.0,75.91
1487.4,75.57
1487.9,75.52
1488.3,75.55
1488.7,75.66
1489.1,75.59
1489.6,75.55
1490.0,75.47
1490.4,75.24
1490.8,75.3
1491.3,75.2
1491.7,75.5
1492.1,76.08
1492.6,76.28
1493.0,76.09
1493.4,75.7
1493.9,75.32
1494.3,75.32
1494.7,75.56
1495.2,75.6
1495.6,75.48
1496.0,75.74
1496.4,76.06
1496.9,76.08
1497.3,75.91
1497.8,75.88
1498.2,75.8
1498.6,75.75
1499.0,75.61
1499.5,75.7
1499.9,75.93
1500.3,75.95
1500.8,76.0
1501.2,76.03
1501.7,75.93
1502.1,75.81
1502.5,75.61
1502.9,75.55
1503.4,75.5
1503.8,75.57
1504.3,75.77
1504.7,76.13
1505.1,76.15
1505.6,75.91
1506.0,75.82
1506.4,75.86
1506.9,75.84
1507.3,75.46
1507.8,75.33
1508.2,75.89
1508.6,76.0
1509.1,76.12
1509.5,75.93
1510.0,75.61
1510.4,75.55
1510.8,75.39
1511.3,75.57
1511.7,76.1
1512.2,76.19
1512.6,75.97
1513.0,75.69
1513.5,75.86
1513.9,76.13
1514.4,75.74
1514.8,75.66
1515.3,75.82
1515.7,75.78
1516.1,75.78
1516.6,75.89
1517.0,75.82
1517.5,75.56
1517.9,75.45
1518.4,75.7
1518.8,75.74
1519.3,75.63
1519.7,75.79
1520.1,75.8
1520.6,76.09
1521.0,76.31
1521.5,75.94
1521.9,75.59
1522.4,75.63
1522.8,75.87
1523.3,76.02
1523.7,75.78
1524.2,75.7
1524.6,75.72
1525.1,75.54
1525.5,75.57
1526.0,75.78
1526.4,75.67
1526.9,75.69
1527.3,75.91
1527.8,76.29
1528.2,76.38
1528.7,76.11
1529.1,76.05
1529.6,76.03
1530.0,75.97
1530.5,76.07
1530.9,75.82
1531.4,75.69
1531.8,75.68
1532.3,75.68
1532.7,75.71
1533.2,75.92
1533.6,75.95
1534.1,75.88
1534.5,76.15
1535.0,76.18
1535.4,76.08
1535.9,75.87
1536.4,75.75
1536.8,75.59
1537.3,75.59
1537.7,75.78
1538.2,75.95
1538.6,76.16
1539.1,76.24
1539.6,76.12
1540.0,76.15
1540.5,75.82
1540.9,75.67
1541.4,75.92
1541.8,76.1
1542.3,76.19
1542.8,76.09
1543.2,75.93
1543.7,75.82
1544.1,75.74
1544.6,76.0
1545.1,76.08
1545.5,75.73
1546.0,75.6
1546.4,75.98
1546.9,76.41
1547.4,76.47
1547.8,76.33
1548.3,76.19
1548.8,76.24
1549.2,76.13
1549.7,76.29
1550.1,76.29
1550.6,76.24
1551.1,76.29
1551.5,76.12
1552.0,75.99
1552.5,75.86
1552.9,76.03
1553.4,76.19
1553.8,76.25
1554.3,76.18
1554.8,76.18
1555.3,76.42
1555.7,76.39
1556.2,76.17
1556.7,76.17
1557.1,76.3
1557.6,76.36
1558.1,76.27
1558.5,76.37
1559.0,76.48
1559.5,76.4
1559.9,76.29
1560.4,76.11
1560.9,76.19
1561.3,76.35
1561.8,76.18
1562.3,76.15
1562.8,76.36
1563.2,76.42
1563.7,76.24
1564.2,76.16
1564.6,76.3
1565.1,76.43
1565.6,76.29
1566.1,76.25
1566.5,76.35
1567.0,76.35
1567.5,76.17
1567.9,76.2
1568.4,76.17
1568.9,76.13
1569.4,76.32
1569.8,76.36
1570.3,76.22
1570.8,76.19
1571.3,76.11
1571.8,76.29
1572.2,76.36
1572.7,76.3
1573.2,76.36
1573.7,76.34
1574.1,76.42
1574.6,76.43
1575.1,76.37
1575.6,76.37
1576.1,76.36
1576.5,76.19
1577.0,76.14
1577.5,76.21
1578.0,76.22
1578.4,76.25
1578.9,76.39
1579.4,76.37
1579.9,76.29
1580.4,76.3
1580.9,76.58
1581.3,76.74
1581.8,76.52
1582.3,76.4
1582.8,76.45
1583.3,76.52
1583.8,76.46
1584.2,76.23
1584.7,76.31
1585.2,76.54
1585.7,76.48
1586.2,76.41
1586.7,76.46
1587.2,76.6
1587.6,76.67
1588.1,76.54
1588.6,76.39
1589.1,76.27
1589.6,76.51
1590.1,76.46
1590.6,76.46
1591.1,76.63
1591.5,76.37
1592.0,76.31
1592.5,76.6
1593.0,76.58
1593.5,76.37
1594.0,76.42
1594.5,76.56
1595.0,76.65
1595.4,76.72
1595.9,76.82
1596.4,76.71
1596.9,76.51
1597.4,76.41
1597.9,76.33
1598.4,76.45
1598.9,76.64
1599.4,76.57
1599.9,76.61
1600.4,76.62
1600.9,76.72
1601.4,76.81
1601.9,76.65
1602.3,76.74
1602.8,76.76
1603.3,76.57
1603.8,76.75
1604.3,76.81
1604.8,76.74
1605.3,76.71
1605.8,76.57
1606.3,76.73
1606.8,76.83
1607.3,76.78
1607.8,76.79
1608.3,76.63
1608.8,76.52
1609.3,76.57
1609.8,76.62
1610.3,76.65
1610.8,76.72
1611.3,76.9
1611.8,77.02
1612.3,76.9
1612.8,76.82
1613.3,76.83
1613.8,76.72
1614.3,76.71
1614.8,76.77
1615.3,76.81
1615.8,76.76
1616.3,76.95
1616.8,77.09
1617.3,77.01
1617.8,77.01
1618.4,76.96
1618.9,76.94
1619.4,76.88
1619.9,76.79
1620.4,76.84
1620.9,76.95
1621.4,76.89
1621.9,76.89
1622.4,77.02
1622.9,77.12
1623.4,76.99
1623.9,76.92
1624.4,77.1
1624.9,76.89
1625.5,76.66
1626.0,76.63
1626.5,76.76
1627.0,76.9
1627.5,76.94
1628.0,77.08
1628.5,77.16
1629.0,77.13
1629.6,77.06
1630.1,76.88
1630.6,76.84
1631.1,76.89
1631.6,77.0
1632.1,77.1
1632.6,77.15
1633.1,76.96
1633.7,76.75
1634.2,76.83
1634.7,77.27
1635.2,77.21
1635.7,76.93
1636.2,76.97
1636.8,77.06
1637.3,77.13
1637.8,77.09
1638.3,77.06
1638.8,77.07
1639.3,76.94
1639.9,76.95
1640.4,77.15
1640.9,77.28
1641.4,77.3
1641.9,77.23
1642.5,77.13
1643.0,77.26
1643.5,77.17
1644.0,77.1
1644.5,76.96
1645.1,76.99
1645.6,77.09
1646.1,76.94
1646.6,76.91
1647.2,76.95
1647.7,76.96
1648.2,76.98
1648.7,77.15
1649.3,77.19
1649.8,77.19
1650.3,77.39
1650.8,77.51
1651.3,77.46
1651.9,77.22
1652.4,77.16
1652.9,77.22
1653.4,77.23
1654.0,77.18
1654.5,77.16
1655.0,77.09
1655.6,77.27
1656.1,77.43
1656.6,77.39
1657.2,77.38
1657.7,77.42
1658.2,77.39
1658.7,77.31
1659.3,77.32
1659.8,77.4
1660.3,77.46
1660.9,77.31
1661.4,77.25
1661.9,77.32
1662.5,77.3
1663.0,77.33
1663.5,77.42
1664.1,77.43
1664.6,77.41
1665.1,77.44
1665.7,77.39
1666.2,77.38
1666.7,77.4
1667.3,77.3
1667.8,77.32
1668.3,77.39
1668.9,77.28
1669.4,77.29
1670.0,77.48
1670.5,77.6
1671.0,77.51
1671.6,77.43
1672.1,77.48
1672.7,77.6
1673.2,77.6
1673.7,77.56
1674.3,77.63
1674.8,77.52
1675.4,77.45
1675.9,77.49
1676.4,77.54
1677.0,77.49
1677.5,77.44
1678.1,77.48
1678.6,77.43
1679.2,77.48
1679.7,77.64
1680.3,77.73
1680.8,77.59
1681.3,77.46
1681.9,77.48
1682.4,77.55
1683.0,77.51
1683.5,77.45
1684.1,77.55
1684.6,77.73
1685.2,77.67
1685.7,77.71
1686.3,77.86
1686.8,77.83
1687.3,77.7
1687.9,77.57
1688.4,77.54
1689.0,77.72
1689.6,77.73
1690.1,77.66
1690.7,77.79
1691.2,77.81
1691.8,77.65
1692.3,77.71
1692.9,77.8
1693.4,77.77
1694.0,77.75
1694.5,77.76
1695.1,77.77
1695.6,77.7
1696.2,77.63
1696.7,77.63
1697.3,77.77
1697.8,77.87
1698.4,77.9
1699.0,77.98
1699.5,77.9
1700.1,77.79
1700.6,77.79
1701.2,77.8
1701.8,77.96
1702.3,78.0
1702.9,77.87
1703.4,77.82
1704.0,77.76
1704.6,77.66
1705.1,77.84
1705.7,78.05
1706.2,77.95
1706.8,77.93
1707.4,77.97
1707.9,77.91
1708.5,77.9
1709.1,77.93
1709.6,77.95
1710.2,78.06
1710.7,78.01
1711.3,77.83
1711.9,77.84
1712.4,77.94
1713.0,77.91
1713.6,77.94
1714.1,78.06
1714.7,78.02
1715.3,78.01
1715.8,78.0
1716.4,77.88
1717.0,77.98
1717.5,78.07
1718.1,78.04
1718.7,78.03
1719.3,78.12
1719.8,78.21
1720.4,78.2
1721.0,78.12
1721.5,78.12
1722.1,78.12
1722.7,78.06
1723.3,77.96
1723.8,78.03
1724.4,78.15
1725.0,78.11
1725.5,78.05
1726.1,78.07
1726.7,78.21
1727.3,78.2
1727.8,78.17
1728.4,78.25
1729.0,78.3
1729.6,78.29
1730.2,78.21
1730.7,78.12
1731.3,78.18
1731.9,78.24
1732.5,78.21
1733.0,78.16
1733.6,78.14
1734.2,78.21
1734.8,78.23
1735.4,78.33
1735.9,78.42
1736.5,78.34
1737.1,78.31
1737.7,78.31
1738.3,78.26
1738.8,78.25
1739.4,78.25
1740.0,78.3
1740.6,78.3
1741.2,78.25
1741.8,78.25
1742.4,78.25
1742.9,78.32
1743.5,78.36
1744.1,78.49
1744.7,78.44
1745.3,78.28
1745.9,78.28
1746.5,78.4
1747.1,78.42
1747.6,78.28
1748.2,78.37
1748.8,78.42
1749.4,78.36
1750.0,78.38
1750.6,78.35
1751.2,78.33
1751.8,78.34
1752.4,78.3
1753.0,78.37
1753.6,78.46
1754.2,78.51
1754.7,78.5
1755.3,78.45
1755.9,78.41
1756.5,78.45
1757.1,78.37
1757.7,78.33
1758.3,78.33
1758.9,78.37
1759.5,78.49
1760.1,78.58
1760.7,78.6
1761.3,78.62
1761.9,78.69
1762.5,78.68
1763.1,78.63
1763.7,78.59
1764.3,78.61
1764.9,78.62
1765.5,78.56
1766.1,78.64
1766.7,78.7
1767.3,78.6
1767.9,78.55
1768.5,78.62
1769.1,78.61
1769.7,78.58
1770.3,78.65
1770.9,78.73
1771.5,78.76
1772.1,78.71
1772.7,78.7
1773.3,78.74
1773.9,78.73
1774.6,78.7
1775.2,78.7
1775.8,78.75
1776.4,78.71
1777.0,78.7
1777.6,78.69
1778.2,78.67
1778.8,78.68
1779.4,78.93
1780.0,78.91
1780.7,78.7
1781.3,78.75
1781.9,78.85
1782.5,78.85
1783.1,78.82
1783.7,78.76
1784.3,78.78
1784.9,78.84
1785.6,78.81
1786.2,78.68
1786.8,78.62
1787.4,78.69
1788.0,78.79
1788.6,78.88
1789.3,78.86
1789.9,78.78
1790.5,78.76
1791.1,78.78
1791.7,78.81
1792.3,78.78
1793.0,78.81
1793.6,78.93
1794.2,78.97
1794.8,78.85
1795.4,78.77
1796.1,78.79
1796.7,78.92
1797.3,79.01
1797.9,78.95
1798.6,78.89
1799.2,78.87
1799.8,78.96
1800.4,79.0
1801.1,78.99
1801.7,79.05
1802.3,79.05
1802.9,79.08
1803.6,79.0
1804.2,78.92
1804.8,78.97
1805.5,79.05
1806.1,79.04
1806.7,78.99
1807.3,78.97
1808.0,79.05
1808.6,79.14
1809.2,79.16
1809.9,79.11
1810.5,79.08
1811.1,79.08
1811.8,79.07
1812.4,79.01
1813.0,79.1
1813.7,79.19
1814.3,79.09
1814.9,79.1
1815.6,79.1
1816.2,79.1
1816.8,79.18
1817.5,79.19
1818.1,79.05
1818.8,78.94
1819.4,79.01
1820.0,79.12
1820.7,79.19
1821.3,79.18
1821.9,79.15
1822.6,79.19
1823.2,79.24
1823.9,79.22
1824.5,79.18
1825.2,79.18
1825.8,79.2
1826.4,79.22
1827.1,79.22
1827.7,79.17
1828.4,79.19
1829.0,79.23
1829.7,79.2
1830.3,79.14
1831.0,79.23
1831.6,79.31
1832.3,79.28
1832.9,79.22
1833.6,79.17
1834.2,79.16
1834.8,79.26
1835.5,79.28
1836.2,79.28
1836.8,79.33
1837.4,79.36
1838.1,79.37
1838.8,79.35
1839.4,79.34
1840.1,79.34
1840.7,79.41
1841.4,79.4
1842.0,79.39
1842.7,79.37
1843.3,79.3
1844.0,79.36
1844.6,79.35
1845.3,79.3
1845.9,79.26
1846.6,79.2
1847.3,79.28
1847.9,79.37
1848.6,79.33
1849.3,79.34
1849.9,79.43
1850.6,79.48
1851.2,79.5
1851.9,79.49
1852.6,79.51
1853.2,79.53
1853.9,79.41
