Composition,
Date Added,2011-03-01
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,Synthetic
Minimum Wavelength,800
Sample Name,"PL16-b, 45-125 (0.28 wt% FeO)"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Feldspar Plagioclase
References,
Resolution,4.0
Material class,Synthetic
Sample Description,Sintered at 1300 C
Sample ID,BIR1PL136D
Original Sample ID,PL-CMP-136-D
Viewing Geometry,unknown
Wavelength,Response
799.9,0.42669
800.0,0.42359
800.2,0.42331
800.3,0.42335
800.4,0.42339
800.5,0.42325
800.7,0.42503
800.8,0.42524
800.9,0.42364
801.0,0.4222
801.2,0.42184
801.3,0.42193
801.4,0.42239
801.5,0.42245
801.6,0.42197
801.8,0.42342
801.9,0.42486
802.0,0.42459
802.1,0.4249
802.3,0.42461
802.4,0.42388
802.5,0.42417
802.6,0.42375
802.8,0.42393
802.9,0.42489
803.0,0.42291
803.1,0.42306
803.3,0.42387
803.4,0.42184
803.5,0.4215
803.6,0.42343
803.8,0.42286
803.9,0.4182
804.0,0.42036
804.1,0.42372
804.3,0.42367
804.4,0.42436
804.5,0.42549
804.6,0.42403
804.8,0.42208
804.9,0.42214
805.0,0.42321
805.1,0.42378
805.3,0.42333
805.4,0.42193
805.5,0.4199
805.6,0.41932
805.8,0.42002
805.9,0.42143
806.0,0.42094
806.1,0.4206
806.3,0.42311
806.4,0.42344
806.5,0.42239
806.6,0.42271
806.8,0.42158
806.9,0.41991
807.0,0.42116
807.1,0.42372
807.3,0.4238
807.4,0.42363
807.5,0.42339
807.6,0.4218
807.8,0.42078
807.9,0.42181
808.0,0.42236
808.1,0.42123
808.3,0.42131
808.4,0.42233
808.5,0.42219
808.6,0.42201
808.8,0.42154
808.9,0.42211
809.0,0.42319
809.2,0.4229
809.3,0.42403
809.4,0.42566
809.5,0.42235
809.7,0.4191
809.8,0.4204
809.9,0.42201
810.0,0.42136
810.2,0.42015
810.3,0.42001
810.4,0.42033
810.5,0.42126
810.7,0.42251
810.8,0.42321
810.9,0.42287
811.0,0.42186
811.2,0.41943
811.3,0.41802
811.4,0.41799
811.5,0.41851
811.7,0.42083
811.8,0.42272
811.9,0.42014
812.1,0.418
812.2,0.41992
812.3,0.42233
812.4,0.42238
812.6,0.42082
812.7,0.41889
812.8,0.41946
813.0,0.42063
813.1,0.41937
813.2,0.41911
813.3,0.41965
813.5,0.41924
813.6,0.4194
813.7,0.42001
813.8,0.42054
814.0,0.42047
814.1,0.41988
814.2,0.41949
814.4,0.41897
814.5,0.41981
814.6,0.42098
814.7,0.42145
814.9,0.41991
815.0,0.41893
815.1,0.41983
815.3,0.42016
815.4,0.42046
815.5,0.42171
815.6,0.42127
815.8,0.41936
815.9,0.41873
816.0,0.41978
816.2,0.42086
816.3,0.42006
816.4,0.41904
816.5,0.41933
816.7,0.41888
816.8,0.41861
816.9,0.41856
817.0,0.42009
817.2,0.42133
817.3,0.42055
817.4,0.42104
817.6,0.41977
817.7,0.41785
817.8,0.41855
818.0,0.421
818.1,0.42102
818.2,0.41951
818.3,0.41864
818.5,0.41788
818.6,0.41838
818.7,0.41789
818.9,0.41747
819.0,0.41962
819.1,0.42075
819.3,0.42108
819.4,0.42174
819.5,0.42203
819.6,0.42106
819.8,0.42027
819.9,0.42013
820.0,0.41984
820.2,0.4199
820.3,0.42086
820.4,0.42198
820.5,0.42068
820.7,0.41913
820.8,0.41882
820.9,0.42014
821.1,0.41966
821.2,0.41974
821.3,0.41869
821.5,0.41799
821.6,0.41895
821.7,0.41927
821.8,0.41862
822.0,0.41898
822.1,0.419
822.2,0.41824
822.4,0.4184
822.5,0.42
822.6,0.4209
822.8,0.42037
822.9,0.41967
823.0,0.41981
823.2,0.41917
823.3,0.41885
823.4,0.42021
823.5,0.4207
823.7,0.41934
823.8,0.41943
823.9,0.41957
824.1,0.41894
824.2,0.4175
824.3,0.41862
824.5,0.41985
824.6,0.42144
824.7,0.4215
824.8,0.42078
825.0,0.41939
825.1,0.41855
825.3,0.41975
825.4,0.41977
825.5,0.4186
825.6,0.41879
825.8,0.41928
825.9,0.4175
826.0,0.41668
826.2,0.41822
826.3,0.41803
826.4,0.41571
826.6,0.41596
826.7,0.41721
826.8,0.41846
827.0,0.42008
827.1,0.42004
827.2,0.41662
827.3,0.4146
827.5,0.41801
827.6,0.42006
827.8,0.41861
827.9,0.41658
828.0,0.4173
828.2,0.41953
828.3,0.41969
828.4,0.41833
828.5,0.41767
828.7,0.41822
828.8,0.4191
828.9,0.41799
829.1,0.41754
829.2,0.41773
829.3,0.41821
829.5,0.41863
829.6,0.41818
829.7,0.41602
829.9,0.41649
830.0,0.41762
830.1,0.41795
830.3,0.4188
830.4,0.41879
830.5,0.41798
830.7,0.41787
830.8,0.41769
830.9,0.41817
831.1,0.41752
831.2,0.41836
831.3,0.41782
831.5,0.4159
831.6,0.41628
831.7,0.41537
831.9,0.4148
832.0,0.41584
832.1,0.41843
832.3,0.41934
832.4,0.41653
832.5,0.41374
832.7,0.41473
832.8,0.41777
832.9,0.41848
833.1,0.41874
833.2,0.41882
833.3,0.41803
833.5,0.41744
833.6,0.41688
833.7,0.41701
833.9,0.41642
834.0,0.41608
834.1,0.41619
834.3,0.41737
834.4,0.41788
834.5,0.41732
834.7,0.41625
834.8,0.41453
835.0,0.41521
835.1,0.41696
835.2,0.41715
835.3,0.41723
835.5,0.41687
835.6,0.41682
835.8,0.4173
835.9,0.41732
836.0,0.41628
836.2,0.41616
836.3,0.41714
836.4,0.41689
836.6,0.41637
836.7,0.41554
836.8,0.41454
837.0,0.41533
837.1,0.41569
837.2,0.41412
837.4,0.41337
837.5,0.4141
837.6,0.4155
837.8,0.41653
837.9,0.4173
838.0,0.41723
838.2,0.41708
838.3,0.41561
838.5,0.41477
838.6,0.41485
838.7,0.4156
838.9,0.41705
839.0,0.41622
839.1,0.41672
839.3,0.41712
839.4,0.41527
839.5,0.41394
839.7,0.41374
839.8,0.41553
840.0,0.41636
840.1,0.41478
840.2,0.41428
840.4,0.41411
840.5,0.41449
840.6,0.41556
840.8,0.41461
840.9,0.41424
841.0,0.41483
841.2,0.41455
841.3,0.41425
841.5,0.41561
841.6,0.41583
841.7,0.41565
841.9,0.41527
842.0,0.41449
842.1,0.41299
842.3,0.41447
842.4,0.41563
842.5,0.41434
842.7,0.41366
842.8,0.41293
843.0,0.41204
843.1,0.41202
843.2,0.41233
843.4,0.41266
843.5,0.41259
843.6,0.41299
843.8,0.41344
843.9,0.41318
844.0,0.41328
844.2,0.41367
844.3,0.41462
844.5,0.41453
844.6,0.41371
844.7,0.4127
844.9,0.41188
845.0,0.41226
845.2,0.41196
845.3,0.4112
845.4,0.41301
845.6,0.41428
845.7,0.41381
845.8,0.41247
846.0,0.41229
846.1,0.4133
846.3,0.41328
846.4,0.41428
846.5,0.41438
846.7,0.41387
846.8,0.41403
847.0,0.41431
847.1,0.4133
847.2,0.41164
847.4,0.41212
847.5,0.41295
847.6,0.41239
847.8,0.41218
847.9,0.4132
848.1,0.41215
848.2,0.41241
848.3,0.41407
848.5,0.41352
848.6,0.41312
848.8,0.41315
848.9,0.41313
849.0,0.41392
849.2,0.41434
849.3,0.41375
849.5,0.41355
849.6,0.41275
849.7,0.41204
