Composition,
Date Added,2010-11-18
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,Synthetic
Minimum Wavelength,280
Sample Name,PL017_45-125 (0.31 +/- 0.06 wt% FeO)
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Feldspar Plagioclase
References,
Resolution,4.0
Material class,Synthetic
Sample Description,"Sintered at ~1400 C, FeO content from microprobe analyses (2σ=0.06 on reference)"
Sample ID,BKR1PL127D
Original Sample ID,PL-CMP-127-D
Viewing Geometry,unknown
Wavelength,Response
280.0,0.40979
285.0,0.36784
290.0,0.36589
295.0,0.38002
300.0,0.40137
305.0,0.42485
310.0,0.44798
315.0,0.47287
320.0,0.49558
325.0,0.51598
330.0,0.53406
335.0,0.54903
340.0,0.56498
345.0,0.57663
350.0,0.58703
355.0,0.59677
360.0,0.60645
365.0,0.61349
370.0,0.62091
375.0,0.62695
380.0,0.63219
385.0,0.63649
390.0,0.64017
395.0,0.64512
400.0,0.64837
405.0,0.65305
410.0,0.65569
415.0,0.65822
420.0,0.66106
425.0,0.66501
430.0,0.66722
435.0,0.67187
440.0,0.67302
445.0,0.67551
450.0,0.6777
455.0,0.68035
460.0,0.68312
465.0,0.68577
470.0,0.68753
475.0,0.68973
480.0,0.69014
485.0,0.69434
490.0,0.69393
495.0,0.69598
500.0,0.69773
505.0,0.69819
510.0,0.69965
515.0,0.7009
520.0,0.70274
525.0,0.70387
530.0,0.70537
535.0,0.7051
540.0,0.70702
545.0,0.70757
550.0,0.70845
555.0,0.70942
560.0,0.71065
565.0,0.71188
570.0,0.71251
575.0,0.7133
580.0,0.71426
585.0,0.71485
590.0,0.71525
595.0,0.71548
600.0,0.71646
605.0,0.71652
610.0,0.71688
615.0,0.71692
620.0,0.71788
625.0,0.71719
630.0,0.71752
635.0,0.71663
640.0,0.7165
645.0,0.71566
650.0,0.71667
655.0,0.71609
660.0,0.71468
665.0,0.71513
670.0,0.71298
675.0,0.71266
680.0,0.71108
685.0,0.71167
690.0,0.71029
