Composition,
Date Added,2010-11-03
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,Synthetic
Minimum Wavelength,280
Sample Name,PL013_45-125 (0.08 +/- 0.06 wt% FeO)
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Feldspar Plagioclase
References,
Resolution,5.0
Material class,Synthetic
Sample Description,"Sintered at ~1400 C, FeO content from microprobe analyses (2σ=0.06 on reference)"
Sample ID,C1PL123D
Original Sample ID,PL-CMP-123-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.62306
285.0,0.61163
290.0,0.61255
295.0,0.6227
300.0,0.63573
305.0,0.64596
310.0,0.66038
315.0,0.67249
320.0,0.68196
325.0,0.69181
330.0,0.6979
335.0,0.70243
340.0,0.7078
345.0,0.7084
350.0,0.70815
355.0,0.71196
360.0,0.71553
365.0,0.71744
370.0,0.7164
375.0,0.71909
380.0,0.72072
385.0,0.72018
390.0,0.71799
395.0,0.72047
400.0,0.72059
405.0,0.72091
410.0,0.72216
415.0,0.72264
420.0,0.72341
425.0,0.72391
430.0,0.7258
435.0,0.72694
440.0,0.72794
445.0,0.72803
450.0,0.73056
455.0,0.73086
460.0,0.73235
465.0,0.73441
470.0,0.73607
475.0,0.73763
480.0,0.74054
485.0,0.73999
490.0,0.74218
495.0,0.74294
500.0,0.74422
505.0,0.7451
510.0,0.74585
515.0,0.74563
520.0,0.7481
525.0,0.74824
530.0,0.75009
535.0,0.75011
540.0,0.75019
545.0,0.75181
550.0,0.75258
555.0,0.75302
560.0,0.7532
565.0,0.75496
570.0,0.75536
575.0,0.75618
580.0,0.75604
585.0,0.75626
590.0,0.75642
595.0,0.75747
600.0,0.75893
605.0,0.75993
610.0,0.76008
615.0,0.76072
620.0,0.7613
625.0,0.76189
630.0,0.76236
635.0,0.76367
640.0,0.76428
645.0,0.76502
650.0,0.76414
655.0,0.76752
660.0,0.7676
665.0,0.76973
670.0,0.77019
675.0,0.77053
680.0,0.7708
685.0,0.77117
690.0,0.77118
695.0,0.77147
700.0,0.77143
705.0,0.77134
710.0,0.7718
715.0,0.77098
720.0,0.76964
725.0,0.76957
730.0,0.76986
735.0,0.76979
740.0,0.76835
745.0,0.76914
750.0,0.76771
755.0,0.76771
760.0,0.7694
765.0,0.76967
770.0,0.7694
775.0,0.76913
780.0,0.76795
785.0,0.76797
790.0,0.7676
795.0,0.76694
800.0,0.7683
805.0,0.76676
810.0,0.76592
815.0,0.76572
820.0,0.7643
825.0,0.76402
830.0,0.76286
835.0,0.76249
840.0,0.76194
845.0,0.76102
850.0,0.76092
855.0,0.75981
860.0,0.75891
865.0,0.75833
870.0,0.75768
875.0,0.75645
880.0,0.75621
885.0,0.75576
890.0,0.75544
895.0,0.75508
900.0,0.75465
905.0,0.75474
910.0,0.7545
915.0,0.75388
920.0,0.75362
925.0,0.75298
930.0,0.75111
935.0,0.74993
940.0,0.74919
945.0,0.74761
950.0,0.74666
955.0,0.74526
960.0,0.74565
965.0,0.74573
970.0,0.74204
975.0,0.7411
980.0,0.74086
985.0,0.74088
990.0,0.73966
995.0,0.74059
1000.0,0.73689
1005.0,0.73612
1010.0,0.73485
1015.0,0.73378
1020.0,0.73181
1025.0,0.73408
1030.0,0.73225
1035.0,0.73191
1040.0,0.73087
1045.0,0.73025
1050.0,0.72892
1055.0,0.72849
1060.0,0.72793
1065.0,0.72813
1070.0,0.72735
1075.0,0.72717
1080.0,0.72692
1085.0,0.72658
1090.0,0.72572
1095.0,0.72493
1100.0,0.72437
1105.0,0.72373
1110.0,0.72273
1115.0,0.72262
1120.0,0.72259
1125.0,0.72271
1130.0,0.72245
1135.0,0.72335
1140.0,0.7205
1145.0,0.72042
1150.0,0.71937
1155.0,0.71993
1160.0,0.71877
1165.0,0.71972
1170.0,0.71802
1175.0,0.71726
1180.0,0.71779
1185.0,0.71745
1190.0,0.71653
1195.0,0.71934
1200.0,0.71798
1205.0,0.71777
1210.0,0.7166
