Composition,
Date Added,2008-11-05
Formula,
Grain Size Description,<125.0um
Grain Size,(45.0 - 125.0)
Locality,Western US/Mexico
Minimum Wavelength,280
Sample Name,1382a (An 73) 45-125 um
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,"An 73, Feldspar Plagioclase"
References,Milam et al. 2004
Resolution,4.0
Material class,Mineral
Sample Description,Plagioclase series
Sample ID,BKR1PL058
Original Sample ID,PL-HYM-058
Viewing Geometry,Unknown
Wavelength,Response
280.0,0.07063
285.0,0.04872
290.0,0.04547
295.0,0.05111
300.0,0.06554
305.0,0.0914
310.0,0.13146
315.0,0.18322
320.0,0.24303
325.0,0.30284
330.0,0.35669
335.0,0.40469
340.0,0.44374
345.0,0.47274
350.0,0.49671
355.0,0.51451
360.0,0.52877
365.0,0.53939
370.0,0.54728
375.0,0.54743
380.0,0.53505
385.0,0.52972
390.0,0.55144
395.0,0.57537
400.0,0.59039
405.0,0.60088
410.0,0.60564
415.0,0.6067
420.0,0.60491
425.0,0.61081
430.0,0.61841
435.0,0.62488
440.0,0.62793
445.0,0.62856
450.0,0.63259
455.0,0.63825
460.0,0.64543
465.0,0.65139
470.0,0.65609
475.0,0.6592
480.0,0.66179
485.0,0.6641
490.0,0.66684
495.0,0.66927
500.0,0.67222
505.0,0.675
510.0,0.67844
515.0,0.68102
520.0,0.68387
525.0,0.68621
530.0,0.6887
535.0,0.69069
540.0,0.69306
545.0,0.69495
550.0,0.69595
555.0,0.69725
560.0,0.69862
565.0,0.69951
570.0,0.70025
575.0,0.70077
580.0,0.70183
585.0,0.70211
590.0,0.70285
595.0,0.7032
600.0,0.7042
605.0,0.70468
610.0,0.70544
615.0,0.70589
620.0,0.70667
625.0,0.70788
630.0,0.70854
635.0,0.70869
640.0,0.70898
645.0,0.7102
650.0,0.71098
655.0,0.71071
660.0,0.71127
665.0,0.71171
670.0,0.71173
675.0,0.71226
680.0,0.71192
685.0,0.71166
690.0,0.71266
695.0,0.71295
700.0,0.71421
705.0,0.71383
710.0,0.71529
715.0,0.71544
720.0,0.71578
725.0,0.71699
730.0,0.71741
735.0,0.71834
740.0,0.71896
745.0,0.71939
750.0,0.72019
755.0,0.72045
760.0,0.72065
765.0,0.72123
770.0,0.72177
775.0,0.72155
780.0,0.72186
785.0,0.72129
790.0,0.72167
795.0,0.721
800.0,0.72021
805.0,0.71987
810.0,0.71853
815.0,0.71778
820.0,0.71755
825.0,0.7165
830.0,0.71541
835.0,0.71486
840.0,0.71424
845.0,0.71336
