Composition,
Date Added,2015-04-27
Formula,
Grain Size Description,<100.0um
Grain Size,"(0.0, 100.0)"
Locality,"Rio Tinto Mining District, SW Spain"
Minimum Wavelength,833
Sample Name,Q6
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Halloysite Mica Alunite Quartz
References,
Resolution,4.0
Material class,Rock
Sample Description,Acid alteration of rocks
Sample ID,BIR1QQ006
Original Sample ID,QQ-C1M-006
Viewing Geometry,unknown
Wavelength,Response
833.4,0.22772
833.5,0.22694
833.5,0.22879
833.6,0.22874
833.7,0.22873
833.7,0.22851
833.8,0.2262
833.8,0.22475
833.9,0.22617
834.0,0.22725
834.1,0.22694
834.1,0.22752
834.2,0.22826
834.3,0.22905
834.3,0.22968
834.4,0.22931
834.5,0.22749
834.5,0.22636
834.6,0.22639
834.7,0.2271
834.7,0.22863
834.8,0.22909
834.9,0.22848
834.9,0.228
835.0,0.22865
835.1,0.22857
835.1,0.22878
835.2,0.22945
835.3,0.22869
835.3,0.22885
835.4,0.22974
835.5,0.23043
835.5,0.22842
835.6,0.22591
835.7,0.226
835.7,0.22781
835.8,0.22851
835.9,0.22587
835.9,0.22659
836.0,0.22929
836.1,0.22982
836.1,0.22808
836.2,0.22785
836.3,0.22809
836.3,0.22744
836.4,0.22669
836.5,0.22805
836.5,0.22813
836.6,0.22761
836.7,0.22744
836.8,0.22666
836.8,0.22598
836.9,0.2258
837.0,0.22611
837.0,0.22638
837.1,0.22801
837.2,0.22853
837.2,0.22732
837.3,0.22726
837.3,0.22794
837.4,0.22902
837.5,0.22854
837.6,0.22774
837.6,0.22852
837.7,0.22916
837.8,0.22779
837.8,0.22657
837.9,0.22578
838.0,0.22534
838.0,0.22627
838.1,0.22852
838.2,0.23073
838.2,0.22942
838.3,0.22866
838.4,0.22815
838.4,0.22748
838.5,0.22721
838.6,0.22759
838.6,0.22784
838.7,0.22764
838.8,0.22837
838.8,0.22859
838.9,0.22922
839.0,0.22912
839.0,0.22874
839.1,0.22938
839.2,0.22927
839.3,0.2288
839.3,0.22832
839.4,0.22831
839.5,0.22676
839.5,0.226
839.6,0.22656
839.7,0.22815
839.7,0.22824
839.8,0.22945
