Composition,
Date Added,1986-08-13
Formula,
Grain Size Description,<0.0um
Grain Size,Whole Object
Locality,
Minimum Wavelength,350
Sample Name,Basalt Slab #3 roughness 40 um
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Basalt
References,
Resolution,10.0
Material class,Rock
Sample Description, Slab 11 Rough 12 Not rough 13 Not smooth 14 smoo   
Sample ID,C2RB13
Original Sample ID,RB-CMP-013
Viewing Geometry,30.0° / -30.0°
Wavelength,Response
350.0,0.11725
360.0,0.11785
370.0,0.11776
380.0,0.11761
390.0,0.11779
400.0,0.11676
410.0,0.11626
420.0,0.11568
430.0,0.1145
440.0,0.11376
450.0,0.11303
460.0,0.11227
470.0,0.1116
480.0,0.11075
490.0,0.10989
500.0,0.11072
510.0,0.1099
520.0,0.1092
530.0,0.1084
540.0,0.10799
550.0,0.10774
560.0,0.10755
570.0,0.10702
580.0,0.10676
590.0,0.10641
600.0,0.10595
610.0,0.10561
620.0,0.10528
630.0,0.10481
640.0,0.10464
650.0,0.10433
660.0,0.10427
670.0,0.10367
680.0,0.10341
690.0,0.10347
700.0,0.10277
710.0,0.10243
720.0,0.10214
730.0,0.1023
740.0,0.10183
750.0,0.10181
760.0,0.10107
770.0,0.10209
780.0,0.10102
790.0,0.10104
800.0,0.10192
810.0,0.10171
820.0,0.09999
830.0,0.0998
840.0,0.09942
850.0,0.09902
860.0,0.09763
870.0,0.09819
880.0,0.09813
890.0,0.09771
900.0,0.09756
910.0,0.09626
920.0,0.09566
930.0,0.09523
940.0,0.09416
950.0,0.09398
960.0,0.09405
970.0,0.09392
980.0,0.09353
990.0,0.09276
1000.0,0.092
1010.0,0.09174
1020.0,0.09106
1030.0,0.09094
1040.0,0.09102
1050.0,0.09005
1060.0,0.08989
1070.0,0.08981
1080.0,0.08984
1090.0,0.09006
1100.0,0.08991
1110.0,0.08971
1120.0,0.08969
1130.0,0.08966
1140.0,0.08932
1150.0,0.0892
1160.0,0.08886
1170.0,0.08877
1180.0,0.08869
1190.0,0.08872
1200.0,0.08832
1210.0,0.08784
1220.0,0.08742
1230.0,0.08747
1240.0,0.08729
1250.0,0.08688
1260.0,0.08664
1270.0,0.08717
1280.0,0.08662
1290.0,0.08676
1300.0,0.08644
1310.0,0.08646
1320.0,0.08583
1330.0,0.08629
1340.0,0.08646
1350.0,0.08581
1360.0,0.08542
1370.0,0.08517
1380.0,0.08474
1390.0,0.08579
1400.0,0.08579
1410.0,0.08569
1420.0,0.0856
1430.0,0.0855
1440.0,0.08564
1450.0,0.08535
1460.0,0.08511
1470.0,0.0856
1480.0,0.08565
1490.0,0.08557
1500.0,0.08569
1510.0,0.08587
1520.0,0.08602
1530.0,0.08592
1540.0,0.086
1550.0,0.08618
1560.0,0.08606
1570.0,0.08608
1580.0,0.08619
1590.0,0.08606
1600.0,0.08644
1610.0,0.08673
1620.0,0.08599
1630.0,0.0866
1640.0,0.08723
1650.0,0.08647
1660.0,0.08658
1670.0,0.08653
1680.0,0.08666
1690.0,0.087
1700.0,0.08653
1710.0,0.08655
1720.0,0.08652
1730.0,0.08584
1740.0,0.0864
1750.0,0.08635
1760.0,0.08613
1770.0,0.08597
1780.0,0.08609
1790.0,0.08549
1800.0,0.08519
1810.0,0.085
1820.0,0.08418
1830.0,0.08384
1840.0,0.08328
1850.0,0.08305
1860.0,0.08293
1870.0,0.08189
1880.0,0.08375
1890.0,0.08351
1900.0,0.08239
1910.0,0.08206
1920.0,0.08214
1930.0,0.08264
1940.0,0.08232
1950.0,0.08282
1960.0,0.08321
1970.0,0.08332
1980.0,0.08293
1990.0,0.08296
2000.0,0.0824
2010.0,0.0823
2020.0,0.08246
2030.0,0.08194
2040.0,0.08225
2050.0,0.08211
2060.0,0.08267
2070.0,0.08264
2080.0,0.08258
2090.0,0.08337
2100.0,0.08268
2110.0,0.08182
2120.0,0.081
2130.0,0.0806
2140.0,0.08062
2150.0,0.08024
2160.0,0.08031
2170.0,0.08085
2180.0,0.0793
2190.0,0.07926
2200.0,0.07941
2210.0,0.07933
2220.0,0.07943
2230.0,0.07969
2240.0,0.07849
2250.0,0.07856
2260.0,0.07921
2270.0,0.07941
2280.0,0.07869
2290.0,0.07845
2300.0,0.07878
2310.0,0.07882
2320.0,0.0791
2330.0,0.07878
2340.0,0.07849
2350.0,0.07866
2360.0,0.07883
2370.0,0.07872
2380.0,0.0785
2390.0,0.07911
2400.0,0.07942
2410.0,0.0797
2420.0,0.08083
2430.0,0.08018
2440.0,0.0785
2450.0,0.07798
2460.0,0.07697
2470.0,0.07643
2480.0,0.0761
2490.0,0.07635
2500.0,0.0763
2510.0,0.07575
2520.0,0.07588
2530.0,0.07557
2540.0,0.07583
2550.0,0.07513
2560.0,0.07398
2570.0,0.07525
2580.0,0.07441
2590.0,0.07489
2600.0,0.0754
