Composition,
Date Added,1990-09-12
Formula,
Grain Size Description,<500.0um
Grain Size,0.0 - 500.0
Locality,
Minimum Wavelength,300
Sample Name,LL-Playa.p
Maximum Wavelength,2700
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,Powdered playa sample   Collected 7/17/89 
Sample ID,CNV114
Original Sample ID,NV-RBS-114
Viewing Geometry,42.0° / 0.0°
Wavelength,Response
300.0,66.73
305.0,64.15
310.0,72.58
315.0,80.62
320.0,84.75
325.0,91.09
330.0,97.07
335.0,102.41
340.0,106.04
345.0,110.82
350.0,113.56
355.0,116.66
360.0,119.86
365.0,123.35
370.0,128.16
375.0,133.38
380.0,138.73
385.0,146.1
390.0,152.9
395.0,159.5
400.0,165.58
405.0,170.33
410.0,177.12
415.0,182.32
420.0,187.58
425.0,194.25
430.0,201.36
435.0,208.43
440.0,215.84
445.0,223.06
450.0,228.62
455.0,233.95
460.0,237.36
465.0,241.24
470.0,244.09
475.0,247.72
480.0,251.24
485.0,255.85
490.0,260.55
495.0,266.61
500.0,272.3
505.0,279.04
510.0,286.02
515.0,292.51
520.0,300.21
525.0,307.43
530.0,314.82
535.0,322.24
540.0,330.05
545.0,338.55
550.0,345.87
555.0,353.35
560.0,361.2
565.0,369.12
570.0,375.57
575.0,382.74
580.0,387.85
585.0,393.16
590.0,398.06
595.0,401.98
600.0,405.06
605.0,408.48
610.0,410.67
615.0,413.02
620.0,413.51
625.0,416.96
630.0,418.06
635.0,420.93
640.0,422.37
645.0,424.11
650.0,425.92
655.0,429.03
660.0,430.08
665.0,432.89
670.0,434.71
675.0,437.11
680.0,440.32
685.0,443.24
690.0,444.86
695.0,447.51
700.0,450.03
705.0,451.76
710.0,454.37
715.0,456.45
720.0,458.21
725.0,459.7
730.0,462.03
735.0,463.19
740.0,465.1
745.0,465.93
750.0,468.22
755.0,469.17
760.0,470.64
765.0,472.96
770.0,473.92
775.0,476.19
780.0,475.24
785.0,475.84
790.0,477.4
795.0,478.12
800.0,478.17
805.0,479.54
810.0,479.37
815.0,479.89
820.0,478.7
825.0,479.79
830.0,479.29
835.0,480.35
840.0,478.79
845.0,478.22
850.0,478.41
855.0,477.5
860.0,478.27
865.0,477.03
870.0,476.79
875.0,476.84
880.0,477.09
885.0,477.79
890.0,477.62
895.0,478.81
900.0,478.85
905.0,479.33
910.0,477.78
915.0,479.34
920.0,479.47
925.0,479.29
930.0,479.7
935.0,481.52
940.0,481.09
945.0,482.12
950.0,483.34
955.0,485.01
960.0,484.86
965.0,485.4
970.0,485.35
975.0,486.95
980.0,487.56
985.0,488.34
990.0,489.31
995.0,489.17
1000.0,489.42
1005.0,490.53
1010.0,492.24
1015.0,491.94
1020.0,492.75
1025.0,492.14
1030.0,493.48
1035.0,494.93
1040.0,494.5
1045.0,496.12
1050.0,496.31
1055.0,496.26
1060.0,496.92
1065.0,498.27
1070.0,498.61
1075.0,498.75
1080.0,498.16
1085.0,498.24
1090.0,499.19
1095.0,499.67
1100.0,499.67
1105.0,500.53
1110.0,500.88
1115.0,502.13
1120.0,504.15
1125.0,504.3
1130.0,503.5
1135.0,504.39
1140.0,504.3
1145.0,505.39
1150.0,505.84
