Composition,
Date Added,1994-10-25
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"Rte 95, ~6 miles from Quartzite, AZ "
Minimum Wavelength,300
Sample Name,94-27-2 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Varnish 
References,
Resolution,5.0
Material class,Rock
Sample Description,Collected 5-94.Moderately varnished surface   (V) varnished
Sample ID,CVRD01
Original Sample ID,RD-DAC-001-V
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.06564
305.0,0.06602
310.0,0.0658
315.0,0.06757
320.0,0.06902
325.0,0.06988
330.0,0.06954
335.0,0.0708
340.0,0.07079
345.0,0.07148
350.0,0.07233
355.0,0.07326
360.0,0.07332
365.0,0.07459
370.0,0.07558
375.0,0.07612
380.0,0.077
385.0,0.07794
390.0,0.07881
395.0,0.07961
400.0,0.0796
405.0,0.08083
410.0,0.08011
415.0,0.08061
420.0,0.08115
425.0,0.08185
430.0,0.08256
435.0,0.0833
440.0,0.08387
445.0,0.08436
450.0,0.08475
455.0,0.08457
460.0,0.08464
465.0,0.08481
470.0,0.08522
475.0,0.0862
480.0,0.08618
485.0,0.08703
490.0,0.08728
495.0,0.08747
500.0,0.08781
505.0,0.08829
510.0,0.08871
515.0,0.08914
520.0,0.08956
525.0,0.09029
530.0,0.09072
535.0,0.09142
540.0,0.09219
545.0,0.09261
550.0,0.09343
555.0,0.09404
560.0,0.09438
565.0,0.09483
570.0,0.09527
575.0,0.09592
580.0,0.09618
585.0,0.09674
590.0,0.09716
595.0,0.09741
600.0,0.0978
605.0,0.09854
610.0,0.09903
615.0,0.09941
620.0,0.09979
625.0,0.10037
630.0,0.10083
635.0,0.10108
640.0,0.10167
645.0,0.102
650.0,0.10236
655.0,0.10244
660.0,0.10228
665.0,0.10263
670.0,0.10298
675.0,0.10318
680.0,0.10274
685.0,0.10332
690.0,0.10349
695.0,0.10367
700.0,0.1039
705.0,0.1042
710.0,0.104
715.0,0.1041
720.0,0.10366
725.0,0.10467
730.0,0.10513
735.0,0.10497
740.0,0.10587
745.0,0.10626
750.0,0.10674
755.0,0.10652
760.0,0.10729
765.0,0.10709
770.0,0.10763
775.0,0.10735
780.0,0.10837
785.0,0.10913
790.0,0.10864
795.0,0.10896
800.0,0.10989
805.0,0.11002
810.0,0.10965
815.0,0.10984
820.0,0.10967
825.0,0.10946
830.0,0.10953
835.0,0.10928
840.0,0.11012
845.0,0.10988
850.0,0.10984
855.0,0.11005
860.0,0.11019
865.0,0.11011
870.0,0.10945
875.0,0.10997
880.0,0.10974
885.0,0.10963
890.0,0.10971
895.0,0.10961
900.0,0.10994
905.0,0.10952
910.0,0.10993
915.0,0.10986
920.0,0.10997
925.0,0.10992
930.0,0.10995
935.0,0.11028
940.0,0.11079
945.0,0.11087
950.0,0.11066
955.0,0.11119
960.0,0.11138
965.0,0.1117
970.0,0.11185
975.0,0.11231
980.0,0.11255
985.0,0.11271
990.0,0.11305
995.0,0.11332
1000.0,0.11371
1005.0,0.11452
1010.0,0.11449
1015.0,0.11491
1020.0,0.11511
1025.0,0.11519
1030.0,0.11591
1035.0,0.11611
1040.0,0.11627
1045.0,0.11676
1050.0,0.11738
1055.0,0.11744
1060.0,0.11768
1065.0,0.11762
