Composition,
Date Added,1991-11-18
Formula,
Grain Size Description,<850.0um
Grain Size,0.0 - 850.0
Locality,
Minimum Wavelength,1000
Sample Name,Olivine 
Maximum Wavelength,3598
Database of Origin,ReLab
Other Information,
References,
Resolution,0.0
Material Class,Mineral
Sample Description,Separated from mantle xenolith  
Sample ID,N1SS13
Original Sample ID,SS-REA-013
Viewing Geometry,
Wavelength,Response
1000.1,166.33
1000.3,166.8
1000.5,165.76
1000.7,165.15
1000.9,166.39
1001.1,166.37
1001.3,163.77
1001.5,161.85
1001.7,163.72
1001.9,164.25
1002.1,165.41
1002.3,167.62
1002.5,167.18
1002.7,168.36
1002.9,165.64
1003.1,162.63
1003.2,163.16
1003.4,163.56
1003.6,163.02
1003.8,163.52
1004.0,164.71
1004.2,165.13
1004.4,166.7
1004.6,166.6
1004.8,166.33
1005.0,164.83
1005.2,163.74
1005.4,162.96
1005.6,161.04
1005.8,162.11
1006.0,164.2
1006.2,162.32
1006.4,162.07
1006.6,162.39
1006.8,163.02
1006.9,165.23
1007.1,165.11
1007.3,162.67
1007.5,161.36
1007.7,163.03
1007.9,163.4
1008.1,163.45
1008.3,164.11
1008.5,163.18
1008.7,161.32
1008.9,161.55
1009.1,161.4
1009.3,161.14
1009.5,161.62
1009.7,161.31
1009.9,161.5
1010.1,163.12
1010.3,163.11
1010.5,161.96
1010.7,161.82
1010.9,162.15
1011.1,162.18
1011.3,160.77
1011.5,161.62
1011.7,162.32
1011.9,160.83
1012.1,159.88
1012.3,160.21
1012.5,161.42
1012.7,162.35
1012.8,161.77
1013.0,160.4
1013.2,161.02
1013.4,163.57
1013.6,162.92
1013.8,160.79
1014.0,160.52
1014.2,160.61
1014.4,160.65
1014.6,159.38
1014.8,158.98
1015.0,160.57
1015.2,160.99
1015.4,160.4
1015.6,161.79
1015.8,161.18
1016.0,160.14
1016.2,161.81
1016.4,161.61
1016.6,161.44
1016.8,160.36
1017.0,159.46
1017.2,160.03
1017.4,160.13
1017.6,158.92
1017.8,158.48
1018.0,159.33
1018.2,160.45
1018.4,161.15
1018.6,161.6
1018.8,160.43
1019.0,157.98
1019.2,157.76
1019.4,158.97
1019.6,159.54
1019.8,159.83
1020.0,161.44
1020.2,160.83
1020.4,159.65
1020.6,159.59
1020.8,160.45
1021.0,160.01
1021.2,159.03
1021.4,159.02
1021.6,159.47
1021.8,159.65
1022.0,157.23
1022.2,156.39
1022.4,157.11
1022.6,158.21
1022.8,159.02
1023.0,158.63
1023.2,157.42
1023.4,157.83
1023.6,157.76
1023.8,156.9
1024.1,156.4
1024.3,156.48
1024.5,156.29
1024.7,156.79
1024.9,158.82
1025.1,161.21
1025.3,161.24
1025.5,159.67
1025.7,158.39
1025.9,157.07
1026.1,156.55
1026.3,156.51
1026.5,156.41
1026.7,157.62
1026.9,158.51
1027.1,159.27
1027.3,158.98
1027.5,158.71
1027.7,157.33
1027.9,156.21
1028.1,156.05
1028.3,156.99
1028.5,157.02
1028.7,156.0
1028.9,156.68
1029.1,156.97
1029.3,156.77
1029.5,156.57
1029.7,155.44
1029.9,154.31
1030.2,154.98
1030.4,155.26
1030.6,157.36
1030.8,157.94
1031.0,155.87
1031.2,155.62
1031.4,157.46
1031.6,157.52
1031.8,157.44
1032.0,156.86
1032.2,155.78
1032.4,156.1
1032.6,155.97
1032.8,155.01
1033.0,154.58
