Composition,
Date Added,2017-05-11
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,320
Sample Name,MET 01070 IOM fine powder
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Biological
Sample Description,On loan from Conel M. O'D. Alexander
Sample ID,BKR1HK019A
Original Sample ID,HK-REM-019-A
Viewing Geometry,
Wavelength,Response
320.0,10.14
330.0,10.2
340.0,10.28
350.0,10.39
360.0,10.39
370.0,10.47
380.0,10.52
390.0,10.65
400.0,10.74
410.0,10.86
420.0,10.92
430.0,11.04
440.0,11.06
450.0,11.18
460.0,11.23
470.0,11.36
480.0,11.45
490.0,11.51
500.0,11.62
510.0,11.7
520.0,11.74
530.0,11.88
540.0,11.98
550.0,12.06
560.0,12.16
570.0,12.3
580.0,12.36
590.0,12.47
600.0,12.58
610.0,12.67
620.0,12.84
630.0,12.93
640.0,13.07
650.0,13.14
660.0,13.25
670.0,13.28
680.0,13.39
690.0,13.54
700.0,13.56
710.0,13.58
720.0,13.64
730.0,13.78
740.0,13.78
750.0,13.86
760.0,13.84
770.0,14.01
780.0,14.08
790.0,14.17
800.0,14.28
810.0,14.39
820.0,14.47
830.0,14.57
840.0,14.66
850.0,14.7
860.0,14.75
870.0,14.75
880.0,14.82
890.0,14.85
900.0,14.96
910.0,15.01
920.0,15.03
930.0,15.15
940.0,15.07
950.0,15.14
960.0,15.2
970.0,15.25
980.0,15.3
990.0,15.32
1000.0,15.38
1010.0,15.41
1020.0,15.43
1030.0,15.57
1040.0,15.61
1050.0,15.6
1060.0,15.66
1070.0,15.67
1080.0,15.71
1090.0,15.73
1100.0,15.81
1110.0,15.88
1120.0,15.92
1130.0,16.0
1140.0,16.02
1150.0,16.01
1160.0,16.04
1170.0,16.13
1180.0,16.13
1190.0,16.19
1200.0,16.28
1210.0,16.31
1220.0,16.36
1230.0,16.4
1240.0,16.42
1250.0,16.43
1260.0,16.47
1270.0,16.49
1280.0,16.5
1290.0,16.54
1300.0,16.6
1310.0,16.64
1320.0,16.67
1330.0,16.72
1340.0,16.78
1350.0,16.81
1360.0,16.83
1370.0,16.88
1380.0,16.92
1390.0,16.9
1400.0,16.91
1410.0,16.95
1420.0,16.99
1430.0,17.05
1440.0,17.1
1450.0,17.15
1460.0,17.18
1470.0,17.17
1480.0,17.13
1490.0,17.18
1500.0,17.15
1510.0,17.16
1520.0,17.19
1530.0,17.25
1540.0,17.29
1550.0,17.32
1560.0,17.34
1570.0,17.38
1580.0,17.44
1590.0,17.44
1600.0,17.49
1610.0,17.53
1620.0,17.56
1630.0,17.54
1640.0,17.54
1650.0,17.54
1660.0,17.58
1670.0,17.6
1680.0,17.63
1690.0,17.67
1700.0,17.75
1710.0,17.77
1720.0,17.79
1730.0,17.79
1740.0,17.8
1750.0,17.79
1760.0,17.8
1770.0,17.83
1780.0,17.91
1790.0,17.96
1800.0,17.96
1810.0,17.99
1820.0,18.04
1830.0,18.05
1840.0,18.09
1850.0,18.11
1860.0,18.13
1870.0,18.09
1880.0,18.07
1890.0,18.03
1900.0,18.01
1910.0,18.01
1920.0,18.04
1930.0,18.05
1940.0,18.05
1950.0,18.04
1960.0,18.03
1970.0,18.12
1980.0,18.2
1990.0,18.19
2000.0,18.14
2010.0,18.17
2020.0,18.13
2030.0,18.08
2040.0,18.19
2050.0,18.25
2060.0,18.29
2070.0,18.32
2080.0,18.35
2090.0,18.37
2100.0,18.42
2110.0,18.49
2120.0,18.49
2130.0,18.5
2140.0,18.45
2150.0,18.49
2160.0,18.5
2170.0,18.52
2180.0,18.48
2190.0,18.56
2200.0,18.59
2210.0,18.62
2220.0,18.68
2230.0,18.75
2240.0,18.73
2250.0,18.68
2260.0,18.73
2270.0,18.7
2280.0,18.69
2290.0,18.72
2300.0,18.72
2310.0,18.72
2320.0,18.73
2330.0,18.75
2340.0,18.74
