Composition,
Date Added,2017-08-11
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,"QUE 97002,42 <45 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BKR1RM206B
Original Sample ID,RM-REM-206-B
Viewing Geometry,
Wavelength,Response
300.0,119.37
305.0,121.09
310.0,123.61
315.0,126.99
320.0,131.2
325.0,135.1
330.0,139.17
335.0,145.05
340.0,150.67
345.0,157.1
350.0,164.28
355.0,171.79
360.0,179.43
365.0,187.92
370.0,195.86
375.0,203.48
380.0,211.11
385.0,214.8
390.0,222.2
395.0,226.46
400.0,232.19
405.0,236.74
410.0,240.74
415.0,244.64
420.0,247.97
425.0,250.85
430.0,253.67
435.0,256.69
440.0,259.22
445.0,261.86
450.0,264.09
455.0,266.15
460.0,267.95
465.0,269.43
470.0,271.4
475.0,272.6
480.0,273.67
485.0,274.9
490.0,275.97
495.0,277.75
500.0,278.97
505.0,278.34
510.0,278.27
515.0,282.31
520.0,284.62
525.0,286.17
530.0,286.8
535.0,287.93
540.0,288.45
545.0,288.72
550.0,288.89
555.0,290.53
560.0,291.46
565.0,292.44
570.0,293.07
575.0,294.11
580.0,294.63
585.0,295.49
590.0,295.77
595.0,296.64
600.0,297.25
605.0,297.95
610.0,298.46
615.0,299.32
620.0,300.05
625.0,300.89
630.0,301.98
635.0,302.86
640.0,304.38
645.0,305.18
650.0,306.07
655.0,307.49
660.0,308.16
665.0,309.53
670.0,310.24
675.0,311.28
680.0,312.89
685.0,313.34
690.0,314.98
695.0,316.43
700.0,317.41
705.0,318.65
710.0,320.01
715.0,321.67
720.0,321.83
725.0,323.02
730.0,324.63
735.0,325.44
740.0,326.05
745.0,326.4
750.0,326.88
755.0,327.94
760.0,327.59
765.0,327.27
770.0,327.06
775.0,325.97
780.0,324.85
785.0,323.2
790.0,320.9
795.0,318.17
800.0,315.28
805.0,312.11
810.0,308.6
815.0,304.24
820.0,299.83
825.0,295.51
830.0,290.94
835.0,285.93
840.0,280.82
845.0,276.19
850.0,271.0
855.0,266.14
860.0,261.75
865.0,256.96
870.0,252.73
875.0,248.61
880.0,244.64
885.0,239.97
890.0,237.62
895.0,234.28
900.0,231.38
905.0,229.65
910.0,226.99
915.0,225.22
920.0,223.76
925.0,222.94
930.0,222.08
935.0,221.55
940.0,221.71
945.0,222.08
950.0,221.74
955.0,223.81
960.0,225.48
965.0,227.34
970.0,229.52
975.0,232.57
980.0,234.96
985.0,239.09
990.0,243.34
995.0,246.08
1000.0,249.99
1005.0,254.66
1010.0,259.26
1015.0,264.29
1020.0,268.44
1025.0,273.55
1030.0,278.45
1035.0,282.48
1040.0,286.66
1045.0,291.31
1050.0,295.43
1055.0,299.37
1060.0,304.4
1065.0,307.87
1070.0,312.06
1075.0,315.24
1080.0,318.78
1085.0,322.63
1090.0,325.26
1095.0,328.88
1100.0,331.3
1105.0,333.25
1110.0,336.43
1115.0,339.08
1120.0,340.97
1125.0,342.79
1130.0,344.8
1135.0,345.64
1140.0,347.65
1145.0,349.0
1150.0,349.68
1155.0,351.11
1160.0,351.94
1165.0,352.45
1170.0,353.38
1175.0,354.13
1180.0,355.45
1185.0,356.55
1190.0,357.07
1195.0,358.0
1200.0,358.56
1205.0,358.75
1210.0,359.56
1215.0,360.16
1220.0,360.6
1225.0,361.13
1230.0,362.53
1235.0,363.4
1240.0,363.56
1245.0,364.83
1250.0,365.74
1255.0,366.31
1260.0,367.07
1265.0,367.79
1270.0,368.58
1275.0,369.04
1280.0,369.87
1285.0,370.67
1290.0,371.7
1295.0,372.83
1300.0,373.54
1305.0,374.62
1310.0,375.07
1315.0,375.59
1320.0,375.9
1325.0,377.17
1330.0,378.6
1335.0,378.96
1340.0,380.13
1345.0,380.23
1350.0,380.53
1355.0,380.76
1360.0,381.49
1365.0,382.37
1370.0,382.74
1375.0,383.52
1380.0,384.28
1385.0,384.8
1390.0,385.3
1395.0,385.55
1400.0,385.62
1405.0,385.91
1410.0,386.64
1415.0,386.98
1420.0,387.58
1425.0,387.71
1430.0,387.61
1435.0,388.33
1440.0,387.91
1445.0,387.89
1450.0,389.02
1455.0,387.84
1460.0,387.93
1465.0,387.75
1470.0,387.96
1475.0,387.59
1480.0,387.49
1485.0,387.32
1490.0,386.8
1495.0,386.59
1500.0,385.54
1505.0,385.67
1510.0,385.35
1515.0,384.39
1520.0,383.56
1525.0,383.25
1530.0,382.75
1535.0,381.78
1540.0,380.65
1545.0,380.14
1550.0,379.14
1555.0,378.74
1560.0,377.71
1565.0,376.35
1570.0,375.65
1575.0,374.48
1580.0,373.16
1585.0,372.96
1590.0,371.86
1595.0,370.34
1600.0,369.35
1605.0,367.96
1610.0,367.09
1615.0,365.3
1620.0,364.0
1625.0,362.16
1630.0,361.13
1635.0,359.32
1640.0,357.98
1645.0,357.18
