Composition,
Date Added,2017-01-09
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,1428
Sample Name,"EET 87531,137 <45 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BMR1RM195B
Original Sample ID,RM-REM-195-B
Viewing Geometry,
Wavelength,Response
1428.4,289.64
1428.8,290.02
1429.2,291.14
1429.6,290.77
1430.0,290.12
1430.4,289.78
1430.8,289.57
1431.2,289.66
1431.6,289.62
1432.0,289.35
1432.4,289.1
1432.8,288.84
1433.2,288.98
1433.6,289.69
1433.9,289.48
1434.3,289.63
1434.8,290.07
1435.1,289.63
1435.5,289.5
1435.9,289.71
1436.3,290.01
1436.7,290.03
1437.1,289.87
1437.5,289.96
1437.9,289.54
1438.3,289.41
1438.7,290.17
1439.1,290.18
1439.5,289.63
1439.9,289.31
1440.3,289.13
1440.7,288.85
1441.1,289.01
1441.5,289.42
1441.9,289.25
1442.3,289.31
1442.7,289.27
1443.1,289.2
1443.5,288.78
1443.9,288.54
1444.3,288.77
1444.7,289.32
1445.1,289.34
1445.6,289.04
1445.9,288.73
1446.3,289.01
1446.8,289.21
1447.2,289.31
1447.6,289.75
1448.0,289.87
1448.4,289.51
1448.8,288.89
1449.2,288.84
1449.6,288.86
1450.0,289.3
1450.4,289.44
1450.8,289.36
1451.2,289.4
1451.6,288.85
1452.0,288.49
1452.4,288.38
1452.8,288.23
1453.3,287.75
1453.7,287.55
1454.1,288.0
1454.5,288.04
1454.9,287.61
1455.3,287.74
1455.7,288.41
1456.1,288.96
1456.5,288.53
1456.9,287.66
1457.3,287.18
1457.7,287.1
1458.2,287.66
1458.6,288.57
1459.0,288.62
1459.4,288.36
1459.8,288.18
1460.2,287.87
1460.6,288.07
1461.0,287.7
1461.4,287.17
1461.8,287.42
1462.3,287.53
1462.7,287.44
1463.1,287.58
1463.5,287.55
1463.9,287.33
1464.3,287.29
1464.7,287.55
1465.2,287.36
1465.6,287.44
1466.0,287.83
1466.4,287.39
1466.8,287.07
1467.2,287.28
1467.6,287.45
1468.1,287.27
1468.5,287.24
1468.9,287.15
1469.3,287.1
1469.7,287.08
1470.1,287.05
1470.6,287.07
1471.0,286.77
1471.4,286.48
1471.8,287.05
1472.2,287.29
1472.7,286.98
1473.1,286.62
1473.5,286.74
1473.9,287.03
1474.3,286.83
1474.7,286.66
1475.2,286.95
1475.6,287.14
1476.0,286.36
1476.4,285.8
1476.8,286.16
1477.3,286.25
1477.7,286.19
1478.1,286.11
1478.5,285.91
1478.9,285.81
1479.4,285.65
1479.8,285.98
1480.2,285.82
1480.6,285.75
1481.1,285.62
1481.5,285.69
1481.9,286.19
1482.3,286.3
