Composition,
Date Added,2015-07-24
Formula,
Grain Size Description,<1000.0um
Grain Size,0.0 - 1000.0
Locality,
Minimum Wavelength,300
Sample Name,"EET 83246,29 bulk powder"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,HED mixing model study
Sample ID,C1RM127P
Original Sample ID,RM-REM-127-P
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,61.14
305.0,61.57
310.0,63.27
315.0,64.38
320.0,67.52
325.0,69.98
330.0,72.92
335.0,76.25
340.0,81.03
345.0,84.94
350.0,89.5
355.0,94.39
360.0,99.24
365.0,105.01
370.0,110.19
375.0,115.39
380.0,119.03
385.0,123.63
390.0,127.62
395.0,131.56
400.0,136.45
405.0,139.58
410.0,142.12
415.0,145.18
420.0,148.2
425.0,149.08
430.0,152.46
435.0,157.67
440.0,161.86
445.0,165.81
450.0,170.27
455.0,173.17
460.0,176.74
465.0,180.69
470.0,182.23
475.0,186.02
480.0,189.45
485.0,194.28
490.0,199.84
495.0,204.97
500.0,208.98
505.0,206.88
510.0,221.64
515.0,232.53
520.0,241.24
525.0,250.13
530.0,256.96
535.0,263.8
540.0,264.72
545.0,266.32
550.0,269.15
555.0,274.48
560.0,279.4
565.0,282.0
570.0,283.7
575.0,284.81
580.0,286.95
585.0,286.66
590.0,287.7
595.0,288.91
600.0,289.8
605.0,292.07
610.0,294.15
615.0,295.46
620.0,296.66
625.0,299.38
630.0,300.44
635.0,303.1
640.0,305.23
645.0,306.79
650.0,306.78
655.0,308.66
660.0,309.3
665.0,310.37
670.0,310.19
675.0,311.96
680.0,315.35
685.0,317.21
690.0,318.09
695.0,319.29
700.0,320.61
705.0,321.84
710.0,322.6
715.0,323.55
720.0,323.31
725.0,324.13
730.0,320.47
735.0,318.52
740.0,313.6
745.0,307.61
750.0,299.24
755.0,290.16
760.0,277.28
765.0,266.42
770.0,253.34
775.0,241.58
780.0,230.5
785.0,218.33
790.0,205.34
795.0,193.82
800.0,180.58
805.0,169.42
810.0,159.68
815.0,150.77
820.0,143.97
825.0,135.5
830.0,128.47
835.0,122.31
840.0,116.21
845.0,111.09
850.0,105.71
855.0,102.02
860.0,97.93
865.0,95.08
870.0,91.8
875.0,88.06
880.0,86.73
885.0,84.65
890.0,82.81
895.0,82.22
900.0,80.44
905.0,80.06
910.0,79.55
915.0,78.7
920.0,79.3
925.0,79.27
930.0,79.64
935.0,80.11
940.0,80.48
945.0,81.76
950.0,83.33
955.0,84.87
960.0,87.05
965.0,89.07
970.0,91.37
975.0,94.58
980.0,97.82
985.0,102.31
990.0,105.5
995.0,110.62
1000.0,115.24
1005.0,121.38
1010.0,127.52
1015.0,133.72
1020.0,141.51
1025.0,149.09
1030.0,157.64
1035.0,166.76
1040.0,175.5
1045.0,185.07
1050.0,194.92
1055.0,204.73
1060.0,214.0
1065.0,225.02
1070.0,234.76
1075.0,244.29
1080.0,254.64
1085.0,264.16
1090.0,273.06
1095.0,281.57
1100.0,288.82
1105.0,297.35
1110.0,305.03
1115.0,311.27
1120.0,316.95
1125.0,323.32
1130.0,328.75
1135.0,333.66
1140.0,337.39
1145.0,340.66
1150.0,344.72
1155.0,348.59
1160.0,350.37
1165.0,353.67
1170.0,356.39
1175.0,358.5
1180.0,361.63
1185.0,364.49
1190.0,366.59
1195.0,368.78
1200.0,370.19
1205.0,371.87
1210.0,374.42
1215.0,375.71
1220.0,377.31
1225.0,379.25
1230.0,381.53
1235.0,382.68
1240.0,384.74
1245.0,386.29
1250.0,386.3
1255.0,388.62
1260.0,390.76
1265.0,391.89
1270.0,393.66
1275.0,394.53
1280.0,395.34
1285.0,395.83
1290.0,396.41
1295.0,396.76
1300.0,396.67
1305.0,396.37
1310.0,396.11
1315.0,395.74
1320.0,394.84
1325.0,394.09
1330.0,392.6
1335.0,391.77
1340.0,390.44
1345.0,387.87
1350.0,385.62
1355.0,382.2
1360.0,379.49
1365.0,376.45
1370.0,373.31
1375.0,370.48
1380.0,367.13
1385.0,363.31
1390.0,359.44
1395.0,354.71
1400.0,350.06
1405.0,345.48
1410.0,340.97
1415.0,336.23
1420.0,330.9
1425.0,326.52
1430.0,321.61
1435.0,317.1
1440.0,310.78
1445.0,306.13
1450.0,301.35
1455.0,296.61
1460.0,291.33
1465.0,287.09
1470.0,281.4
1475.0,276.72
1480.0,272.45
1485.0,267.37
1490.0,261.36
1495.0,257.07
1500.0,251.79
1505.0,246.95
1510.0,243.35
1515.0,238.01
1520.0,233.77
1525.0,229.41
1530.0,224.78
1535.0,220.67
1540.0,216.73
1545.0,213.06
1550.0,208.58
1555.0,204.58
1560.0,199.3
1565.0,196.33
1570.0,192.47
1575.0,189.03
1580.0,186.33
1585.0,182.14
1590.0,178.33
1595.0,174.74
1600.0,172.05
1605.0,168.46
1610.0,166.33
1615.0,163.57
1620.0,160.56
1625.0,157.17
1630.0,154.71
1635.0,152.58
1640.0,149.96
1645.0,147.1
1650.0,144.78
1655.0,142.11
1660.0,139.83
1665.0,137.44
1670.0,135.69
1675.0,133.43
1680.0,131.05
1685.0,128.83
1690.0,126.84
1695.0,124.7
1700.0,122.57
1705.0,120.81
1710.0,119.04
1715.0,117.38
1720.0,115.76
1725.0,114.48
1730.0,113.03
1735.0,111.69
1740.0,110.45
1745.0,109.41
1750.0,108.4
1755.0,107.44
1760.0,106.48
1765.0,105.38
1770.0,104.48
1775.0,103.4
1780.0,102.28
1785.0,101.29
1790.0,100.36
1795.0,99.29
1800.0,98.49
1805.0,97.6
1810.0,96.88
1815.0,96.07
1820.0,95.33
1825.0,94.42
1830.0,93.79
1835.0,93.26
1840.0,92.74
1845.0,92.27
1850.0,92.03
1855.0,91.63
1860.0,91.24
1865.0,91.13
1870.0,90.94
1875.0,90.73
1880.0,90.6
1885.0,90.24
1890.0,89.62
1895.0,89.28
1900.0,88.89
1905.0,88.83
1910.0,88.98
1915.0,89.38
1920.0,89.8
1925.0,90.17
1930.0,90.26
1935.0,90.47
1940.0,90.59
1945.0,90.78
1950.0,90.92
1955.0,91.11
1960.0,91.42
1965.0,91.88
1970.0,92.18
1975.0,92.44
1980.0,92.64
1985.0,93.08
1990.0,93.5
1995.0,93.79
2000.0,94.43
2005.0,95.27
2010.0,95.84
2015.0,96.52
2020.0,97.21
2025.0,97.96
2030.0,98.61
2035.0,99.35
2040.0,100.21
2045.0,101.12
2050.0,101.97
2055.0,102.88
2060.0,103.72
2065.0,104.83
2070.0,105.87
2075.0,107.01
2080.0,108.22
2085.0,109.51
2090.0,110.64
2095.0,111.92
