Composition,
Date Added,2015-12-13
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,Hisingerite MGIU 400/2 Solberg <45 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,"Eggleton T. and D. Tilley (1998) Hisingerite: A ferric kaolin mineral with curved morphology, Clays and Clay Minerals 46, 400-413."
Resolution,5.0
Material Class,Mineral
Sample Description,Vis-NIR and XRD study of clay minerals on Mars (MDAP)
Sample ID,C1RM134
Original Sample ID,RM-REM-134
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,24.88
305.0,23.53
310.0,22.38
315.0,23.53
320.0,23.58
325.0,23.67
330.0,24.31
335.0,24.63
340.0,25.27
345.0,25.61
350.0,25.31
355.0,25.19
360.0,25.45
365.0,25.94
370.0,26.46
375.0,27.04
380.0,27.81
385.0,28.49
390.0,29.74
395.0,30.36
400.0,31.31
405.0,31.88
410.0,33.24
415.0,32.96
420.0,33.84
425.0,34.31
430.0,34.9
435.0,36.0
440.0,36.83
445.0,37.52
450.0,38.21
455.0,39.82
460.0,40.26
465.0,40.78
470.0,41.85
475.0,42.76
480.0,43.88
485.0,44.7
490.0,45.78
495.0,46.79
500.0,47.97
505.0,49.38
510.0,50.97
515.0,52.23
520.0,53.81
525.0,55.23
530.0,57.22
535.0,58.98
540.0,60.9
545.0,62.67
550.0,64.13
555.0,66.15
560.0,68.14
565.0,69.73
570.0,70.99
575.0,73.37
580.0,75.6
585.0,77.85
590.0,79.87
595.0,81.96
600.0,84.5
605.0,86.59
610.0,88.87
615.0,91.3
620.0,93.64
625.0,96.15
630.0,99.04
635.0,101.87
640.0,104.43
645.0,106.63
650.0,109.17
655.0,111.82
660.0,114.28
665.0,116.84
670.0,119.86
675.0,122.79
680.0,125.67
685.0,128.34
690.0,131.32
695.0,133.71
700.0,136.22
705.0,138.6
710.0,141.22
715.0,143.92
720.0,146.33
725.0,149.14
730.0,151.49
735.0,154.11
740.0,156.63
745.0,158.2
750.0,160.68
755.0,163.67
760.0,165.66
765.0,167.92
770.0,171.21
775.0,174.0
780.0,177.02
785.0,179.65
790.0,182.38
795.0,184.19
800.0,186.94
805.0,189.79
810.0,192.23
815.0,194.74
820.0,197.14
825.0,199.92
830.0,202.08
835.0,204.74
840.0,207.14
845.0,209.1
850.0,210.94
855.0,211.53
860.0,213.49
865.0,215.14
870.0,216.97
875.0,218.37
880.0,220.27
885.0,222.39
890.0,224.53
895.0,227.57
900.0,230.02
905.0,233.39
910.0,235.57
915.0,238.36
920.0,240.61
925.0,243.62
930.0,247.37
935.0,249.41
940.0,251.89
945.0,254.69
950.0,257.1
955.0,260.45
960.0,262.4
965.0,265.42
970.0,268.8
975.0,270.93
980.0,273.64
985.0,276.76
990.0,280.58
995.0,283.12
1000.0,285.73
1005.0,287.89
1010.0,292.18
1015.0,295.38
1020.0,298.63
1025.0,301.86
1030.0,305.56
1035.0,307.47
1040.0,310.58
1045.0,314.26
1050.0,317.23
1055.0,320.66
1060.0,324.0
1065.0,327.48
1070.0,330.97
1075.0,334.62
1080.0,337.66
1085.0,341.6
1090.0,345.0
1095.0,347.83
1100.0,351.75
1105.0,353.96
1110.0,357.46
1115.0,361.42
1120.0,364.37
1125.0,367.86
1130.0,371.25
1135.0,374.7
1140.0,377.93
1145.0,382.49
1150.0,385.24
1155.0,388.98
1160.0,391.91
1165.0,395.99
1170.0,399.9
1175.0,402.37
1180.0,406.56
1185.0,409.64
1190.0,413.53
1195.0,417.74
1200.0,421.54
1205.0,424.86
1210.0,426.85
1215.0,431.77
1220.0,435.04
1225.0,438.02
1230.0,442.88
1235.0,445.73
1240.0,450.73
1245.0,453.84
1250.0,456.26
1255.0,459.5
1260.0,463.04
1265.0,466.65
1270.0,471.28
1275.0,473.99
1280.0,476.85
1285.0,481.57
1290.0,484.4
1295.0,487.79
1300.0,490.86
1305.0,494.38
1310.0,498.08
1315.0,501.51
1320.0,504.4
1325.0,508.22
1330.0,511.11
1335.0,515.14
1340.0,517.6
1345.0,520.99
1350.0,523.03
1355.0,526.96
1360.0,531.14
1365.0,531.49
1370.0,533.55
1375.0,537.1
1380.0,538.84
1385.0,537.86
1390.0,540.18
1395.0,537.4
1400.0,531.31
1405.0,523.58
1410.0,517.24
1415.0,516.13
1420.0,517.97
1425.0,521.72
1430.0,527.12
1435.0,533.3
1440.0,539.21
1445.0,544.23
1450.0,549.44
1455.0,554.17
1460.0,558.89
1465.0,563.5
1470.0,567.38
1475.0,570.79
1480.0,575.03
1485.0,579.51
1490.0,582.55
1495.0,586.81
1500.0,589.6
1505.0,593.26
1510.0,595.7
1515.0,599.75
1520.0,602.36
1525.0,605.19
1530.0,607.59
1535.0,610.8
1540.0,613.08
1545.0,614.82
1550.0,618.45
1555.0,620.26
1560.0,622.53
1565.0,625.68
1570.0,627.06
1575.0,629.79
1580.0,632.39
1585.0,633.71
1590.0,635.27
1595.0,636.66
1600.0,640.38
1605.0,642.21
1610.0,643.8
1615.0,646.1
1620.0,647.1
1625.0,648.81
1630.0,650.35
1635.0,652.81
1640.0,653.3
1645.0,655.07
1650.0,656.49
1655.0,658.7
1660.0,660.22
1665.0,661.43
1670.0,663.02
1675.0,663.73
1680.0,665.0
1685.0,665.89
1690.0,667.38
1695.0,669.15
1700.0,670.84
1705.0,672.02
1710.0,672.8
1715.0,674.07
1720.0,673.25
1725.0,675.46
1730.0,676.47
1735.0,676.56
1740.0,677.12
1745.0,678.92
1750.0,679.36
1755.0,680.7
1760.0,681.85
1765.0,681.38
1770.0,682.75
1775.0,684.02
1780.0,684.37
1785.0,685.64
1790.0,686.81
1795.0,687.15
1800.0,688.12
1805.0,687.94
1810.0,689.33
1815.0,690.39
1820.0,690.31
1825.0,690.44
1830.0,691.07
1835.0,691.8
1840.0,691.48
1845.0,691.66
1850.0,690.6
1855.0,690.37
1860.0,688.49
1865.0,685.19
1870.0,679.21
1875.0,672.02
1880.0,661.14
1885.0,650.03
1890.0,633.67
1895.0,612.15
1900.0,589.32
1905.0,564.74
1910.0,550.21
1915.0,543.72
1920.0,545.19
1925.0,547.9
1930.0,551.27
1935.0,556.74
1940.0,560.49
1945.0,565.92
1950.0,570.3
1955.0,573.49
1960.0,577.8
1965.0,581.96
1970.0,586.52
1975.0,590.07
1980.0,594.67
1985.0,597.51
1990.0,602.75
1995.0,606.86
2000.0,610.06
2005.0,615.08
2010.0,619.02
2015.0,622.74
2020.0,626.76
2025.0,630.48
2030.0,633.51
2035.0,636.61
2040.0,640.23
2045.0,641.66
2050.0,644.12
2055.0,648.02
2060.0,650.33
2065.0,652.78
2070.0,654.34
2075.0,656.92
2080.0,657.93
2085.0,659.22
2090.0,659.67
2095.0,661.3
2100.0,662.03
2105.0,662.76
2110.0,663.68
2115.0,663.12
2120.0,664.16
2125.0,665.82
2130.0,665.37
2135.0,666.72
2140.0,666.02
2145.0,667.37
2150.0,666.72
2155.0,666.85
2160.0,666.61
2165.0,666.14
2170.0,666.27
2175.0,664.53
2180.0,662.45
2185.0,661.68
2190.0,661.03
2195.0,659.04
2200.0,656.34
2205.0,654.34
2210.0,649.74
2215.0,646.78
2220.0,642.26
2225.0,637.2
2230.0,632.11
2235.0,625.31
2240.0,619.23
2245.0,612.62
2250.0,604.16
2255.0,596.49
2260.0,589.11
2265.0,582.61
2270.0,575.62
2275.0,569.92
2280.0,564.44
2285.0,558.99
2290.0,554.36
2295.0,550.82
2300.0,548.44
2305.0,547.24
2310.0,547.61
2315.0,547.3
2320.0,547.91
2325.0,549.33
2330.0,550.06
2335.0,548.24
2340.0,547.07
2345.0,543.59
2350.0,539.11
2355.0,534.93
2360.0,532.65
2365.0,528.68
2370.0,526.95
2375.0,525.25
2380.0,522.51
2385.0,522.56
2390.0,519.88
2395.0,518.97
2400.0,517.32
2405.0,515.77
2410.0,515.15
2415.0,513.72
2420.0,513.11
2425.0,510.85
2430.0,509.45
2435.0,507.34
2440.0,504.44
2445.0,502.0
2450.0,498.49
2455.0,494.8
2460.0,491.3
2465.0,487.47
2470.0,482.83
2475.0,478.52
2480.0,475.82
2485.0,470.02
2490.0,466.12
2495.0,462.91
2500.0,458.35
2505.0,456.21
2510.0,454.16
2515.0,451.62
2520.0,450.27
2525.0,448.53
2530.0,447.75
2535.0,447.05
2540.0,446.54
2545.0,445.37
2550.0,446.5
2555.0,444.54
2560.0,444.23
2565.0,442.88
2570.0,442.62
2575.0,439.61
2580.0,439.46
2585.0,436.21
2590.0,435.25
2595.0,432.72
2600.0,433.61
