Composition,
Date Added,2017-07-12
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,"SCO 06040,27 <125 um"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1RM177A
Original Sample ID,RM-REM-177-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,89.55
305.0,91.53
310.0,94.25
315.0,96.94
320.0,100.44
325.0,104.28
330.0,108.01
335.0,112.9
340.0,117.73
345.0,123.08
350.0,128.13
355.0,134.05
360.0,140.77
365.0,147.18
370.0,154.07
375.0,159.64
380.0,165.97
385.0,170.62
390.0,174.84
395.0,178.5
400.0,181.86
405.0,185.55
410.0,188.4
415.0,191.13
420.0,193.87
425.0,195.21
430.0,197.44
435.0,199.65
440.0,201.76
445.0,203.17
450.0,205.12
455.0,205.85
460.0,207.42
465.0,208.57
470.0,209.37
475.0,210.25
480.0,211.29
485.0,212.13
490.0,213.22
495.0,214.88
500.0,215.93
505.0,214.94
510.0,216.45
515.0,219.37
520.0,221.72
525.0,223.03
530.0,223.81
535.0,224.67
540.0,224.9
545.0,225.05
550.0,225.49
555.0,226.61
560.0,227.81
565.0,228.31
570.0,229.08
575.0,229.5
580.0,229.83
585.0,230.29
590.0,230.78
595.0,230.84
600.0,231.37
605.0,231.55
610.0,232.26
615.0,232.26
620.0,233.28
625.0,233.57
630.0,233.86
635.0,234.5
640.0,234.94
645.0,235.62
650.0,235.66
655.0,235.99
660.0,236.7
665.0,236.9
670.0,237.55
675.0,237.93
680.0,238.83
685.0,239.11
690.0,239.61
695.0,240.02
700.0,240.5
705.0,240.64
710.0,241.13
715.0,241.48
720.0,242.03
725.0,241.84
730.0,241.86
735.0,242.08
740.0,241.78
745.0,241.65
750.0,241.02
755.0,240.69
760.0,240.16
765.0,239.05
770.0,237.76
775.0,235.89
780.0,233.84
785.0,232.02
790.0,229.9
795.0,227.22
800.0,224.35
805.0,221.16
810.0,217.91
815.0,214.13
820.0,210.36
825.0,206.38
830.0,202.55
835.0,198.15
840.0,194.91
845.0,190.76
850.0,186.93
855.0,183.32
860.0,179.93
865.0,176.24
870.0,173.31
875.0,170.11
880.0,167.22
885.0,164.52
890.0,162.34
895.0,160.17
900.0,158.52
905.0,156.51
910.0,155.6
915.0,153.91
920.0,152.98
925.0,152.59
930.0,152.41
935.0,152.63
940.0,152.75
945.0,153.03
950.0,153.85
955.0,155.14
960.0,156.53
965.0,158.13
970.0,160.22
975.0,161.43
980.0,164.22
985.0,166.84
990.0,169.7
995.0,172.74
1000.0,175.33
1005.0,178.71
1010.0,181.73
1015.0,185.77
1020.0,188.76
1025.0,192.46
1030.0,195.36
1035.0,198.84
1040.0,202.0
1045.0,204.84
1050.0,208.04
1055.0,210.7
1060.0,212.97
1065.0,215.71
1070.0,219.12
1075.0,220.37
1080.0,223.18
1085.0,225.72
1090.0,226.85
1095.0,229.11
1100.0,230.46
1105.0,232.38
1110.0,233.18
1115.0,235.09
1120.0,235.93
1125.0,238.0
1130.0,238.82
1135.0,239.76
1140.0,240.46
1145.0,240.9
1150.0,242.44
1155.0,243.42
1160.0,243.41
1165.0,243.99
1170.0,244.29
1175.0,244.68
1180.0,245.18
1185.0,245.56
1190.0,246.14
1195.0,247.02
1200.0,246.46
1205.0,246.71
1210.0,247.46
1215.0,247.66
1220.0,247.89
1225.0,248.68
1230.0,248.6
1235.0,249.1
1240.0,249.33
1245.0,249.79
1250.0,249.9
1255.0,250.39
1260.0,250.82
1265.0,251.19
1270.0,251.9
1275.0,252.13
1280.0,252.19
1285.0,252.46
1290.0,253.31
1295.0,253.71
1300.0,254.18
1305.0,254.5
1310.0,254.9
1315.0,255.26
1320.0,255.79
1325.0,256.04
1330.0,256.42
1335.0,256.78
1340.0,257.31
1345.0,257.57
1350.0,257.86
1355.0,257.95
1360.0,258.11
1365.0,258.0
1370.0,258.27
1375.0,258.11
1380.0,258.76
1385.0,259.21
1390.0,259.55
1395.0,259.82
1400.0,259.38
1405.0,259.08
1410.0,259.24
1415.0,259.28
1420.0,259.01
1425.0,258.1
1430.0,258.67
1435.0,259.31
1440.0,259.26
1445.0,258.65
1450.0,259.06
1455.0,258.93
1460.0,257.98
1465.0,258.22
1470.0,257.47
1475.0,257.77
1480.0,257.06
1485.0,256.59
1490.0,256.05
1495.0,256.23
1500.0,255.58
1505.0,254.81
1510.0,255.01
1515.0,253.69
1520.0,253.81
1525.0,253.67
1530.0,252.36
1535.0,252.17
1540.0,252.16
1545.0,250.61
1550.0,249.53
1555.0,248.96
1560.0,247.83
1565.0,247.04
1570.0,246.53
1575.0,245.7
1580.0,244.9
1585.0,243.71
1590.0,243.58
1595.0,242.64
1600.0,241.38
1605.0,240.37
1610.0,239.67
1615.0,239.07
1620.0,238.02
1625.0,236.94
1630.0,235.33
1635.0,233.84
1640.0,233.69
1645.0,232.52
1650.0,232.03
1655.0,231.01
1660.0,230.01
1665.0,228.78
1670.0,227.35
1675.0,227.0
1680.0,224.96
1685.0,223.83
1690.0,223.28
1695.0,222.38
1700.0,221.84
1705.0,219.47
1710.0,219.26
1715.0,218.38
1720.0,217.44
1725.0,215.93
1730.0,214.76
1735.0,214.44
1740.0,213.13
1745.0,212.97
1750.0,211.39
1755.0,210.65
1760.0,209.56
1765.0,208.21
1770.0,207.71
1775.0,206.8
1780.0,205.86
1785.0,204.97
1790.0,204.35
1795.0,203.45
1800.0,202.63
1805.0,201.99
1810.0,201.28
1815.0,200.16
1820.0,199.51
1825.0,198.99
1830.0,198.18
1835.0,197.67
1840.0,196.8
1845.0,196.09
1850.0,195.29
1855.0,194.68
1860.0,193.75
1865.0,193.14
1870.0,192.48
1875.0,191.87
1880.0,191.42
1885.0,190.79
1890.0,190.2
1895.0,189.72
1900.0,188.5
1905.0,188.1
1910.0,187.75
1915.0,186.75
1920.0,186.79
1925.0,185.97
1930.0,185.46
1935.0,185.13
1940.0,184.96
1945.0,184.8
1950.0,184.61
1955.0,184.63
1960.0,184.04
1965.0,183.91
1970.0,183.54
1975.0,183.76
1980.0,183.63
1985.0,184.27
1990.0,184.01
1995.0,183.85
2000.0,184.27
2005.0,184.41
2010.0,185.01
2015.0,184.97
2020.0,185.2
2025.0,185.32
2030.0,185.57
2035.0,186.11
2040.0,186.15
2045.0,186.17
2050.0,186.5
2055.0,187.49
2060.0,187.13
2065.0,187.36
2070.0,187.97
2075.0,187.82
2080.0,188.93
2085.0,188.83
2090.0,189.68
2095.0,190.04
2100.0,190.31
2105.0,190.86
2110.0,191.88
2115.0,192.32
2120.0,192.59
2125.0,193.39
2130.0,193.35
2135.0,194.62
2140.0,194.66
2145.0,194.75
2150.0,195.72
2155.0,195.97
2160.0,196.84
2165.0,197.8
2170.0,198.47
2175.0,198.83
2180.0,199.68
2185.0,200.5
2190.0,202.12
2195.0,202.41
2200.0,202.59
2205.0,203.74
2210.0,204.94
2215.0,205.71
2220.0,206.72
2225.0,206.58
2230.0,207.37
2235.0,208.35
2240.0,209.11
2245.0,210.24
2250.0,210.08
2255.0,210.29
2260.0,211.37
2265.0,212.06
2270.0,212.66
2275.0,213.36
2280.0,213.69
2285.0,214.11
2290.0,214.83
2295.0,215.69
2300.0,215.67
2305.0,216.04
2310.0,217.02
2315.0,217.59
2320.0,218.33
2325.0,219.13
2330.0,220.07
2335.0,220.14
2340.0,221.08
2345.0,220.94
2350.0,221.57
2355.0,222.04
2360.0,222.71
2365.0,222.75
2370.0,223.03
2375.0,224.31
2380.0,224.45
2385.0,224.82
2390.0,225.49
2395.0,226.15
2400.0,226.18
2405.0,227.1
2410.0,227.58
2415.0,227.68
2420.0,229.51
2425.0,229.02
2430.0,230.24
2435.0,230.36
2440.0,230.94
2445.0,231.58
2450.0,231.67
2455.0,231.79
2460.0,232.67
2465.0,233.21
2470.0,232.86
2475.0,234.02
2480.0,235.24
2485.0,234.17
2490.0,234.99
2495.0,235.79
2500.0,234.82
2505.0,235.37
2510.0,235.25
2515.0,235.85
2520.0,236.22
2525.0,236.58
2530.0,237.15
2535.0,237.32
2540.0,237.61
2545.0,238.06
2550.0,238.21
2555.0,238.39
2560.0,238.68
2565.0,239.09
2570.0,239.12
2575.0,239.32
2580.0,239.86
2585.0,239.6
2590.0,239.86
2595.0,240.86
2600.0,242.02
