Composition,
Date Added,2018-04-03
Formula,
Grain Size Description,<75.0um
Grain Size,45.0 - 75.0
Locality,
Minimum Wavelength,320
Sample Name,Mexican labradorite 45-75 um
Maximum Wavelength,880
Database of Origin,ReLab
Other Information,
References,
Resolution,20.0
Material Class,Mineral
Sample Description,For a photometric study
Sample ID,K70YZ03
Original Sample ID,YZ-REM-003
Viewing Geometry,70.0° / 0.0°
Wavelength,Response
320.0,567.289
340.0,665.979
360.0,714.22
380.0,716.407
400.0,744.289
420.0,755.912
440.0,770.142
460.0,782.035
480.0,794.813
500.0,805.975
520.0,828.606
540.0,832.44
560.0,846.24
580.0,856.806
600.0,867.199
620.0,874.189
640.0,879.036
660.0,882.442
680.0,885.255
700.0,888.72
720.0,891.362
740.0,894.692
760.0,893.039
780.0,896.048
800.0,894.05
820.0,894.118
840.0,891.311
860.0,889.049
880.0,882.952
