Composition,
Date Added,2010-11-05
Formula,
Grain Size Description,<125.0um
Grain Size,"(45.0, 125.0)"
Locality,India
Minimum Wavelength,800
Sample Name,HYD-3 45-125 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Basalt Weathered
References,
Resolution,4.0
Material class,Rock
Sample Description,"Basalt weathering products (PGG, Active Missions: CRISM, Student)"
Sample ID,BIR1RG064
Original Sample ID,RG-JFM-064
Viewing Geometry,unknown
Wavelength,Response
799.9,0.15393
800.0,0.15272
800.2,0.15209
800.3,0.15291
800.4,0.15186
800.5,0.15134
800.7,0.15242
800.8,0.15266
800.9,0.15242
801.0,0.15151
801.2,0.1528
801.3,0.15292
801.4,0.15219
801.5,0.15156
801.6,0.15066
801.8,0.15079
801.9,0.15242
802.0,0.15482
802.1,0.15435
802.3,0.15268
802.4,0.15067
802.5,0.15011
802.6,0.15142
802.8,0.15352
802.9,0.15375
803.0,0.15199
803.1,0.15106
803.3,0.15182
803.4,0.15344
803.5,0.15366
803.6,0.15288
803.8,0.15247
803.9,0.153
804.0,0.15192
804.1,0.15106
804.3,0.15141
804.4,0.15101
804.5,0.15211
804.6,0.15254
804.8,0.15219
804.9,0.15203
805.0,0.15097
805.1,0.15249
805.3,0.15198
805.4,0.15052
805.5,0.15234
805.6,0.15283
805.8,0.15228
805.9,0.15271
806.0,0.15254
806.1,0.15244
806.3,0.15223
806.4,0.15078
806.5,0.15042
806.6,0.15123
806.8,0.15249
806.9,0.15167
807.0,0.14986
807.1,0.14926
807.3,0.15037
807.4,0.1504
807.5,0.15137
807.6,0.15248
807.8,0.15226
807.9,0.15287
808.0,0.15286
808.1,0.15134
808.3,0.15213
808.4,0.15297
808.5,0.15257
808.6,0.15162
808.8,0.15003
808.9,0.14811
809.0,0.14872
809.2,0.14932
809.3,0.15116
809.4,0.1524
809.5,0.15181
809.7,0.15074
809.8,0.15068
809.9,0.15152
810.0,0.15183
810.2,0.15119
810.3,0.15192
810.4,0.15316
810.5,0.15317
810.7,0.15331
810.8,0.15259
810.9,0.15108
811.0,0.1498
811.2,0.15168
811.3,0.1513
811.4,0.14924
811.5,0.14915
811.7,0.15115
811.8,0.1516
811.9,0.15099
812.1,0.14957
812.2,0.1498
812.3,0.15134
812.4,0.15196
812.6,0.15297
812.7,0.15229
812.8,0.15077
813.0,0.14983
813.1,0.15007
813.2,0.15016
813.3,0.15159
813.5,0.15216
813.6,0.15155
813.7,0.15156
813.8,0.15232
814.0,0.15311
814.1,0.15305
814.2,0.15161
814.4,0.15034
814.5,0.15
814.6,0.1508
814.7,0.1504
814.9,0.14952
815.0,0.15001
815.1,0.15041
815.3,0.15065
815.4,0.14985
815.5,0.15036
815.6,0.15119
815.8,0.15035
815.9,0.1505
816.0,0.15069
816.2,0.14987
816.3,0.15111
816.4,0.15178
816.5,0.15132
816.7,0.15081
816.8,0.1508
816.9,0.151
817.0,0.15126
817.2,0.15085
817.3,0.15066
817.4,0.15138
817.6,0.1515
817.7,0.15152
817.8,0.15176
818.0,0.15187
818.1,0.151
818.2,0.14916
818.3,0.14917
818.5,0.15108
818.6,0.15169
818.7,0.15231
818.9,0.15294
819.0,0.15164
819.1,0.15105
819.3,0.15188
819.4,0.15192
819.5,0.15121
819.6,0.15007
819.8,0.15067
819.9,0.15048
820.0,0.14982
820.2,0.15037
820.3,0.15161
820.4,0.15041
820.5,0.14917
820.7,0.14921
820.8,0.14845
820.9,0.15003
821.1,0.15277
821.2,0.15276
821.3,0.15136
821.5,0.15092
821.6,0.15234
821.7,0.15067
821.8,0.14854
822.0,0.14875
822.1,0.15013
822.2,0.1523
822.4,0.1526
822.5,0.15094
822.6,0.15001
822.8,0.15147
822.9,0.15271
823.0,0.15287
823.2,0.15194
823.3,0.14892
823.4,0.14809
823.5,0.14903
823.7,0.15003
823.8,0.1513
823.9,0.15186
824.1,0.15196
824.2,0.15219
824.3,0.15175
824.5,0.15111
824.6,0.1524
824.7,0.15448
824.8,0.15496
825.0,0.15201
825.1,0.15105
825.3,0.15156
825.4,0.15076
825.5,0.15088
825.6,0.15192
825.8,0.15207
825.9,0.15172
826.0,0.15175
826.2,0.15043
826.3,0.14938
826.4,0.14994
826.6,0.1519
826.7,0.1532
826.8,0.15324
827.0,0.154
827.1,0.15364
827.2,0.15262
827.3,0.15232
827.5,0.15303
827.6,0.15216
827.8,0.15018
827.9,0.14985
828.0,0.1512
828.2,0.15316
828.3,0.15314
828.4,0.15127
828.5,0.15061
828.7,0.15236
828.8,0.15489
828.9,0.15533
829.1,0.15335
829.2,0.15225
829.3,0.15134
829.5,0.15173
829.6,0.15332
829.7,0.1542
829.9,0.15439
830.0,0.15318
830.1,0.15252
830.3,0.1528
830.4,0.15373
830.5,0.15418
830.7,0.1531
830.8,0.15244
830.9,0.15299
831.1,0.15333
831.2,0.15355
831.3,0.15366
831.5,0.15306
831.6,0.15242
831.7,0.15292
831.9,0.15326
832.0,0.15378
832.1,0.15421
832.3,0.15419
832.4,0.15374
832.5,0.1529
832.7,0.15289
832.8,0.15178
832.9,0.15204
833.1,0.15351
833.2,0.15449
833.3,0.15454
833.5,0.1536
833.6,0.15303
833.7,0.15304
