Composition,
Date Added,1988-11-23
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,USSR
Minimum Wavelength,300
Sample Name,Ion Implant #6
Maximum Wavelength,3500
Database of Origin,RELAB
Other Information,MgO Carbon
References,
Resolution,5.0
Material class,Synthetic
Sample Description,MgO+C with 1300A-thick carbon coating.  
Sample ID,C2RI06
Original Sample ID,RI-CMP-006
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.04466
305.0,0.04389
310.0,0.04541
315.0,0.04379
320.0,0.0437
325.0,0.04459
330.0,0.04489
335.0,0.04439
340.0,0.04533
345.0,0.04597
350.0,0.04616
355.0,0.04677
360.0,0.04735
365.0,0.04748
370.0,0.04776
375.0,0.04789
380.0,0.04805
385.0,0.04837
390.0,0.04875
395.0,0.04874
400.0,0.04944
405.0,0.04963
410.0,0.04981
415.0,0.05009
420.0,0.05025
425.0,0.05056
430.0,0.0508
435.0,0.05109
440.0,0.0512
445.0,0.05151
450.0,0.05167
455.0,0.05195
460.0,0.05235
465.0,0.05258
470.0,0.05275
475.0,0.05298
480.0,0.05302
485.0,0.0533
490.0,0.05359
495.0,0.05384
500.0,0.05386
505.0,0.05428
510.0,0.05432
515.0,0.0547
520.0,0.055
525.0,0.05548
530.0,0.05554
535.0,0.05579
540.0,0.05599
545.0,0.05625
550.0,0.05664
555.0,0.05661
560.0,0.05716
565.0,0.0572
570.0,0.0576
575.0,0.05794
580.0,0.05811
585.0,0.05843
590.0,0.05873
595.0,0.05897
600.0,0.05931
605.0,0.05969
610.0,0.05995
615.0,0.06034
620.0,0.06048
625.0,0.06083
630.0,0.06101
635.0,0.06136
640.0,0.06164
645.0,0.06194
650.0,0.06222
655.0,0.06251
660.0,0.06286
665.0,0.06313
670.0,0.06346
675.0,0.06387
680.0,0.06414
685.0,0.06441
690.0,0.06489
695.0,0.06512
700.0,0.06545
705.0,0.06587
710.0,0.06621
715.0,0.06654
720.0,0.06671
725.0,0.06721
730.0,0.06747
735.0,0.06806
740.0,0.06805
745.0,0.06828
750.0,0.06899
755.0,0.0692
760.0,0.0693
765.0,0.06993
770.0,0.07008
775.0,0.07053
780.0,0.07078
785.0,0.07111
790.0,0.07193
795.0,0.07213
800.0,0.07212
805.0,0.07286
810.0,0.07315
815.0,0.07372
820.0,0.0739
825.0,0.07422
830.0,0.07466
835.0,0.07498
840.0,0.07564
845.0,0.07605
850.0,0.07597
855.0,0.07617
860.0,0.07653
865.0,0.07633
870.0,0.07712
875.0,0.07767
880.0,0.07761
885.0,0.07818
890.0,0.07821
895.0,0.07839
900.0,0.07861
905.0,0.07897
910.0,0.07906
915.0,0.07948
920.0,0.07983
925.0,0.08017
930.0,0.08049
935.0,0.08078
940.0,0.0813
945.0,0.08131
950.0,0.08189
955.0,0.08231
960.0,0.0824
965.0,0.0824
970.0,0.08355
975.0,0.08344
980.0,0.084
985.0,0.08422
990.0,0.08486
995.0,0.08514
1000.0,0.08508
1005.0,0.08562
1010.0,0.08548
1015.0,0.08606
1020.0,0.08653
1025.0,0.08669
1030.0,0.08707
1035.0,0.08763
1040.0,0.08767
1045.0,0.08812
1050.0,0.08862
1055.0,0.0888
1060.0,0.08871
1065.0,0.0892
1070.0,0.08966
1075.0,0.08972
1080.0,0.09014
1085.0,0.09054
1090.0,0.09084
1095.0,0.09096
1100.0,0.0918
1105.0,0.09172
1110.0,0.09204
1115.0,0.09257
1120.0,0.09262
1125.0,0.09278
1130.0,0.09309
1135.0,0.0932
1140.0,0.09376
1145.0,0.09389
1150.0,0.09427
1155.0,0.09438
1160.0,0.09499
1165.0,0.09501
1170.0,0.09535
1175.0,0.09524
1180.0,0.09591
1185.0,0.09637
1190.0,0.09632
1195.0,0.09634
1200.0,0.09685
1205.0,0.09726
1210.0,0.09751
1215.0,0.09778
1220.0,0.09813
1225.0,0.09815
1230.0,0.09839
1235.0,0.09838
1240.0,0.09879
