Composition,
Date Added,2005-08-11
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,
Minimum Wavelength,300
Sample Name,Scapolite
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Sulfate
References,
Resolution,5.0
Material class,Mineral
Sample Description,"Mixture analysis, Hydration study"
Sample ID,C1RM37
Original Sample ID,RM-JFM-037
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.53053
305.0,0.57194
310.0,0.59088
315.0,0.59388
320.0,0.59775
325.0,0.60594
330.0,0.61507
335.0,0.62046
340.0,0.63176
345.0,0.6433
350.0,0.65048
355.0,0.65931
360.0,0.6676
365.0,0.67821
370.0,0.6836
375.0,0.69283
380.0,0.70059
385.0,0.70769
390.0,0.71652
395.0,0.72332
400.0,0.72794
405.0,0.73358
410.0,0.73723
415.0,0.74277
420.0,0.74793
425.0,0.7558
430.0,0.76171
435.0,0.76958
440.0,0.77338
445.0,0.78056
450.0,0.78445
455.0,0.78996
460.0,0.79261
465.0,0.79688
470.0,0.7988
475.0,0.80359
480.0,0.80593
485.0,0.81071
490.0,0.81448
495.0,0.81776
500.0,0.82036
505.0,0.82499
510.0,0.82794
515.0,0.83217
520.0,0.83468
525.0,0.8382
530.0,0.8386
535.0,0.8428
540.0,0.84321
545.0,0.84567
550.0,0.84693
555.0,0.84862
560.0,0.8484
565.0,0.8498
570.0,0.85071
575.0,0.85138
580.0,0.85107
585.0,0.85153
590.0,0.85193
595.0,0.85207
600.0,0.85233
605.0,0.8522
610.0,0.85195
615.0,0.85252
620.0,0.85252
625.0,0.85197
630.0,0.85268
635.0,0.85242
640.0,0.85256
645.0,0.85239
650.0,0.85246
655.0,0.85241
660.0,0.85239
665.0,0.85234
670.0,0.85266
675.0,0.85241
680.0,0.85249
685.0,0.85256
690.0,0.8526
695.0,0.85256
700.0,0.85306
705.0,0.85363
710.0,0.85362
715.0,0.85455
720.0,0.85524
725.0,0.85503
730.0,0.85612
735.0,0.85629
740.0,0.8576
745.0,0.85738
750.0,0.85909
755.0,0.85987
760.0,0.86016
765.0,0.8614
770.0,0.86198
775.0,0.86262
780.0,0.86278
785.0,0.86413
790.0,0.86412
795.0,0.86512
800.0,0.86512
805.0,0.8659
810.0,0.86644
815.0,0.8651
820.0,0.8656
825.0,0.86551
830.0,0.86444
835.0,0.86527
840.0,0.86381
845.0,0.86538
850.0,0.86539
855.0,0.86505
860.0,0.86379
865.0,0.86234
870.0,0.86382
875.0,0.8641
880.0,0.86328
885.0,0.86287
890.0,0.86437
895.0,0.86446
900.0,0.86351
905.0,0.86389
910.0,0.8632
915.0,0.86358
920.0,0.86395
925.0,0.86404
930.0,0.86512
935.0,0.86549
940.0,0.86525
945.0,0.86525
950.0,0.86623
955.0,0.86685
960.0,0.86627
965.0,0.86661
970.0,0.86655
975.0,0.86671
980.0,0.86741
985.0,0.86731
990.0,0.86811
995.0,0.86737
1000.0,0.86698
1005.0,0.86732
1010.0,0.86682
1015.0,0.8675
1020.0,0.86799
1025.0,0.86801
1030.0,0.86813
1035.0,0.86752
1040.0,0.86824
1045.0,0.8679
1050.0,0.86752
1055.0,0.86795
1060.0,0.86762
1065.0,0.86823
1070.0,0.8684
1075.0,0.86869
1080.0,0.86792
1085.0,0.86822
1090.0,0.86901
1095.0,0.86824
1100.0,0.86938
1105.0,0.86904
1110.0,0.86918
1115.0,0.86975
1120.0,0.86997
1125.0,0.87014
1130.0,0.87012
