Composition,
Date Added,2015-09-02
Formula,
Grain Size Description,<um
Grain Size,Whole Object
Locality,"Thiel Mountains, Antarctica"
Minimum Wavelength,300
Sample Name,"TIL 82403,34 chip"
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Eucrite Brecciated
References,
Resolution,4.0
Material class,Rock
Sample Description,
Sample ID,BKRARM211
Original Sample ID,RM-REM-211
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.13246
305.0,0.13484
310.0,0.13661
315.0,0.1396
320.0,0.14313
325.0,0.14614
330.0,0.15
335.0,0.1541
340.0,0.15937
345.0,0.16473
350.0,0.17148
355.0,0.1788
360.0,0.18678
365.0,0.19575
370.0,0.20534
375.0,0.21396
380.0,0.2222
385.0,0.2275
390.0,0.23313
395.0,0.23773
400.0,0.2427
405.0,0.24867
410.0,0.25226
415.0,0.25562
420.0,0.25867
425.0,0.26096
430.0,0.2612
435.0,0.26456
440.0,0.2666
445.0,0.2686
450.0,0.27051
455.0,0.27166
460.0,0.27339
465.0,0.27447
470.0,0.27458
475.0,0.27559
480.0,0.27548
485.0,0.27518
490.0,0.27649
495.0,0.27892
500.0,0.27978
505.0,0.27633
510.0,0.27422
515.0,0.28112
520.0,0.28435
525.0,0.28643
530.0,0.28676
535.0,0.28649
540.0,0.28673
545.0,0.28546
550.0,0.28399
555.0,0.28559
560.0,0.28736
565.0,0.28919
570.0,0.28957
575.0,0.29013
580.0,0.29068
585.0,0.29148
590.0,0.29152
595.0,0.29199
600.0,0.29162
605.0,0.29219
610.0,0.29249
615.0,0.29288
620.0,0.2931
625.0,0.29378
630.0,0.29425
635.0,0.2946
640.0,0.29513
645.0,0.29572
650.0,0.29623
655.0,0.29695
660.0,0.29758
665.0,0.29847
670.0,0.29875
675.0,0.29953
680.0,0.30022
685.0,0.30059
690.0,0.3015
695.0,0.30242
700.0,0.30313
705.0,0.30389
710.0,0.30526
715.0,0.30552
720.0,0.30613
725.0,0.30653
730.0,0.30682
735.0,0.30671
740.0,0.30624
745.0,0.30585
750.0,0.30466
755.0,0.30356
760.0,0.30145
765.0,0.29866
770.0,0.2953
775.0,0.29132
780.0,0.28732
785.0,0.28283
790.0,0.27706
795.0,0.27178
800.0,0.26581
805.0,0.26003
810.0,0.25362
815.0,0.24691
820.0,0.24061
825.0,0.23431
830.0,0.22869
835.0,0.22283
840.0,0.21752
845.0,0.21231
850.0,0.20727
855.0,0.2026
860.0,0.19862
865.0,0.19444
870.0,0.1906
875.0,0.18724
880.0,0.18412
885.0,0.18089
890.0,0.17825
895.0,0.17608
900.0,0.17386
905.0,0.17225
910.0,0.1707
915.0,0.16947
920.0,0.16821
925.0,0.16714
930.0,0.16628
935.0,0.1654
940.0,0.16572
945.0,0.16578
950.0,0.16613
955.0,0.16593
960.0,0.16694
965.0,0.16795
970.0,0.16909
975.0,0.17056
980.0,0.17188
985.0,0.17381
990.0,0.17617
995.0,0.17817
1000.0,0.18103
1005.0,0.18385
1010.0,0.18732
1015.0,0.1905
1020.0,0.19398
1025.0,0.19801
1030.0,0.20136
1035.0,0.2051
1040.0,0.20858
1045.0,0.21313
1050.0,0.21755
1055.0,0.22088
1060.0,0.22467
1065.0,0.22931
1070.0,0.2326
1075.0,0.23721
1080.0,0.24131
1085.0,0.2454
1090.0,0.24968
1095.0,0.25353
1100.0,0.25709
1105.0,0.26055
1110.0,0.26481
1115.0,0.26818
1120.0,0.27214
1125.0,0.27485
1130.0,0.27665
1135.0,0.27956
1140.0,0.28136
1145.0,0.28354
1150.0,0.28531
1155.0,0.28649
1160.0,0.28777
1165.0,0.28904
1170.0,0.29088
1175.0,0.29156
1180.0,0.29263
1185.0,0.29331
1190.0,0.29437
1195.0,0.29495
1200.0,0.29599
1205.0,0.29653
1210.0,0.29748
1215.0,0.29804
1220.0,0.29909
1225.0,0.30026
1230.0,0.30087
1235.0,0.30213
1240.0,0.30303
1245.0,0.30419
1250.0,0.30517
1255.0,0.30592
1260.0,0.30719
1265.0,0.30858
1270.0,0.30985
1275.0,0.3117
1280.0,0.31222
1285.0,0.31366
1290.0,0.31498
1295.0,0.3167
1300.0,0.31887
1305.0,0.31993
1310.0,0.3218
1315.0,0.32283
1320.0,0.32467
1325.0,0.32624
1330.0,0.3282
1330.6,0.32819
1330.9,0.32835
1331.2,0.32845
1331.6,0.32845
1331.9,0.32846
1332.3,0.32862
1332.6,0.32879
1332.9,0.32887
1333.3,0.3289
1333.6,0.32891
1334.0,0.329
1334.3,0.32909
1334.7,0.32928
1335.0,0.32952
1335.3,0.32968
1335.7,0.32973
1336.0,0.3297
1336.4,0.32963
1336.7,0.32966
1337.1,0.32975
1337.4,0.32984
1337.8,0.33003
1338.1,0.33016
1338.4,0.33022
1338.8,0.3303
1339.1,0.33041
1339.5,0.33053
1339.8,0.33063
1340.2,0.33071
1340.5,0.33083
1340.9,0.3309
1341.2,0.33088
1341.6,0.33099
1341.9,0.33119
1342.3,0.33121
1342.6,0.33118
1342.9,0.33124
1343.3,0.33137
1343.7,0.33149
1344.0,0.33157
1344.3,0.33168
1344.7,0.33183
1345.0,0.33192
1345.4,0.3319
1345.7,0.33191
1346.1,0.33212
1346.4,0.33226
1346.8,0.33227
1347.1,0.33232
1347.5,0.33232
1347.8,0.33237
1348.2,0.33246
1348.5,0.33256
1348.9,0.33273
1349.2,0.33288
1349.6,0.33292
1349.9,0.33289
1350.3,0.33298
1350.7,0.33312
1351.0,0.33323
1351.3,0.33329
1351.7,0.33339
1352.1,0.33348
1352.4,0.33349
1352.8,0.33362
1353.1,0.33362
1353.5,0.33375
1353.8,0.33391
1354.2,0.33396
1354.5,0.33397
1354.9,0.33402
1355.2,0.33421
1355.6,0.33436
1355.9,0.33431
1356.3,0.33429
1356.7,0.3344
1357.0,0.33458
1357.4,0.33465
1357.7,0.33461
1358.1,0.33462
1358.4,0.33474
1358.8,0.33485
1359.2,0.33497
1359.5,0.33497
1359.9,0.33499
1360.2,0.33517
1360.6,0.33518
1360.9,0.33525
1361.3,0.33544
1361.7,0.33545
1362.0,0.33545
1362.4,0.33561
1362.7,0.33574
1363.1,0.33578
1363.4,0.33595
1363.8,0.33597
1364.2,0.3359
1364.5,0.33596
1364.9,0.33603
1365.2,0.33619
