Composition,
Date Added,2017-08-10
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,"Elephant Moraine, Antarctica"
Minimum Wavelength,300
Sample Name,"EETA 79005,113 <45 um"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Eucrite Polymict
References,
Resolution,5.0
Material class,Rock
Sample Description,
Sample ID,C1RM204B
Original Sample ID,RM-REM-204-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.10668
305.0,0.10882
310.0,0.11177
315.0,0.1152
320.0,0.12018
325.0,0.12459
330.0,0.13019
335.0,0.13679
340.0,0.14374
345.0,0.15119
350.0,0.15909
355.0,0.16821
360.0,0.17746
365.0,0.18585
370.0,0.19566
375.0,0.20469
380.0,0.21409
385.0,0.21999
390.0,0.22692
395.0,0.23284
400.0,0.23969
405.0,0.24552
410.0,0.25077
415.0,0.25592
420.0,0.26061
425.0,0.26365
430.0,0.26797
435.0,0.27227
440.0,0.27646
445.0,0.27956
450.0,0.28341
455.0,0.28604
460.0,0.28932
465.0,0.2908
470.0,0.29335
475.0,0.29517
480.0,0.29753
485.0,0.29895
490.0,0.30152
495.0,0.30436
500.0,0.30654
505.0,0.30509
510.0,0.3079
515.0,0.31349
520.0,0.3177
525.0,0.3201
530.0,0.32294
535.0,0.32476
540.0,0.32687
545.0,0.32696
550.0,0.32898
555.0,0.33115
560.0,0.33407
565.0,0.33582
570.0,0.33761
575.0,0.33924
580.0,0.34096
585.0,0.34237
590.0,0.34393
595.0,0.34528
600.0,0.34706
605.0,0.34845
610.0,0.35005
615.0,0.35174
620.0,0.35408
625.0,0.35578
630.0,0.35809
635.0,0.35973
640.0,0.3622
645.0,0.36411
650.0,0.36599
655.0,0.36714
660.0,0.36946
665.0,0.37122
670.0,0.37361
675.0,0.37509
680.0,0.37741
685.0,0.37928
690.0,0.38153
695.0,0.38287
700.0,0.38542
705.0,0.38685
710.0,0.38982
715.0,0.39162
720.0,0.39334
725.0,0.3944
730.0,0.39699
735.0,0.39663
740.0,0.398
745.0,0.39842
750.0,0.39823
755.0,0.39819
760.0,0.39712
765.0,0.39556
770.0,0.39341
775.0,0.38973
780.0,0.38661
785.0,0.38193
790.0,0.377
795.0,0.37055
800.0,0.36383
805.0,0.35683
810.0,0.34984
815.0,0.34078
820.0,0.33249
825.0,0.32421
830.0,0.31539
835.0,0.3066
840.0,0.29865
845.0,0.29005
850.0,0.28252
855.0,0.27451
860.0,0.2679
865.0,0.26083
870.0,0.25459
875.0,0.24802
880.0,0.24269
885.0,0.23673
890.0,0.23326
895.0,0.22847
900.0,0.22527
905.0,0.22206
910.0,0.21928
915.0,0.21779
920.0,0.21561
925.0,0.21524
930.0,0.21427
935.0,0.21417
940.0,0.2149
945.0,0.21604
950.0,0.21838
955.0,0.21916
960.0,0.22269
965.0,0.22572
970.0,0.22961
975.0,0.23456
