Composition,
Date Added,2015-07-20
Formula,
Grain Size Description,<um
Grain Size,Whole Object
Locality,"Grosvenor Mountains, Antarctica"
Minimum Wavelength,300
Sample Name,"GRO 95633,22 chip"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Howardite
References,
Resolution,5.0
Material class,Rock
Sample Description,
Sample ID,CARM187
Original Sample ID,RM-REM-187
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.07903
305.0,0.08054
310.0,0.08243
315.0,0.08566
320.0,0.08817
325.0,0.09175
330.0,0.09555
335.0,0.10043
340.0,0.10572
345.0,0.11077
350.0,0.11583
355.0,0.12156
360.0,0.12729
365.0,0.13354
370.0,0.13922
375.0,0.14376
380.0,0.1483
385.0,0.15197
390.0,0.1553
395.0,0.15812
400.0,0.16099
405.0,0.1636
410.0,0.16649
415.0,0.16859
420.0,0.17019
425.0,0.17121
430.0,0.17268
435.0,0.17522
440.0,0.17634
445.0,0.17778
450.0,0.17849
455.0,0.17962
460.0,0.1808
465.0,0.18213
470.0,0.18314
475.0,0.1841
480.0,0.18542
485.0,0.18665
490.0,0.18777
495.0,0.18931
500.0,0.19019
505.0,0.18869
510.0,0.19249
515.0,0.19572
520.0,0.19714
525.0,0.19864
530.0,0.19953
535.0,0.20023
540.0,0.20056
545.0,0.20028
550.0,0.20093
555.0,0.20219
560.0,0.20292
565.0,0.20357
570.0,0.20381
575.0,0.20387
580.0,0.20398
585.0,0.20397
590.0,0.2042
595.0,0.20439
600.0,0.2043
605.0,0.20432
610.0,0.20456
615.0,0.20471
620.0,0.20477
625.0,0.20451
630.0,0.20465
635.0,0.20535
640.0,0.20516
645.0,0.20535
650.0,0.20556
655.0,0.20567
660.0,0.20573
665.0,0.20575
670.0,0.20572
675.0,0.20555
680.0,0.20571
685.0,0.20549
690.0,0.20567
695.0,0.205
700.0,0.20493
705.0,0.20422
710.0,0.20395
715.0,0.20346
720.0,0.20257
725.0,0.2021
730.0,0.201
735.0,0.19988
740.0,0.19853
745.0,0.19731
750.0,0.19523
755.0,0.19303
760.0,0.191
765.0,0.18863
770.0,0.1857
775.0,0.18259
780.0,0.17948
785.0,0.17623
790.0,0.17204
795.0,0.1683
800.0,0.1641
805.0,0.16017
810.0,0.15623
815.0,0.15193
820.0,0.14784
825.0,0.14415
830.0,0.14003
835.0,0.1365
840.0,0.13267
845.0,0.12975
850.0,0.12655
855.0,0.12344
860.0,0.12085
865.0,0.11816
870.0,0.11581
875.0,0.11379
880.0,0.11181
885.0,0.11003
890.0,0.10797
895.0,0.10733
900.0,0.10632
905.0,0.10479
910.0,0.10358
915.0,0.10294
920.0,0.10236
925.0,0.10203
930.0,0.10169
935.0,0.10153
940.0,0.10182
945.0,0.10178
950.0,0.1024
955.0,0.1027
960.0,0.10391
965.0,0.10429
970.0,0.10529
975.0,0.10698
980.0,0.10848
985.0,0.10994
990.0,0.11199
995.0,0.11382
1000.0,0.11555
1005.0,0.11793
1010.0,0.12036
1015.0,0.12261
1020.0,0.12581
1025.0,0.12812
1030.0,0.13084
1035.0,0.13321
1040.0,0.13544
1045.0,0.13787
1050.0,0.13997
1055.0,0.14243
1060.0,0.14541
1065.0,0.14733
1070.0,0.1492
1075.0,0.15073
1080.0,0.15237
1085.0,0.15446
1090.0,0.15594
1095.0,0.15712
1100.0,0.1585
1105.0,0.15979
1110.0,0.16092
1115.0,0.16148
1120.0,0.16263
1125.0,0.16335
1130.0,0.16397
1135.0,0.16482
1140.0,0.16519
1145.0,0.16599
1150.0,0.16642
1155.0,0.16693
1160.0,0.1671
1165.0,0.16786
1170.0,0.1683
1175.0,0.16808
1180.0,0.16848
1185.0,0.16876
1190.0,0.16891
1195.0,0.1692
1200.0,0.1696
1205.0,0.1694
1210.0,0.16968
1215.0,0.17003
1220.0,0.17027
1225.0,0.17047
1230.0,0.1708
1235.0,0.17099
1240.0,0.17114
1245.0,0.17134
1250.0,0.17156
1255.0,0.17177
1260.0,0.172
1265.0,0.17226
1270.0,0.17247
1275.0,0.17237
1280.0,0.17226
1285.0,0.1722
1290.0,0.17253
1295.0,0.17283
1300.0,0.17309
1305.0,0.17325
1310.0,0.17335
1315.0,0.17352
1320.0,0.17342
1325.0,0.17363
1330.0,0.17392
1335.0,0.17402
1340.0,0.17418
1345.0,0.17445
1350.0,0.17453
1355.0,0.17479
1360.0,0.17487
1365.0,0.17482
1370.0,0.17489
1375.0,0.17471
1380.0,0.17479
1385.0,0.1749
1390.0,0.17512
1395.0,0.17486
1400.0,0.17451
1405.0,0.17423
1410.0,0.17383
1415.0,0.17337
1420.0,0.17262
1425.0,0.1726
1430.0,0.17189
1435.0,0.17143
1440.0,0.17103
1445.0,0.17099
1450.0,0.17055
1455.0,0.16981
1460.0,0.16941
1465.0,0.16853
1470.0,0.16811
1475.0,0.16795
1480.0,0.16727
1485.0,0.16616
1490.0,0.16564
1495.0,0.16534
1500.0,0.16508
1505.0,0.16343
1510.0,0.16306
1515.0,0.16244
1520.0,0.16164
1525.0,0.1609
1530.0,0.16012
1535.0,0.1591
1540.0,0.1588
1545.0,0.15754
1550.0,0.15655
1555.0,0.15562
1560.0,0.15487
1565.0,0.1545
1570.0,0.15346
1575.0,0.1521
1580.0,0.15139
1585.0,0.15027
1590.0,0.14984
1595.0,0.14858
1600.0,0.14787
1605.0,0.14714
1610.0,0.14609
1615.0,0.14482
1620.0,0.14434
1625.0,0.14314
1630.0,0.14248
1635.0,0.14113
1640.0,0.14025
1645.0,0.14
1650.0,0.13892
1655.0,0.13787
1660.0,0.13756
1665.0,0.13627
1670.0,0.13537
1675.0,0.13451
1680.0,0.13346
1685.0,0.1326
1690.0,0.13235
1695.0,0.13142
1700.0,0.13063
1705.0,0.12968
1710.0,0.12893
1715.0,0.12805
1720.0,0.12751
1725.0,0.12658
1730.0,0.12592
1735.0,0.12545
1740.0,0.12446
1745.0,0.12342
1750.0,0.1229
1755.0,0.12221
1760.0,0.12186
1765.0,0.12089
1770.0,0.12041
1775.0,0.11999
1780.0,0.11907
1785.0,0.11884
1790.0,0.11823
1795.0,0.11766
1800.0,0.11721
1805.0,0.11655
1810.0,0.11603
1815.0,0.1155
1820.0,0.11492
1825.0,0.11443
1830.0,0.11394
1835.0,0.11348
1840.0,0.11307
1845.0,0.1129
1850.0,0.11267
1855.0,0.11242
1860.0,0.11224
1865.0,0.11207
1870.0,0.11157
1875.0,0.11113
1880.0,0.11071
1885.0,0.11023
1890.0,0.10976
1895.0,0.10953
1900.0,0.10938
1905.0,0.10918
1910.0,0.10906
1915.0,0.10896
1920.0,0.10877
1925.0,0.10847
1930.0,0.10791
1935.0,0.10783
1940.0,0.10777
1945.0,0.10762
1950.0,0.10771
1955.0,0.10749
1960.0,0.10719
1965.0,0.10704
1970.0,0.10712
1975.0,0.10744
1980.0,0.10718
1985.0,0.10749
