Composition,
Date Added,1994-11-30
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"Sierra Bermeja, Spain (Ronda massif)"
Minimum Wavelength,350
Sample Name,91R10 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Peridotite Harzburgite
References,
Resolution,10.0
Material class,Rock
Sample Description,(I) Internal cut face
Sample ID,CIRR08
Original Sample ID,RR-SPC-008-I
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
350.0,0.0877
360.0,0.09218
370.0,0.09586
380.0,0.09959
390.0,0.10234
400.0,0.10479
410.0,0.10803
420.0,0.10982
430.0,0.11235
440.0,0.11456
450.0,0.11653
460.0,0.11824
470.0,0.1206
480.0,0.12437
490.0,0.12709
500.0,0.13113
510.0,0.1343
520.0,0.13702
530.0,0.13979
540.0,0.14183
550.0,0.14398
560.0,0.14548
570.0,0.14614
580.0,0.14664
590.0,0.14608
600.0,0.14588
610.0,0.14546
620.0,0.14506
630.0,0.14432
640.0,0.14332
650.0,0.14298
660.0,0.14281
670.0,0.14148
680.0,0.141
690.0,0.13981
700.0,0.1393
710.0,0.13756
720.0,0.13696
730.0,0.13572
740.0,0.13508
750.0,0.13387
760.0,0.13337
770.0,0.13174
780.0,0.13131
790.0,0.13014
800.0,0.12898
810.0,0.12767
820.0,0.1266
830.0,0.12486
840.0,0.12329
850.0,0.12206
860.0,0.12087
870.0,0.11882
880.0,0.11782
890.0,0.11671
900.0,0.11522
910.0,0.11323
920.0,0.11172
930.0,0.11032
940.0,0.10922
950.0,0.10704
960.0,0.10592
970.0,0.10387
980.0,0.1024
990.0,0.10083
1000.0,0.09948
1010.0,0.09811
1020.0,0.09672
1030.0,0.09563
1040.0,0.09518
1050.0,0.09472
1060.0,0.0938
1070.0,0.09281
1080.0,0.09226
1090.0,0.09239
1100.0,0.09253
1110.0,0.09338
1120.0,0.09336
1130.0,0.09386
1140.0,0.09392
1150.0,0.09463
1160.0,0.09509
1170.0,0.09509
1180.0,0.09534
1190.0,0.09546
1200.0,0.09512
1210.0,0.09521
1220.0,0.09559
1230.0,0.09565
1240.0,0.0959
1250.0,0.09498
1260.0,0.09505
1270.0,0.0952
1280.0,0.0952
1290.0,0.0954
1300.0,0.09654
1310.0,0.09695
1320.0,0.09706
1330.0,0.09719
1340.0,0.09777
1350.0,0.09806
1360.0,0.09861
1370.0,0.09955
1380.0,0.09961
1390.0,0.09772
1400.0,0.09742
1410.0,0.09992
1420.0,0.10136
1430.0,0.10185
1440.0,0.10239
1450.0,0.10356
1460.0,0.10402
1470.0,0.10443
1480.0,0.10503
1490.0,0.10552
1500.0,0.10626
1510.0,0.10679
1520.0,0.10714
1530.0,0.1073
1540.0,0.10812
1550.0,0.10861
1560.0,0.10857
1570.0,0.10824
1580.0,0.1086
1590.0,0.10849
1600.0,0.10876
1610.0,0.10836
1620.0,0.10848
1630.0,0.10909
1640.0,0.10922
1650.0,0.10885
1660.0,0.10919
1670.0,0.10931
1680.0,0.10899
1690.0,0.1095
1700.0,0.10967
1710.0,0.10954
1720.0,0.10904
1730.0,0.10841
1740.0,0.10819
1750.0,0.10849
1760.0,0.10766
1770.0,0.10752
1780.0,0.10701
1790.0,0.1074
1800.0,0.10678
1810.0,0.10711
1820.0,0.10675
1830.0,0.1067
1840.0,0.10677
1850.0,0.10613
1860.0,0.10584
1870.0,0.10479
1880.0,0.10489
1890.0,0.1038
1900.0,0.1032
1910.0,0.10234
1920.0,0.10129
1930.0,0.10123
1940.0,0.10057
1950.0,0.1001
1960.0,0.09946
1970.0,0.09929
1980.0,0.09932
1990.0,0.09885
2000.0,0.09839
2010.0,0.09822
2020.0,0.09823
2030.0,0.09825
2040.0,0.09828
2050.0,0.0988
2060.0,0.09911
2070.0,0.09858
2080.0,0.09844
2090.0,0.09851
2100.0,0.09798
2110.0,0.09757
2120.0,0.09699
2130.0,0.09664
2140.0,0.09643
2150.0,0.09645
2160.0,0.09677
2170.0,0.09636
2180.0,0.09635
2190.0,0.09581
2200.0,0.09552
2210.0,0.09532
2220.0,0.0948
2230.0,0.09262
2240.0,0.0911
2250.0,0.09015
2260.0,0.08936
2270.0,0.08723
2280.0,0.08617
2290.0,0.08547
2300.0,0.08432
2310.0,0.08238
2320.0,0.08008
2330.0,0.07922
2340.0,0.08051
2350.0,0.08366
2360.0,0.08485
2370.0,0.08433
2380.0,0.08291
2390.0,0.08314
2400.0,0.08312
2410.0,0.0821
2420.0,0.0816
2430.0,0.08118
2440.0,0.0813
2450.0,0.08128
2460.0,0.08161
2470.0,0.08035
2480.0,0.0794
2490.0,0.07827
2500.0,0.07714
2510.0,0.07707
2520.0,0.07791
2530.0,0.07833
2540.0,0.07792
2550.0,0.07755
2560.0,0.07701
2570.0,0.0779
2580.0,0.07838
2590.0,0.07897
2600.0,0.07955
