Composition,
Date Added,1994-05-05
Formula,
Grain Size Description,<500.0um
Grain Size,(250.0 - 500.0)
Locality,
Minimum Wavelength,300
Sample Name,Pyroxene-1 shocked (470 Kbars) coarse fraction
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Pyroxene Shocked
References,
Resolution,5.0
Material class,Mineral
Sample Description,"Unshocked (A)250-500, (B)100-250, (C)56-100 micron.   Shocked 470 kbars (D)Coarse, (E)Medium, (F)Fine grains. "
Sample ID,CARS77
Original Sample ID,RS-CMP-077-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.03357
305.0,0.03552
310.0,0.0351
315.0,0.03509
320.0,0.03531
325.0,0.03521
330.0,0.03465
335.0,0.03482
340.0,0.03492
345.0,0.03488
350.0,0.03518
355.0,0.0355
360.0,0.03558
365.0,0.03608
370.0,0.03635
375.0,0.03664
380.0,0.03701
385.0,0.03746
390.0,0.03798
395.0,0.03831
400.0,0.03862
405.0,0.03906
410.0,0.03934
415.0,0.03987
420.0,0.04026
425.0,0.0407
430.0,0.04103
435.0,0.0414
440.0,0.04174
445.0,0.04201
450.0,0.04204
455.0,0.04245
460.0,0.04272
465.0,0.04318
470.0,0.04351
475.0,0.04382
480.0,0.04444
485.0,0.04489
490.0,0.04504
495.0,0.04524
500.0,0.04544
505.0,0.04625
510.0,0.04676
515.0,0.04734
520.0,0.04771
525.0,0.04807
530.0,0.04854
535.0,0.04906
540.0,0.04949
545.0,0.04992
550.0,0.05034
555.0,0.05042
560.0,0.05075
565.0,0.05079
570.0,0.05082
575.0,0.05075
580.0,0.05076
585.0,0.05076
590.0,0.05063
595.0,0.05069
600.0,0.05063
605.0,0.05049
610.0,0.05046
615.0,0.05043
620.0,0.05046
625.0,0.05043
630.0,0.05055
635.0,0.05071
640.0,0.05093
645.0,0.05097
650.0,0.05115
655.0,0.05118
660.0,0.05104
665.0,0.05096
670.0,0.05098
675.0,0.05056
680.0,0.05058
685.0,0.05037
690.0,0.05009
695.0,0.04995
700.0,0.04971
705.0,0.04961
710.0,0.04922
715.0,0.04894
720.0,0.04867
725.0,0.04852
730.0,0.04827
735.0,0.04805
740.0,0.0478
745.0,0.04765
750.0,0.04645
755.0,0.04611
760.0,0.04611
765.0,0.04583
770.0,0.04582
775.0,0.04555
780.0,0.04526
785.0,0.04527
790.0,0.04505
795.0,0.04481
800.0,0.04423
805.0,0.04407
810.0,0.04344
815.0,0.04344
820.0,0.04317
825.0,0.04294
830.0,0.04274
835.0,0.04261
840.0,0.04223
845.0,0.04213
850.0,0.04171
855.0,0.04167
860.0,0.04129
865.0,0.04121
870.0,0.04084
875.0,0.04074
880.0,0.04039
885.0,0.04017
890.0,0.03986
895.0,0.03974
900.0,0.03941
905.0,0.03925
910.0,0.03917
915.0,0.03892
920.0,0.03876
925.0,0.03889
930.0,0.03824
935.0,0.03832
940.0,0.03796
945.0,0.038
950.0,0.03783
955.0,0.03787
960.0,0.03773
965.0,0.03762
970.0,0.03768
975.0,0.03766
980.0,0.03728
985.0,0.03713
990.0,0.03729
995.0,0.03712
1000.0,0.03699
1005.0,0.03681
1010.0,0.03677
1015.0,0.03676
