Composition,
Date Added,2002-10-17
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,300
Sample Name,WCS-DO-020
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Other
Sample Description,For CRISM calibration
Sample ID,C1WC05
Original Sample ID,WC-RVM-005
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,848.77
305.0,905.69
310.0,908.02
315.0,901.35
320.0,874.1
325.0,848.62
330.0,894.54
335.0,890.46
340.0,893.57
345.0,851.21
350.0,733.27
355.0,829.33
360.0,869.2
365.0,839.15
370.0,893.74
375.0,882.65
380.0,860.78
385.0,803.37
390.0,843.37
395.0,857.63
400.0,879.42
405.0,888.06
410.0,905.39
415.0,906.96
420.0,902.25
425.0,874.72
430.0,902.64
435.0,906.23
440.0,904.74
445.0,889.61
450.0,870.67
455.0,842.24
460.0,904.99
465.0,905.77
470.0,908.15
475.0,900.49
480.0,902.56
485.0,914.14
490.0,915.48
495.0,918.03
500.0,918.96
505.0,920.12
510.0,921.12
515.0,921.72
520.0,922.95
525.0,922.71
530.0,923.89
535.0,924.22
540.0,925.33
545.0,926.95
550.0,927.42
555.0,928.82
560.0,929.52
565.0,929.97
570.0,931.85
575.0,932.41
580.0,932.99
585.0,933.77
590.0,933.95
595.0,935.75
600.0,936.66
605.0,937.17
610.0,937.64
615.0,938.11
620.0,938.96
625.0,938.92
630.0,939.06
635.0,940.33
640.0,940.24
645.0,940.44
650.0,941.25
655.0,942.01
660.0,943.55
665.0,943.87
670.0,944.23
675.0,945.11
680.0,945.67
685.0,947.21
690.0,946.67
695.0,947.98
700.0,948.3
705.0,948.39
710.0,948.58
715.0,948.36
720.0,948.09
725.0,947.74
730.0,946.38
735.0,943.29
740.0,939.97
745.0,933.19
750.0,924.6
755.0,919.66
760.0,933.05
765.0,939.43
770.0,941.25
775.0,936.05
780.0,928.31
785.0,918.7
790.0,900.59
795.0,876.82
800.0,878.05
805.0,844.08
810.0,828.51
815.0,901.78
820.0,923.26
825.0,932.0
830.0,936.6
835.0,942.21
840.0,944.33
845.0,947.39
850.0,946.41
855.0,939.66
860.0,935.05
865.0,925.37
870.0,916.07
875.0,905.39
880.0,891.22
885.0,874.76
890.0,844.79
895.0,791.38
900.0,822.59
905.0,866.7
910.0,848.32
915.0,855.35
920.0,884.7
925.0,898.5
930.0,892.26
935.0,895.6
940.0,904.02
945.0,915.68
950.0,911.21
955.0,923.2
960.0,932.42
965.0,930.32
970.0,925.59
975.0,925.62
980.0,941.78
985.0,944.52
990.0,945.77
995.0,944.74
1000.0,942.09
1005.0,938.98
1010.0,934.48
1015.0,930.86
1020.0,927.96
1025.0,925.07
1030.0,919.22
1035.0,913.22
1040.0,903.44
1045.0,892.29
1050.0,883.16
1055.0,865.92
1060.0,861.29
1065.0,860.76
1070.0,853.89
1075.0,834.23
1080.0,797.65
1085.0,782.83
1090.0,763.46
1095.0,808.06
1100.0,836.18
1105.0,837.3
1110.0,817.35
1115.0,784.3
1120.0,756.2
1125.0,816.22
1130.0,852.7
1135.0,855.27
1140.0,855.33
1145.0,860.69
1150.0,867.41
1155.0,885.78
1160.0,891.34
1165.0,886.97
1170.0,879.12
1175.0,871.77
1180.0,862.25
1185.0,853.3
1190.0,838.52
1195.0,821.78
1200.0,811.53
1205.0,795.02
1210.0,778.62
1215.0,757.32
1220.0,729.17
1225.0,687.97
1230.0,630.55
1235.0,592.47
1240.0,635.53
1245.0,657.01
1250.0,658.16
1255.0,652.32
1260.0,621.19
1265.0,587.13
1270.0,531.39
1275.0,510.34
1280.0,493.14
1285.0,497.33
1290.0,516.28
1295.0,457.9
1300.0,392.84
1305.0,429.06
1310.0,497.72
1315.0,553.97
1320.0,575.68
1325.0,615.88
1330.0,686.18
1335.0,728.73
1340.0,755.95
1345.0,774.04
1350.0,783.49
1355.0,789.78
1360.0,799.53
1365.0,812.81
1370.0,832.52
1375.0,845.08
1380.0,851.35
1385.0,855.73
1390.0,860.12
1395.0,865.53
1400.0,883.22
1405.0,900.89
1410.0,912.64
1415.0,924.56
1420.0,936.46
1425.0,943.86
1430.0,951.02
1435.0,954.59
1440.0,957.09
1445.0,960.22
1450.0,961.3
1455.0,962.81
1460.0,963.19
1465.0,964.0
1470.0,963.47
1475.0,963.24
1480.0,965.28
1485.0,964.68
1490.0,964.56
1495.0,964.57
1500.0,964.09
1505.0,963.71
1510.0,962.82
1515.0,961.85
1520.0,961.24
1525.0,960.1
1530.0,957.56
1535.0,955.18
1540.0,952.59
1545.0,950.13
1550.0,949.36
1555.0,946.08
1560.0,942.29
1565.0,938.29
1570.0,934.79
1575.0,931.12
1580.0,926.15
1585.0,922.85
1590.0,919.63
1595.0,916.65
1600.0,914.98
1605.0,910.46
1610.0,903.23
1615.0,897.0
1620.0,895.16
1625.0,888.55
1630.0,883.35
1635.0,876.7
1640.0,870.05
1645.0,861.86
1650.0,853.5
1655.0,846.24
1660.0,831.31
1665.0,790.84
1670.0,729.11
1675.0,731.5
1680.0,711.45
1685.0,665.43
1690.0,683.54
1695.0,719.77
1700.0,744.65
1705.0,804.15
1710.0,837.73
1715.0,861.16
1720.0,875.27
1725.0,884.07
1730.0,890.21
1735.0,895.67
1740.0,901.18
1745.0,906.43
1750.0,909.14
1755.0,909.84
1760.0,913.3
1765.0,918.11
1770.0,922.47
1775.0,923.42
1780.0,923.62
1785.0,921.7
1790.0,917.79
1795.0,917.17
1800.0,915.07
1805.0,913.84
1810.0,912.1
1815.0,910.76
1820.0,911.06
1825.0,914.51
1830.0,920.04
1835.0,923.77
1840.0,930.35
1845.0,933.89
1850.0,943.18
1855.0,951.82
1860.0,962.03
1865.0,964.01
1870.0,971.35
1875.0,977.08
1880.0,971.76
1885.0,971.25
1890.0,970.65
1895.0,972.43
1900.0,974.4
1905.0,976.88
1910.0,975.02
1915.0,976.71
1920.0,974.28
1925.0,974.33
1930.0,971.9
1935.0,971.59
1940.0,971.92
1945.0,970.43
1950.0,970.31
1955.0,969.21
1960.0,969.04
1965.0,967.96
1970.0,968.8
1975.0,969.22
1980.0,969.27
1985.0,967.3
1990.0,966.01
1995.0,966.79
2000.0,966.76
2005.0,965.0
2010.0,963.85
2015.0,962.14
2020.0,960.22
2025.0,958.99
2030.0,958.24
2035.0,958.1
2040.0,957.16
2045.0,955.28
2050.0,956.3
2055.0,954.27
2060.0,953.07
2065.0,952.89
2070.0,952.64
2075.0,951.16
2080.0,950.91
2085.0,949.66
2090.0,949.97
2095.0,948.73
2100.0,947.44
2105.0,943.99
2110.0,943.27
2115.0,942.32
2120.0,940.23
2125.0,938.42
2130.0,937.44
2135.0,937.18
2140.0,937.78
2145.0,939.5
2150.0,939.91
2155.0,940.38
2160.0,941.76
2165.0,943.29
2170.0,945.17
2175.0,948.81
2180.0,949.34
2185.0,950.5
2190.0,952.08
2195.0,952.32
2200.0,953.55
2205.0,955.24
2210.0,957.71
2215.0,956.86
2220.0,955.74
2225.0,955.11
2230.0,953.3
2235.0,951.95
2240.0,950.92
2245.0,949.72
2250.0,948.43
2255.0,948.75
2260.0,947.03
2265.0,946.78
2270.0,946.19
2275.0,944.61
2280.0,943.06
2285.0,941.91
2290.0,942.12
2295.0,940.99
2300.0,940.54
2305.0,937.98
2310.0,934.23
2315.0,934.08
2320.0,933.58
2325.0,928.58
2330.0,927.28
2335.0,923.93
2340.0,922.5
2345.0,919.41
2350.0,917.86
2355.0,913.58
2360.0,912.85
2365.0,912.44
2370.0,911.64
2375.0,909.95
2380.0,908.74
2385.0,906.81
2390.0,908.49
2395.0,908.22
2400.0,907.32
2405.0,906.73
2410.0,905.21
2415.0,903.14
2420.0,904.22
2425.0,902.46
2430.0,900.12
2435.0,901.81
2440.0,898.66
2445.0,896.97
2450.0,895.37
2455.0,896.39
2460.0,892.44
2465.0,890.65
2470.0,889.46
2475.0,889.14
2480.0,890.22
2485.0,888.75
2490.0,886.57
2495.0,884.41
2500.0,879.22
2505.0,876.99
2510.0,874.31
2515.0,871.88
2520.0,869.47
2525.0,867.8
2530.0,864.89
2535.0,862.72
2540.0,860.55
2545.0,857.45
2550.0,852.05
2555.0,851.67
2560.0,849.57
2565.0,848.35
2570.0,846.14
2575.0,848.88
2580.0,847.22
2585.0,846.55
2590.0,842.95
2595.0,840.06
2600.0,837.53
