Composition,
Date Added,1988-10-20
Formula,
Grain Size Description,<90.0um
Grain Size,"(0.0, 90.0)"
Locality,Univ. of Alberta
Minimum Wavelength,340
Sample Name,PYX:LCA98.0:2.0 
Maximum Wavelength,2700
Database of Origin,RELAB
Other Information,Pyroxene Orthopyroxene Lampblack
References,
Resolution,5.0
Material class,Mixture
Sample Description,PYX032:LCA101 in 98.0:2.0 mass ratio Vial W3  
Sample ID,C1SC17
Original Sample ID,SC-EAC-017
Viewing Geometry,0.0° / -15.0°
Wavelength,Response
340.0,0.01593
345.0,0.01572
350.0,0.01513
355.0,0.01597
360.0,0.0162
365.0,0.01607
370.0,0.01627
375.0,0.01571
380.0,0.01587
385.0,0.0155
390.0,0.01601
395.0,0.0158
400.0,0.01582
405.0,0.01626
410.0,0.01674
415.0,0.01657
420.0,0.01643
425.0,0.01672
430.0,0.01672
435.0,0.01655
440.0,0.01674
445.0,0.01675
450.0,0.0166
455.0,0.0168
460.0,0.01672
465.0,0.01679
470.0,0.01696
475.0,0.01684
480.0,0.01666
485.0,0.01665
490.0,0.01671
495.0,0.0168
500.0,0.01673
505.0,0.01704
510.0,0.01701
515.0,0.01705
520.0,0.01699
525.0,0.01708
530.0,0.01702
535.0,0.0163
540.0,0.01637
545.0,0.01625
550.0,0.01622
555.0,0.01624
560.0,0.01654
565.0,0.0165
570.0,0.01699
575.0,0.0169
580.0,0.01693
585.0,0.01681
590.0,0.01662
595.0,0.01662
600.0,0.01685
605.0,0.0168
610.0,0.01687
615.0,0.01686
620.0,0.01679
625.0,0.01745
630.0,0.01732
635.0,0.01738
640.0,0.0174
645.0,0.01733
650.0,0.01725
655.0,0.01682
660.0,0.01666
665.0,0.01694
670.0,0.01702
675.0,0.01694
680.0,0.01705
685.0,0.01735
690.0,0.0173
695.0,0.01651
700.0,0.01641
705.0,0.01657
710.0,0.01636
715.0,0.01667
720.0,0.01643
725.0,0.01664
730.0,0.01662
735.0,0.01649
740.0,0.017
745.0,0.01694
750.0,0.01657
755.0,0.01649
760.0,0.01645
765.0,0.01619
770.0,0.01657
775.0,0.01675
780.0,0.01664
785.0,0.01666
790.0,0.01666
795.0,0.01636
800.0,0.01608
805.0,0.01586
810.0,0.01576
815.0,0.01648
820.0,0.01617
825.0,0.01622
830.0,0.01534
835.0,0.0152
840.0,0.01488
845.0,0.01456
850.0,0.01476
855.0,0.01453
860.0,0.01462
865.0,0.01433
870.0,0.01438
875.0,0.01419
880.0,0.01422
885.0,0.01407
890.0,0.01404
895.0,0.01399
900.0,0.01385
905.0,0.0137
910.0,0.01402
915.0,0.01404
920.0,0.0139
925.0,0.01386
930.0,0.01402
935.0,0.01398
940.0,0.01396
945.0,0.014
950.0,0.01424
955.0,0.014
960.0,0.01407
965.0,0.01408
970.0,0.01433
975.0,0.01432
980.0,0.0144
985.0,0.01457
990.0,0.01456
995.0,0.01492
1000.0,0.01494
1005.0,0.01511
1010.0,0.01512
1015.0,0.01507
1020.0,0.01526
1025.0,0.01529
1030.0,0.01558
1035.0,0.01548
1040.0,0.01578
1045.0,0.01615
1050.0,0.01622
1055.0,0.0164
1060.0,0.01673
1065.0,0.01672
1070.0,0.01695
1075.0,0.01676
1080.0,0.01683
1085.0,0.017
1090.0,0.01707
1095.0,0.01737
1100.0,0.01697
1105.0,0.01716
1110.0,0.01716
1115.0,0.0173
1120.0,0.01723
1125.0,0.01717
1130.0,0.01716
1135.0,0.01742
1140.0,0.01758
1145.0,0.01738
1150.0,0.01733
1155.0,0.01728
1160.0,0.0174
1165.0,0.01739
1170.0,0.01757
1175.0,0.01731
1180.0,0.01763
1185.0,0.01757
1190.0,0.01769
1195.0,0.01763
1200.0,0.01772
1205.0,0.01719
1210.0,0.01785
1215.0,0.01764
1220.0,0.01768
1225.0,0.01759
1230.0,0.01759
1235.0,0.01765
1240.0,0.01749
1245.0,0.01758
1250.0,0.01768
1255.0,0.01766
1260.0,0.01767
1265.0,0.01747
1270.0,0.01767
1275.0,0.0179
1280.0,0.01788
1285.0,0.01778
1290.0,0.01793
1295.0,0.01806
1300.0,0.01809
1305.0,0.01814
1310.0,0.01806
1315.0,0.01817
1320.0,0.01789
1325.0,0.01797
1330.0,0.01767
1335.0,0.01763
1340.0,0.01769
1345.0,0.01773
1350.0,0.01797
1355.0,0.01785
1360.0,0.018
1365.0,0.01832
1370.0,0.018
1375.0,0.01792
1380.0,0.01827
1385.0,0.01798
1390.0,0.01808
1395.0,0.01777
1400.0,0.01795
1405.0,0.0179
1410.0,0.0178
1415.0,0.01805
1420.0,0.01775
1425.0,0.01786
1430.0,0.01797
1435.0,0.01774
1440.0,0.0179
