Composition,
Date Added,1993-08-03
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"Kelso Dunes, CA "
Minimum Wavelength,350
Sample Name,X-93-27 
Maximum Wavelength,2550
Database of Origin,RELAB
Other Information,Dune
References,
Resolution,10.0
Material class,Sediment
Sample Description,"Field sample, top cm layer  4/1/93 - 4/5/93 (time collected)"
Sample ID,C1SD46
Original Sample ID,SD-RXG-046
Viewing Geometry,39.0° / 0.0°
Wavelength,Response
350.0,0.09695
360.0,0.10164
370.0,0.10641
380.0,0.11388
390.0,0.123
400.0,0.13147
410.0,0.14039
420.0,0.14862
430.0,0.15937
440.0,0.1708
450.0,0.18103
460.0,0.18954
470.0,0.19471
480.0,0.20081
490.0,0.20917
500.0,0.218
510.0,0.22788
520.0,0.23835
530.0,0.24989
540.0,0.26192
550.0,0.27618
560.0,0.29185
570.0,0.30787
580.0,0.32221
590.0,0.33321
600.0,0.3416
610.0,0.34723
620.0,0.35201
630.0,0.35592
640.0,0.35958
650.0,0.36318
660.0,0.36685
670.0,0.37113
680.0,0.37531
690.0,0.37909
700.0,0.38272
710.0,0.38657
720.0,0.39055
730.0,0.39327
740.0,0.39625
750.0,0.39985
760.0,0.4025
770.0,0.40493
780.0,0.40714
790.0,0.40909
800.0,0.40952
810.0,0.41088
820.0,0.41156
830.0,0.41229
840.0,0.41242
850.0,0.41263
860.0,0.41227
870.0,0.41218
880.0,0.41307
890.0,0.41387
900.0,0.414
910.0,0.4157
920.0,0.41733
930.0,0.41798
940.0,0.41982
950.0,0.42127
960.0,0.42213
970.0,0.4236
980.0,0.42503
990.0,0.42676
1000.0,0.42723
1010.0,0.42925
1020.0,0.42994
1030.0,0.43131
1040.0,0.43234
1050.0,0.43322
1060.0,0.43423
1070.0,0.43507
1080.0,0.43623
1090.0,0.43654
1100.0,0.43782
1110.0,0.43821
1120.0,0.43977
1130.0,0.44062
1140.0,0.44145
1150.0,0.44213
1160.0,0.44284
1170.0,0.44361
1180.0,0.44526
1190.0,0.44584
1200.0,0.44672
1210.0,0.44756
1220.0,0.44771
1230.0,0.4486
1240.0,0.44946
1250.0,0.45087
1260.0,0.45107
1270.0,0.45234
1280.0,0.45248
1290.0,0.45328
1300.0,0.45404
1310.0,0.45493
1320.0,0.45474
1330.0,0.4555
1340.0,0.45581
1350.0,0.45548
1360.0,0.45627
1370.0,0.45563
1380.0,0.45266
1390.0,0.44382
1400.0,0.4291
1410.0,0.41831
1420.0,0.42716
1430.0,0.43567
1440.0,0.44121
1450.0,0.44383
1460.0,0.44488
1470.0,0.44683
1480.0,0.4503
1490.0,0.45194
1500.0,0.45409
1510.0,0.45636
1520.0,0.45733
1530.0,0.45927
1540.0,0.4604
1550.0,0.46127
1560.0,0.46261
1570.0,0.4638
1580.0,0.46489
1590.0,0.46544
1600.0,0.46642
1610.0,0.46725
1620.0,0.46779
1630.0,0.46749
1640.0,0.46873
1650.0,0.46969
1660.0,0.47078
1670.0,0.47137
1680.0,0.47199
1690.0,0.4716
1700.0,0.47227
1710.0,0.47252
1720.0,0.47246
1730.0,0.47242
1740.0,0.47198
1750.0,0.47155
1760.0,0.47155
1770.0,0.47114
1780.0,0.47067
1790.0,0.47087
1800.0,0.47053
1810.0,0.47041
1820.0,0.47118
1830.0,0.47167
1840.0,0.47134
1850.0,0.47032
1860.0,0.46754
1870.0,0.46272
1880.0,0.44835
1890.0,0.42318
1900.0,0.38877
1910.0,0.37685
1920.0,0.3841
1930.0,0.39332
1940.0,0.40065
1950.0,0.40527
1960.0,0.41101
1970.0,0.41648
1980.0,0.42186
1990.0,0.42741
2000.0,0.43349
2010.0,0.43859
2020.0,0.44275
2030.0,0.44614
2040.0,0.44868
2050.0,0.4512
2060.0,0.45292
2070.0,0.45401
2080.0,0.45553
2090.0,0.456
2100.0,0.45662
2110.0,0.45653
2120.0,0.45823
2130.0,0.45757
2140.0,0.45568
2150.0,0.45336
2160.0,0.44865
2170.0,0.44335
2180.0,0.4347
2190.0,0.42437
2200.0,0.41777
2210.0,0.42028
2220.0,0.42868
2230.0,0.43266
2240.0,0.43353
2250.0,0.43481
2260.0,0.43792
2270.0,0.43926
2280.0,0.43655
2290.0,0.43237
2300.0,0.4281
2310.0,0.42213
2320.0,0.41454
2330.0,0.40645
2340.0,0.40035
2350.0,0.39906
2360.0,0.40041
2370.0,0.4005
2380.0,0.39782
2390.0,0.39621
2400.0,0.39234
2410.0,0.38849
2420.0,0.38274
2430.0,0.37684
2440.0,0.37229
2450.0,0.36964
2460.0,0.36707
2470.0,0.36371
2480.0,0.36073
2490.0,0.35807
2500.0,0.35652
2510.0,0.35455
2520.0,0.35313
2530.0,0.35334
2540.0,0.35139
2550.0,0.35189
