Composition,
Date Added,2000-08-21
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,"Capitol Reef Natl Monument, Wayne Co., UT"
Minimum Wavelength,300
Sample Name,SPT123
Maximum Wavelength,25920
Database of Origin,RELAB
Other Information,Sideronatrite 
References,
Resolution,9.0
Material class,Mineral
Sample Description,Obtained from Minerals Unlimited  Dry-sieved. 
Sample ID,LASF37A
Original Sample ID,SF-EAC-037-A
Viewing Geometry,unknown
Wavelength,Response
300.0,0.04683
305.0,0.0417
310.0,0.03811
315.0,0.03647
320.0,0.03306
325.0,0.03256
330.0,0.03192
335.0,0.0328
340.0,0.03351
345.0,0.03629
350.0,0.03978
355.0,0.04471
360.0,0.0505
365.0,0.0565
370.0,0.06251
375.0,0.06974
380.0,0.0764
385.0,0.08398
390.0,0.09503
395.0,0.111
400.0,0.13713
405.0,0.16188
410.0,0.1738
415.0,0.17016
420.0,0.15339
425.0,0.13388
430.0,0.10925
435.0,0.11136
440.0,0.13655
445.0,0.16784
450.0,0.19446
455.0,0.21337
460.0,0.22494
465.0,0.23229
470.0,0.238
475.0,0.24445
480.0,0.24889
485.0,0.25637
490.0,0.26194
495.0,0.27055
500.0,0.27765
505.0,0.28692
510.0,0.29571
515.0,0.30523
520.0,0.3151
525.0,0.32536
530.0,0.33543
535.0,0.34556
540.0,0.35505
545.0,0.36437
550.0,0.37288
555.0,0.38042
560.0,0.38783
565.0,0.39417
570.0,0.40061
575.0,0.4054
580.0,0.4099
585.0,0.4144
590.0,0.41879
595.0,0.42214
600.0,0.42595
605.0,0.42921
610.0,0.43175
615.0,0.43465
620.0,0.43751
625.0,0.44026
630.0,0.44111
635.0,0.44467
640.0,0.44658
645.0,0.45043
650.0,0.45269
655.0,0.45627
660.0,0.45926
665.0,0.46284
670.0,0.46623
675.0,0.47016
680.0,0.47364
685.0,0.4763
690.0,0.48005
695.0,0.48257
700.0,0.48606
705.0,0.48801
710.0,0.49142
715.0,0.49282
720.0,0.49616
725.0,0.49666
730.0,0.49777
735.0,0.49993
740.0,0.50161
745.0,0.50333
750.0,0.50456
755.0,0.50562
760.0,0.5055
765.0,0.50702
770.0,0.50755
775.0,0.50902
780.0,0.50873
785.0,0.50961
790.0,0.50859
795.0,0.51019
800.0,0.51088
805.0,0.50816
810.0,0.50972
815.0,0.50874
820.0,0.50738
825.0,0.50654
830.0,0.50618
835.0,0.50466
840.0,0.505
845.0,0.50254
850.0,0.50086
855.0,0.50039
860.0,0.49823
865.0,0.49546
870.0,0.49337
875.0,0.49514
880.0,0.49147
885.0,0.49162
890.0,0.49016
895.0,0.49035
900.0,0.48866
905.0,0.48707
910.0,0.48854
915.0,0.4891
920.0,0.48772
925.0,0.49024
930.0,0.48847
935.0,0.48865
940.0,0.49155
945.0,0.49273
950.0,0.49248
955.0,0.49484
960.0,0.49825
965.0,0.49837
970.0,0.5039
975.0,0.50574
980.0,0.51092
985.0,0.51322
990.0,0.51711
995.0,0.52275
1000.0,0.52615
1005.0,0.53073
1010.0,0.53388
1015.0,0.53783
1020.0,0.54259
1025.0,0.54849
1030.0,0.55209
1035.0,0.55767
1040.0,0.5633
1045.0,0.56731
1050.0,0.57446
1055.0,0.5796
1060.0,0.58372
1065.0,0.5898
1070.0,0.59354
1075.0,0.59832
1080.0,0.6038
1085.0,0.60926
1090.0,0.61482
1095.0,0.61936
1100.0,0.62529
1105.0,0.63055
1110.0,0.63587
1115.0,0.64047
