Composition,
Date Added,2007-07-31
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,Bushveldt Complex 
Minimum Wavelength,1428
Sample Name,2504 Bushveldt Gabbro <45 um
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Gabbro
References,
Resolution,14.0
Material class,Rock
Sample Description,Impact effect (DDAP)
Sample ID,BIR1SG107
Original Sample ID,SG-BEC-107
Viewing Geometry,unknown
Wavelength,Response
1428.4,0.28155
1428.8,0.28191
1429.2,0.28198
1429.6,0.28197
1430.0,0.28201
1430.4,0.28184
1430.8,0.28177
1431.2,0.28216
1431.6,0.28208
1432.0,0.28193
1432.4,0.28189
1432.8,0.28193
1433.2,0.28218
1433.6,0.28254
1433.9,0.28253
1434.3,0.28222
1434.8,0.28213
1435.1,0.28206
1435.5,0.28177
1435.9,0.28164
1436.3,0.28166
1436.7,0.28178
1437.1,0.28202
1437.5,0.28206
1437.9,0.28215
1438.3,0.28201
1438.7,0.28201
1439.1,0.28222
1439.5,0.28209
1439.9,0.28202
1440.3,0.28205
1440.7,0.28184
1441.1,0.28186
1441.5,0.28182
1441.9,0.28149
1442.3,0.28191
1442.7,0.2823
1443.1,0.28223
1443.5,0.28182
1443.9,0.28189
1444.3,0.28218
1444.7,0.28231
1445.1,0.28225
1445.6,0.28204
1445.9,0.28204
1446.3,0.28186
1446.8,0.28184
1447.2,0.282
1447.6,0.28195
1448.0,0.28157
1448.4,0.28158
1448.8,0.28192
1449.2,0.282
1449.6,0.28212
1450.0,0.28221
1450.4,0.28216
1450.8,0.28214
1451.2,0.28203
1451.6,0.28204
1452.0,0.28227
1452.4,0.28234
1452.8,0.28221
1453.3,0.28212
1453.7,0.2821
1454.1,0.28191
1454.5,0.28162
1454.9,0.28165
1455.3,0.28163
1455.7,0.28161
1456.1,0.28159
1456.5,0.28193
1456.9,0.28213
1457.3,0.28183
1457.7,0.28166
1458.2,0.28189
1458.6,0.28227
1459.0,0.28222
1459.4,0.28189
1459.8,0.28199
1460.2,0.28214
1460.6,0.28216
1461.0,0.28196
1461.4,0.2818
1461.8,0.28189
1462.3,0.28225
1462.7,0.28213
1463.1,0.28173
1463.5,0.28153
1463.9,0.28169
1464.3,0.28196
1464.7,0.2822
1465.2,0.28243
1465.6,0.28234
1466.0,0.28197
1466.4,0.28188
1466.8,0.28197
1467.2,0.28198
1467.6,0.28187
1468.1,0.28163
1468.5,0.28147
1468.9,0.28176
1469.3,0.28199
1469.7,0.282
1470.1,0.28208
1470.6,0.28224
1471.0,0.28209
1471.4,0.28218
1471.8,0.28233
1472.2,0.28227
1472.7,0.28209
1473.1,0.28199
1473.5,0.28187
1473.9,0.28218
1474.3,0.28228
1474.7,0.28202
1475.2,0.28207
1475.6,0.28196
1476.0,0.28209
1476.4,0.28197
1476.8,0.28207
1477.3,0.28238
1477.7,0.28252
1478.1,0.28222
1478.5,0.28191
1478.9,0.28196
1479.4,0.28192
1479.8,0.28165
1480.2,0.28187
1480.6,0.28208
1481.1,0.28192
1481.5,0.28174
1481.9,0.28187
1482.3,0.28204
1482.8,0.28218
1483.2,0.28217
1483.6,0.28228
1484.0,0.28244
1484.4,0.28248
1484.9,0.28233
1485.3,0.28233
1485.7,0.2824
1486.2,0.28246
1486.6,0.28247
1487.0,0.28223
1487.4,0.28216
1487.9,0.28229
1488.3,0.2823
1488.7,0.28219
1489.1,0.28219
1489.6,0.28239
1490.0,0.28243
1490.4,0.28241
1490.8,0.28238
1491.3,0.28224
1491.7,0.28226
1492.1,0.28234
1492.6,0.28225
1493.0,0.282
1493.4,0.2818
1493.9,0.28176
1494.3,0.28199
1494.7,0.28214
1495.2,0.28214
1495.6,0.28221
1496.0,0.28223
1496.4,0.28234
1496.9,0.28243
1497.3,0.28231
1497.7,0.28208
1498.2,0.28227
1498.6,0.28253
1499.0,0.28233
1499.5,0.28243
1499.9,0.28262
1500.3,0.28263
1500.8,0.28252
1501.2,0.28255
1501.7,0.28271
1502.1,0.28265
1502.5,0.28228
1502.9,0.28196
1503.4,0.28216
1503.8,0.28245
1504.3,0.28249
1504.7,0.28246
1505.1,0.28231
1505.6,0.28232
1506.0,0.28242
1506.4,0.28228
1506.9,0.28214
1507.3,0.28245
1507.8,0.28229
1508.2,0.2821
1508.6,0.28213
1509.1,0.28239
1509.5,0.28258
1510.0,0.2825
1510.4,0.28229
1510.8,0.2824
1511.3,0.28248
1511.7,0.28243
1512.2,0.28262
1512.6,0.28263
1513.0,0.2824
1513.5,0.28218
1513.9,0.28204
1514.4,0.28233
1514.8,0.28258
1515.3,0.28234
1515.7,0.28209
1516.1,0.28225
1516.6,0.28243
1517.0,0.28272
1517.5,0.28266
1517.9,0.28268
1518.4,0.28255
1518.8,0.28229
1519.3,0.28211
1519.7,0.28232
1520.1,0.28239
1520.6,0.28249
1521.0,0.28264
1521.5,0.28263
1521.9,0.28244
1522.4,0.28242
1522.8,0.28265
1523.3,0.28243
1523.7,0.28222
1524.2,0.28262
1524.6,0.28252
1525.1,0.28217
1525.5,0.28208
1526.0,0.2822
1526.4,0.28221
1526.9,0.28225
1527.3,0.28212
1527.8,0.28204
1528.2,0.28215
1528.7,0.28199
1529.1,0.28188
1529.6,0.28198
1530.0,0.28208
1530.5,0.28208
1530.9,0.28202
1531.4,0.2823
1531.8,0.28249
1532.3,0.28232
1532.7,0.28213
1533.2,0.28215
1533.6,0.28237
1534.1,0.28228
1534.5,0.28218
1535.0,0.28202
1535.4,0.28188
1535.9,0.28217
1536.4,0.28223
1536.8,0.28202
1537.3,0.2819
1537.7,0.28189
1538.2,0.28197
1538.6,0.28208
1539.1,0.28207
1539.6,0.28212
1540.0,0.28216
1540.5,0.28208
1540.9,0.28196
1541.4,0.28199
1541.8,0.28192
1542.3,0.28177
1542.8,0.2819
1543.2,0.28208
1543.7,0.282
1544.1,0.282
1544.6,0.28213
1545.1,0.28209
1545.5,0.28194
1546.0,0.28182
1546.4,0.28186
1546.9,0.28176
1547.4,0.28188
1547.8,0.2819
1548.3,0.28199
1548.8,0.28221
1549.2,0.28226
1549.7,0.28201
1550.1,0.28154
1550.6,0.28164
1551.1,0.28193
1551.5,0.28193
1552.0,0.28174
1552.5,0.28166
1552.9,0.28172
1553.4,0.28192
1553.8,0.282
1554.3,0.28201
1554.8,0.2819
1555.3,0.28184
1555.7,0.28175
1556.2,0.28166
1556.7,0.28163
1557.1,0.28167
1557.6,0.28186
1558.1,0.28201
1558.5,0.28197
1559.0,0.2819
1559.5,0.28186
1559.9,0.28176
1560.4,0.28177
1560.9,0.28167
1561.3,0.28161
1561.8,0.28186
1562.3,0.28169
1562.8,0.28169
1563.2,0.28172
1563.7,0.28162
1564.2,0.28177
1564.6,0.28185
1565.1,0.28187
1565.6,0.2818
1566.1,0.28167
1566.5,0.28159
1567.0,0.28147
1567.5,0.28144
1567.9,0.28154
1568.4,0.28157
1568.9,0.28157
1569.4,0.28152
1569.8,0.28147
1570.3,0.28161
1570.8,0.2815
1571.3,0.28145
1571.8,0.28166
1572.2,0.28187
1572.7,0.2818
1573.2,0.28165
1573.7,0.28146
1574.1,0.2813
1574.6,0.28126
1575.1,0.28122
1575.6,0.28128
1576.1,0.28138
1576.5,0.28134
1577.0,0.28129
1577.5,0.28128
1578.0,0.28125
1578.4,0.28122
1578.9,0.2813
1579.4,0.28136
1579.9,0.28126
1580.4,0.28135
1580.9,0.28154
1581.3,0.28142
1581.8,0.28125
1582.3,0.28125
1582.8,0.2814
1583.3,0.28143
1583.8,0.28133
1584.2,0.28115
1584.7,0.28118
1585.2,0.28116
1585.7,0.28123
1586.2,0.28126
1586.7,0.28137
1587.2,0.28144
1587.6,0.28123
1588.1,0.28114
1588.6,0.28132
1589.1,0.28119
1589.6,0.28118
1590.1,0.28111
1590.6,0.28116
1591.1,0.2811
1591.5,0.28098
1592.0,0.28089
1592.5,0.2808
1593.0,0.28084
1593.5,0.28104
1594.0,0.28111
1594.5,0.28111
1595.0,0.28103
1595.4,0.28104
1595.9,0.281
1596.4,0.28084
1596.9,0.28073
1597.4,0.28095
1597.9,0.28113
1598.4,0.28117
1598.9,0.28118
1599.4,0.28126
1599.9,0.28115
1600.4,0.28087
1600.9,0.2808
1601.4,0.28104
1601.9,0.28112
1602.3,0.28107
1602.8,0.28095
1603.3,0.28087
1603.8,0.28086
1604.3,0.28083
1604.8,0.28089
1605.3,0.28094
1605.8,0.28087
1606.3,0.28081
1606.8,0.2807
1607.3,0.28079
1607.8,0.28084
1608.3,0.28088
1608.8,0.28094
1609.3,0.28102
1609.8,0.28099
1610.3,0.28095
1610.8,0.28074
1611.3,0.2807
1611.8,0.28082
1612.3,0.28091
1612.8,0.28092
1613.3,0.28092
1613.8,0.2808
1614.3,0.28073
1614.8,0.2808
1615.3,0.28078
1615.8,0.28066
1616.3,0.28072
1616.8,0.28067
1617.3,0.28052
1617.8,0.28046
1618.4,0.28044
1618.9,0.28043
1619.4,0.28048
1619.9,0.28051
1620.4,0.28076
1620.9,0.28067
1621.4,0.28062
1621.9,0.28054
1622.4,0.28051
1622.9,0.28056
1623.4,0.28069
1623.9,0.28059
1624.4,0.28037
1624.9,0.28041
1625.5,0.28046
1626.0,0.28053
1626.5,0.28069
1627.0,0.28045
1627.5,0.28026
1628.0,0.28039
1628.5,0.28041
1629.0,0.28033
1629.6,0.2803
