Composition,
Date Added,1990-03-08
Formula,
Grain Size Description,<500.0um
Grain Size,(125.0 - 500.0)
Locality,"San Salvador, Bahamas "
Minimum Wavelength,300
Sample Name,"SS-3-5 bleached in Clorox, heated at 150C for 24 hrs "
Maximum Wavelength,2700
Database of Origin,RELAB
Other Information,Sand Dollar 
References,
Resolution,5.0
Material class,Organic
Sample Description,"J-Clorox,150C,24hrs "
Sample ID,CJSH21
Original Sample ID,SH-SJG-021-J
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.44116
305.0,0.46492
310.0,0.47089
315.0,0.48825
320.0,0.50269
325.0,0.51295
330.0,0.52525
335.0,0.53304
340.0,0.54562
345.0,0.55927
350.0,0.56803
355.0,0.57702
360.0,0.58792
365.0,0.59955
370.0,0.61037
375.0,0.62058
380.0,0.62847
385.0,0.6374
390.0,0.64422
395.0,0.6501
400.0,0.65971
405.0,0.66564
410.0,0.6812
415.0,0.68695
420.0,0.69178
425.0,0.6988
430.0,0.7058
435.0,0.71105
440.0,0.71669
445.0,0.72178
450.0,0.72733
455.0,0.73354
460.0,0.73831
465.0,0.74258
470.0,0.74745
475.0,0.7508
480.0,0.75348
485.0,0.75775
490.0,0.76197
495.0,0.76639
500.0,0.77065
505.0,0.7722
510.0,0.77484
515.0,0.77773
520.0,0.78179
525.0,0.78458
530.0,0.78792
535.0,0.78826
540.0,0.79018
545.0,0.79239
550.0,0.79234
555.0,0.79722
560.0,0.79733
565.0,0.79926
570.0,0.80053
575.0,0.80427
580.0,0.80545
585.0,0.80876
590.0,0.8105
595.0,0.81427
600.0,0.81677
605.0,0.82081
610.0,0.82019
615.0,0.82251
620.0,0.82234
625.0,0.82607
630.0,0.82505
635.0,0.82734
640.0,0.82877
645.0,0.83131
650.0,0.83142
655.0,0.83337
660.0,0.83358
665.0,0.83763
670.0,0.83815
675.0,0.84036
680.0,0.84091
685.0,0.84282
690.0,0.84392
695.0,0.84503
700.0,0.84376
705.0,0.84557
710.0,0.84649
715.0,0.84525
720.0,0.84748
725.0,0.84807
730.0,0.84828
735.0,0.84743
740.0,0.84801
745.0,0.84787
750.0,0.84982
755.0,0.84935
760.0,0.85216
765.0,0.85397
770.0,0.85285
775.0,0.85439
780.0,0.85392
785.0,0.85291
790.0,0.8542
795.0,0.85414
800.0,0.85542
805.0,0.85635
810.0,0.85899
815.0,0.85734
820.0,0.85842
825.0,0.85774
830.0,0.85885
835.0,0.86047
840.0,0.86001
845.0,0.86133
850.0,0.86079
855.0,0.86078
860.0,0.8617
865.0,0.86237
870.0,0.86303
875.0,0.86281
880.0,0.86265
885.0,0.86363
890.0,0.86613
895.0,0.86542
900.0,0.86244
905.0,0.8623
910.0,0.86486
915.0,0.86538
920.0,0.8647
925.0,0.86372
930.0,0.86373
935.0,0.86312
940.0,0.86473
945.0,0.86211
950.0,0.86213
955.0,0.86074
960.0,0.86059
965.0,0.86116
970.0,0.8611
975.0,0.86089
980.0,0.86107
985.0,0.86067
990.0,0.8627
995.0,0.86287
1000.0,0.8619
1005.0,0.86196
1010.0,0.86268
1015.0,0.86153
1020.0,0.86407
1025.0,0.86371
1030.0,0.86507
1035.0,0.86419
1040.0,0.86475
1045.0,0.86417
1050.0,0.86487
1055.0,0.86504
1060.0,0.86498
1065.0,0.86417
1070.0,0.86549
1075.0,0.86524
1080.0,0.86467
1085.0,0.86586
1090.0,0.86846
1095.0,0.86614
1100.0,0.86619
1105.0,0.86601
1110.0,0.8666
1115.0,0.86482
1120.0,0.86616
1125.0,0.86556
1130.0,0.86499
1135.0,0.86517
1140.0,0.86507
1145.0,0.86379
1150.0,0.86147
1155.0,0.859
1160.0,0.85705
1165.0,0.85698
1170.0,0.8562
1175.0,0.85512
1180.0,0.85528
1185.0,0.85503
1190.0,0.85292
1195.0,0.85286
1200.0,0.85551
1205.0,0.85409
1210.0,0.85287
1215.0,0.85568
1220.0,0.85594
1225.0,0.8539
1230.0,0.85368
1235.0,0.85359
1240.0,0.85463
1245.0,0.85538
1250.0,0.85313
1255.0,0.85247
1260.0,0.8529
1265.0,0.85526
1270.0,0.85763
1275.0,0.85528
1280.0,0.85543
1285.0,0.85403
1290.0,0.85388
1295.0,0.85353
1300.0,0.85392
1305.0,0.854
1310.0,0.85293
1315.0,0.85149
1320.0,0.85048
1325.0,0.84885
1330.0,0.84633
1335.0,0.84398
1340.0,0.842
1345.0,0.83877
1350.0,0.83763
1355.0,0.83421
1360.0,0.8303
1365.0,0.83079
1370.0,0.82662
1375.0,0.82582
1380.0,0.81564
1385.0,0.8145
1390.0,0.80211
1395.0,0.78561
1400.0,0.76869
1405.0,0.75227
1410.0,0.73443
1415.0,0.72098
1420.0,0.70471
1425.0,0.69534
1430.0,0.68895
1435.0,0.68255
1440.0,0.67631
1445.0,0.67251
1450.0,0.67243
1455.0,0.66946
1460.0,0.66864
1465.0,0.67001
1470.0,0.67012
1475.0,0.6746
1480.0,0.67577
1485.0,0.68076
1490.0,0.68494
1495.0,0.69042
1500.0,0.69637
1505.0,0.70023
1510.0,0.70425
1515.0,0.71041
1520.0,0.71355
1525.0,0.71824
1530.0,0.72397
1535.0,0.72814
1540.0,0.72932
1545.0,0.73539
1550.0,0.73672
1555.0,0.74154
1560.0,0.74266
1565.0,0.74694
1570.0,0.74647
1575.0,0.74882
1580.0,0.75121
1585.0,0.7525
1590.0,0.75445
1595.0,0.75394
1600.0,0.75488
1605.0,0.75584
1610.0,0.75837
1615.0,0.76032
1620.0,0.7614
1625.0,0.76168
1630.0,0.76186
1635.0,0.76216
1640.0,0.76038
1645.0,0.76357
1650.0,0.76097
1655.0,0.76095
1660.0,0.76113
1665.0,0.76126
1670.0,0.7588
1675.0,0.75916
1680.0,0.75937
1685.0,0.75725
1690.0,0.75615
1695.0,0.75656
1700.0,0.75519
1705.0,0.75373
1710.0,0.75079
1715.0,0.74947
1720.0,0.75001
1725.0,0.74911
1730.0,0.74657
1735.0,0.74393
1740.0,0.74326
1745.0,0.74058
1750.0,0.73924
1755.0,0.7367
1760.0,0.73462
1765.0,0.73345
1770.0,0.73174
1775.0,0.73018
1780.0,0.72877
1785.0,0.72694
1790.0,0.72624
1795.0,0.72612
1800.0,0.72431
1805.0,0.72361
1810.0,0.72181
