Composition,
Date Added,2008-02-29
Formula,
Grain Size Description,<0.004um
Grain Size,0.004 - 0.004
Locality,
Minimum Wavelength,400
Sample Name,4-nm Au nanoparticles
Maximum Wavelength,800
Database of Origin,ReLab
Other Information,
References,
Resolution,2.0
Material Class,Other
Sample Description,
Sample ID,C1CX14
Original Sample ID,CX-SHS-014
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
400.0,4.57
402.0,4.64
404.0,4.64
406.0,4.57
408.0,4.57
410.0,4.56
412.0,4.56
414.0,4.48
416.0,4.49
418.0,4.46
420.0,4.45
422.0,4.44
424.0,4.44
426.0,4.42
428.0,4.5
430.0,4.44
432.0,4.41
434.0,4.4
436.0,4.39
438.0,4.36
440.0,4.35
442.0,4.34
444.0,4.31
446.0,4.28
448.0,4.27
450.0,4.24
452.0,4.22
454.0,4.22
456.0,4.21
458.0,4.2
460.0,4.19
462.0,4.18
464.0,4.16
466.0,4.17
468.0,4.14
470.0,4.17
472.0,4.13
474.0,4.19
476.0,4.12
478.0,4.13
480.0,4.12
482.0,4.12
484.0,4.11
486.0,4.11
488.0,4.1
490.0,4.09
492.0,4.08
494.0,4.09
496.0,4.07
498.0,4.06
500.0,4.05
502.0,4.05
504.0,4.05
506.0,4.05
508.0,4.04
510.0,4.06
512.0,4.05
514.0,4.05
516.0,4.05
518.0,4.06
520.0,4.05
522.0,4.06
524.0,4.06
526.0,4.07
528.0,4.07
530.0,4.09
532.0,4.09
534.0,4.11
536.0,4.12
538.0,4.13
540.0,4.15
542.0,4.16
544.0,4.19
546.0,4.2
548.0,4.21
550.0,4.24
552.0,4.26
554.0,4.3
556.0,4.31
558.0,4.33
560.0,4.35
562.0,4.38
564.0,4.41
566.0,4.45
568.0,4.47
570.0,4.48
572.0,4.52
574.0,4.55
576.0,4.55
578.0,4.59
580.0,4.62
582.0,4.64
584.0,4.66
586.0,4.67
588.0,4.7
590.0,4.71
592.0,4.73
594.0,4.76
596.0,4.77
598.0,4.79
600.0,4.79
602.0,4.8
604.0,4.81
606.0,4.82
608.0,4.83
610.0,4.84
612.0,4.87
614.0,4.88
616.0,4.89
618.0,4.91
620.0,4.91
622.0,4.91
624.0,4.93
626.0,4.95
628.0,4.95
630.0,4.95
632.0,4.96
634.0,4.98
636.0,4.98
638.0,5.01
640.0,5.02
642.0,5.02
644.0,5.03
646.0,5.03
648.0,5.04
650.0,5.07
652.0,5.07
654.0,5.06
656.0,5.08
658.0,5.08
660.0,5.09
662.0,5.12
664.0,5.14
666.0,5.16
668.0,5.18
670.0,5.2
672.0,5.24
674.0,5.26
676.0,5.27
678.0,5.29
680.0,5.31
682.0,5.34
684.0,5.34
686.0,5.33
688.0,5.35
690.0,5.35
692.0,5.36
694.0,5.36
696.0,5.35
698.0,5.36
700.0,5.35
702.0,5.37
704.0,5.34
706.0,5.35
708.0,5.35
710.0,5.34
712.0,5.34
714.0,5.34
716.0,5.33
718.0,5.34
720.0,5.32
722.0,5.32
724.0,5.33
726.0,5.34
728.0,5.32
730.0,5.33
732.0,5.33
734.0,5.32
736.0,5.31
738.0,5.31
740.0,5.32
742.0,5.31
744.0,5.32
746.0,5.33
748.0,5.32
750.0,5.32
752.0,5.3
754.0,5.3
756.0,5.31
758.0,5.31
760.0,5.32
762.0,5.31
764.0,5.33
766.0,5.31
768.0,5.35
770.0,5.34
772.0,5.33
774.0,5.31
776.0,5.33
778.0,5.32
780.0,5.32
782.0,5.33
784.0,5.35
786.0,5.31
788.0,5.34
790.0,5.34
792.0,5.31
794.0,5.35
796.0,5.38
798.0,5.36
800.0,5.34
