Composition,
Date Added,2009-09-11
Formula,
Grain Size Description,<0.015um
Grain Size,0.008 - 0.015
Locality,
Minimum Wavelength,400
Sample Name,"Au-Fe3O4 Dumbbell 8-15 nm (15 nm for Fe3O4, 8 nm for Au) Coating"
Maximum Wavelength,800
Database of Origin,ReLab
Other Information,
References,
Resolution,2.0
Material Class,Other
Sample Description,"Au-Fe nanoparticles (NIH, Student)"
Sample ID,C1NP21
Original Sample ID,NP-SHS-021
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
400.0,29.2
402.0,29.27
404.0,29.19
406.0,29.21
408.0,29.12
410.0,29.13
412.0,29.13
414.0,29.2
416.0,29.05
418.0,29.07
420.0,29.13
422.0,29.07
424.0,29.08
426.0,29.14
428.0,29.05
430.0,29.06
432.0,28.97
434.0,29.03
436.0,28.9
438.0,29.01
440.0,29.07
442.0,29.17
444.0,29.09
446.0,29.02
448.0,29.02
450.0,29.09
452.0,29.04
454.0,29.05
456.0,29.08
458.0,29.01
460.0,28.96
462.0,28.95
464.0,28.89
466.0,28.85
468.0,28.83
470.0,28.78
472.0,28.66
474.0,28.59
476.0,28.57
478.0,28.5
480.0,28.5
482.0,28.45
484.0,28.42
486.0,28.25
488.0,28.29
490.0,28.25
492.0,28.21
494.0,28.02
496.0,27.98
498.0,27.84
500.0,27.76
502.0,27.7
504.0,27.61
506.0,27.61
508.0,27.48
510.0,27.45
512.0,27.38
514.0,27.27
516.0,27.23
518.0,27.15
520.0,27.09
522.0,26.98
524.0,27.01
526.0,27.01
528.0,26.99
530.0,26.94
532.0,26.93
534.0,26.9
536.0,26.89
538.0,26.92
540.0,26.91
542.0,26.93
544.0,26.92
546.0,26.9
548.0,26.92
550.0,26.93
552.0,26.91
554.0,26.92
556.0,26.91
558.0,26.87
560.0,26.91
562.0,26.88
564.0,26.89
566.0,26.85
568.0,26.88
570.0,26.86
572.0,26.81
574.0,26.83
576.0,26.84
578.0,26.88
580.0,26.89
582.0,26.9
584.0,26.89
586.0,26.92
588.0,26.9
590.0,26.94
592.0,26.93
594.0,26.92
596.0,26.97
598.0,27.07
600.0,27.15
602.0,27.17
604.0,27.24
606.0,27.24
608.0,27.24
610.0,27.25
612.0,27.36
614.0,27.38
616.0,27.42
618.0,27.41
620.0,27.45
622.0,27.43
624.0,27.42
626.0,27.51
628.0,27.51
630.0,27.43
632.0,27.42
634.0,27.39
636.0,27.44
638.0,27.38
640.0,27.33
642.0,27.34
644.0,27.35
646.0,27.34
648.0,27.26
650.0,27.19
652.0,27.16
654.0,27.14
656.0,27.04
658.0,26.99
660.0,26.86
662.0,26.73
664.0,26.68
666.0,26.71
668.0,26.68
670.0,26.66
672.0,26.48
674.0,26.49
676.0,26.52
678.0,26.55
680.0,26.58
682.0,26.61
684.0,26.68
686.0,26.73
688.0,26.74
690.0,26.79
692.0,26.84
694.0,26.89
696.0,26.95
698.0,26.98
700.0,26.95
702.0,26.93
704.0,26.97
706.0,26.98
708.0,26.99
710.0,27.01
712.0,26.98
714.0,27.03
716.0,27.05
718.0,27.05
720.0,27.06
722.0,27.09
724.0,27.08
726.0,27.07
728.0,27.1
730.0,27.09
732.0,27.13
734.0,27.08
736.0,27.11
738.0,27.13
740.0,27.05
742.0,27.12
744.0,27.26
746.0,27.28
748.0,27.31
750.0,27.38
752.0,27.37
754.0,27.4
756.0,27.47
758.0,27.51
760.0,27.54
762.0,27.58
764.0,27.53
766.0,27.53
768.0,27.58
770.0,27.6
772.0,27.58
774.0,27.52
776.0,27.5
778.0,27.55
780.0,27.5
782.0,27.54
784.0,27.52
786.0,27.52
788.0,27.57
790.0,27.5
792.0,27.46
794.0,27.51
796.0,27.52
798.0,27.51
800.0,27.4
