Composition,
Date Added,1988-04-21
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,600
Sample Name,SS-5-13 
Maximum Wavelength,2700
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Biological
Sample Description,
Sample ID,C1SG41
Original Sample ID,SG-SJG-041
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
600.0,845.45
610.0,848.8
620.0,847.32
630.0,849.95
640.0,853.25
650.0,853.15
660.0,853.31
670.0,853.37
680.0,856.69
690.0,854.9
700.0,855.34
710.0,857.2
720.0,858.84
730.0,857.13
740.0,859.42
750.0,856.97
760.0,859.77
770.0,859.76
780.0,860.42
790.0,862.28
800.0,861.84
810.0,860.64
820.0,858.55
830.0,857.92
840.0,863.4
850.0,861.9
860.0,861.04
870.0,862.07
880.0,862.27
890.0,862.19
900.0,862.87
910.0,860.21
920.0,859.6
930.0,862.02
940.0,858.71
950.0,861.32
960.0,858.03
970.0,856.97
980.0,857.4
990.0,857.86
1000.0,855.64
1010.0,855.67
1020.0,857.31
1030.0,856.06
1040.0,855.35
1050.0,853.58
1060.0,853.76
1070.0,853.71
1080.0,853.52
1090.0,854.54
1100.0,855.93
1110.0,854.74
1120.0,854.15
1130.0,853.17
1140.0,852.33
1150.0,851.88
1160.0,851.72
1170.0,849.76
1180.0,849.08
1190.0,848.96
1200.0,847.19
1210.0,843.41
1220.0,844.66
1230.0,846.58
1240.0,847.49
1250.0,844.82
1260.0,844.94
1270.0,844.61
1280.0,840.38
1290.0,844.64
1300.0,845.07
1310.0,841.13
1320.0,840.81
1330.0,840.49
1340.0,840.29
1350.0,834.8
1360.0,834.41
1370.0,835.22
1380.0,826.92
1390.0,831.71
1400.0,822.96
1410.0,819.19
1420.0,812.56
1430.0,803.49
1440.0,799.6
1450.0,795.75
1460.0,795.13
1470.0,793.81
1480.0,794.31
1490.0,795.37
1500.0,797.5
1510.0,797.68
1520.0,800.27
1530.0,801.68
1540.0,804.53
1550.0,811.42
1560.0,810.06
1570.0,807.13
1580.0,808.99
1590.0,811.01
1600.0,812.79
1610.0,810.09
1620.0,810.31
1630.0,809.1
1640.0,809.38
1650.0,807.46
1660.0,800.84
1670.0,800.23
1680.0,800.86
1690.0,795.84
1700.0,795.51
1710.0,795.05
1720.0,790.2
1730.0,790.24
1740.0,789.02
1750.0,788.6
1760.0,785.35
1770.0,786.85
1780.0,785.73
1790.0,783.87
1800.0,784.13
1810.0,780.03
1820.0,779.13
1830.0,774.83
1840.0,775.45
1850.0,774.17
1860.0,769.1
1870.0,749.8
1880.0,745.0
1890.0,709.73
1900.0,673.25
1910.0,647.39
1920.0,625.69
1930.0,610.05
1940.0,605.49
1950.0,604.38
1960.0,609.96
1970.0,618.45
1980.0,623.98
1990.0,629.47
2000.0,635.72
2010.0,645.05
2020.0,651.86
2030.0,656.38
2040.0,664.89
2050.0,667.92
2060.0,673.92
2070.0,678.33
2080.0,682.16
2090.0,685.01
2100.0,686.19
2110.0,689.46
2120.0,696.6
2130.0,697.5
2140.0,697.29
2150.0,698.33
2160.0,698.9
2170.0,701.07
2180.0,700.06
2190.0,700.1
2200.0,698.02
2210.0,700.0
2220.0,697.18
2230.0,692.74
2240.0,686.58
2250.0,679.99
2260.0,673.11
2270.0,668.78
2280.0,655.38
2290.0,644.94
2300.0,636.66
2310.0,633.62
2320.0,628.22
2330.0,626.3
2340.0,630.43
2350.0,626.71
2360.0,635.14
2370.0,639.15
2380.0,630.93
2390.0,622.37
2400.0,611.69
2410.0,596.13
2420.0,584.72
2430.0,569.43
2440.0,555.37
2450.0,537.98
2460.0,529.06
2470.0,520.66
2480.0,509.95
2490.0,502.0
2500.0,496.52
2510.0,480.58
2520.0,473.08
2530.0,482.05
2540.0,493.48
2550.0,510.22
2560.0,507.41
2570.0,528.83
2580.0,533.45
2590.0,541.76
2600.0,541.14
2610.0,545.38
2620.0,540.38
2630.0,516.08
2640.0,510.68
2650.0,497.84
2660.0,483.11
2670.0,478.07
2680.0,458.89
2690.0,418.71
2700.0,382.78
