Composition,
Date Added,1989-05-08
Formula,
Grain Size Description,<355.0um
Grain Size,0.0 - 355.0
Locality,
Minimum Wavelength,300
Sample Name,11502 Stron 
Maximum Wavelength,3600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,
Sample ID,C1SH09
Original Sample ID,SH-SJG-009
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,525.47
305.0,533.04
310.0,542.0
315.0,550.63
320.0,559.1
325.0,569.14
330.0,581.01
335.0,587.67
340.0,599.06
345.0,605.24
350.0,614.13
355.0,620.84
360.0,629.62
365.0,638.25
370.0,646.71
375.0,653.85
380.0,660.35
385.0,665.4
390.0,672.37
395.0,678.37
400.0,683.29
405.0,688.51
410.0,698.15
415.0,705.16
420.0,710.63
425.0,714.6
430.0,720.83
435.0,725.84
440.0,731.28
445.0,735.41
450.0,740.02
455.0,747.6
460.0,750.17
465.0,755.22
470.0,759.01
475.0,762.4
480.0,766.01
485.0,769.42
490.0,774.39
495.0,775.9
500.0,779.24
505.0,782.15
510.0,784.55
515.0,786.58
520.0,789.63
525.0,791.94
530.0,793.81
535.0,795.35
540.0,797.32
545.0,799.23
550.0,801.41
555.0,802.94
560.0,803.93
565.0,804.91
570.0,806.19
575.0,807.09
580.0,808.25
585.0,809.74
590.0,811.62
595.0,812.47
600.0,813.29
605.0,814.29
610.0,814.68
615.0,816.03
620.0,815.81
625.0,815.7
630.0,816.75
635.0,816.69
640.0,817.76
645.0,818.59
650.0,819.02
655.0,819.92
660.0,820.31
665.0,821.38
670.0,822.02
675.0,823.35
680.0,824.01
685.0,824.62
690.0,825.66
695.0,825.67
700.0,825.91
705.0,828.1
710.0,827.46
715.0,828.04
720.0,827.62
725.0,829.68
730.0,829.72
735.0,830.19
740.0,830.42
745.0,831.74
750.0,831.53
755.0,832.08
760.0,832.4
765.0,832.58
770.0,832.93
775.0,833.64
780.0,834.59
785.0,834.0
790.0,835.28
795.0,836.08
800.0,835.23
805.0,834.57
810.0,835.54
815.0,835.93
820.0,836.01
825.0,835.78
830.0,835.11
835.0,834.81
840.0,836.05
845.0,838.07
850.0,836.78
855.0,837.52
860.0,836.65
865.0,838.47
870.0,837.46
875.0,835.96
880.0,837.12
885.0,836.46
890.0,836.94
895.0,836.74
900.0,836.34
905.0,835.98
910.0,834.56
915.0,836.84
920.0,836.54
925.0,838.27
930.0,837.08
935.0,836.72
940.0,836.55
945.0,837.05
950.0,836.13
955.0,836.36
960.0,836.64
965.0,836.53
970.0,835.17
975.0,836.94
980.0,836.86
985.0,836.05
990.0,837.38
995.0,836.61
1000.0,836.04
1005.0,835.84
1010.0,836.72
1015.0,836.98
1020.0,835.64
1025.0,835.75
1030.0,836.47
1035.0,837.68
1040.0,837.02
1045.0,836.65
1050.0,836.45
1055.0,836.65
1060.0,837.85
1065.0,836.22
1070.0,836.65
1075.0,837.41
1080.0,838.02
1085.0,838.37
1090.0,836.98
1095.0,837.03
1100.0,838.21
1105.0,837.89
1110.0,838.0
1115.0,836.99
1120.0,836.94
1125.0,838.42
1130.0,838.58
1135.0,837.81
1140.0,838.59
1145.0,838.54
1150.0,838.81
1155.0,837.66
1160.0,838.57
1165.0,837.69
1170.0,837.72
1175.0,838.11
1180.0,838.59
1185.0,837.7
1190.0,838.41
1195.0,837.97
1200.0,837.53
1205.0,839.6
1210.0,841.48
1215.0,840.3
1220.0,840.14
1225.0,839.72
1230.0,837.91
1235.0,838.53
1240.0,840.22
1245.0,841.27
1250.0,840.54
1255.0,839.27
1260.0,838.97
1265.0,839.56
1270.0,842.39
1275.0,840.85
1280.0,840.95
1285.0,838.74
1290.0,837.85
1295.0,838.18
1300.0,839.6
1305.0,841.64
1310.0,841.19
1315.0,840.37
1320.0,838.87
1325.0,838.47
1330.0,839.94
1335.0,839.03
1340.0,841.28
1345.0,841.41
1350.0,840.04
1355.0,839.21
1360.0,837.3
1365.0,839.4
1370.0,838.64
1375.0,840.23
1380.0,838.47
1385.0,840.59
1390.0,839.36
1395.0,837.85
1400.0,836.21
1405.0,836.47
1410.0,839.4
1415.0,838.54
1420.0,837.99
1425.0,836.9
1430.0,835.67
1435.0,836.01
1440.0,834.59
1445.0,834.31
1450.0,834.98
1455.0,835.64
1460.0,834.29
1465.0,835.23
1470.0,834.55
1475.0,833.73
1480.0,835.51
1485.0,836.0
1490.0,835.79
1495.0,835.13
1500.0,836.0
1505.0,836.13
1510.0,835.86
1515.0,836.44
1520.0,835.23
1525.0,835.74
1530.0,833.93
1535.0,837.28
1540.0,838.27
1545.0,837.4
1550.0,839.78
1555.0,838.94
1560.0,838.1
1565.0,838.96
1570.0,836.57
1575.0,835.52
1580.0,834.77
1585.0,836.42
1590.0,836.16
1595.0,838.64
1600.0,838.71
1605.0,839.03
1610.0,840.46
1615.0,838.68
1620.0,838.63
1625.0,839.03
1630.0,835.79
1635.0,837.97
1640.0,836.16
1645.0,838.41
1650.0,837.71
1655.0,838.91
1660.0,840.11
1665.0,839.57
1670.0,841.4
1675.0,839.93
1680.0,840.38
1685.0,838.96
1690.0,840.19
1695.0,841.12
1700.0,836.35
1705.0,837.26
1710.0,837.1
1715.0,836.31
1720.0,835.15
1725.0,836.06
1730.0,834.4
1735.0,832.87
1740.0,832.6
1745.0,832.69
1750.0,831.62
1755.0,833.44
1760.0,832.3
1765.0,831.36
1770.0,830.78
1775.0,831.76
1780.0,834.07
1785.0,835.64
1790.0,838.13
1795.0,839.03
1800.0,837.42
1805.0,837.88
1810.0,836.3
1815.0,836.6
1820.0,833.56
1825.0,833.63
1830.0,832.78
1835.0,830.23
1840.0,825.51
1845.0,824.54
1850.0,823.72
1855.0,821.29
1860.0,818.4
1865.0,813.39
1870.0,805.69
1875.0,804.46
1880.0,794.16
1885.0,786.26
1890.0,781.98
1895.0,785.82
1900.0,791.56
1905.0,802.33
1910.0,812.01
1915.0,813.08
1920.0,813.86
1925.0,814.5
1930.0,816.28
1935.0,816.09
1940.0,815.06
1945.0,814.83
1950.0,814.78
1955.0,814.09
1960.0,813.74
1965.0,810.76
1970.0,806.22
1975.0,804.48
1980.0,803.85
1985.0,803.1
1990.0,800.1
1995.0,798.29
2000.0,791.87
2005.0,786.35
2010.0,778.07
2015.0,767.89
2020.0,768.5
2025.0,781.66
2030.0,797.03
2035.0,809.81
2040.0,819.56
2045.0,823.29
2050.0,827.34
2055.0,826.64
2060.0,829.4
2065.0,827.4
2070.0,827.11
2075.0,828.27
2080.0,827.17
2085.0,826.56
2090.0,826.98
2095.0,825.4
2100.0,828.35
2105.0,827.3
2110.0,824.71
2115.0,821.2
2120.0,818.75
2125.0,817.41
2130.0,816.63
2135.0,813.83
2140.0,812.17
2145.0,807.41
2150.0,805.68
2155.0,798.62
2160.0,793.84
2165.0,786.04
2170.0,770.16
2175.0,757.19
2180.0,755.81
2185.0,759.7
2190.0,766.75
2195.0,776.4
2200.0,782.14
2205.0,783.08
2210.0,783.08
2215.0,776.37
2220.0,769.53
2225.0,762.3
2230.0,754.46
2235.0,745.39
2240.0,736.16
2245.0,726.49
2250.0,714.83
2255.0,703.32
2260.0,690.84
2265.0,678.08
2270.0,665.46
2275.0,650.49
2280.0,638.1
2285.0,623.63
2290.0,612.75
2295.0,604.84
2300.0,596.64
2305.0,587.48
2310.0,576.68
2315.0,564.57
2320.0,552.16
2325.0,536.98
2330.0,520.36
2335.0,500.13
2340.0,472.96
2345.0,450.34
2350.0,444.09
2355.0,458.73
2360.0,482.74
2365.0,509.33
2370.0,542.64
2375.0,584.83
2380.0,626.37
2385.0,661.52
2390.0,685.73
2395.0,704.95
2400.0,716.78
2405.0,719.41
2410.0,721.55
2415.0,720.13
2420.0,716.11
2425.0,712.23
2430.0,709.23
2435.0,704.27
2440.0,697.52
2445.0,688.15
2450.0,674.37
2455.0,659.18
2460.0,641.68
2465.0,620.65
2470.0,593.53
2475.0,564.63
2480.0,535.85
2485.0,510.0
2490.0,492.84
2495.0,481.15
2500.0,474.48
2505.0,468.55
2510.0,462.93
2515.0,450.49
2520.0,437.39
2525.0,418.44
2530.0,397.74
2535.0,373.85
2540.0,348.25
2545.0,331.57
2550.0,319.78
2555.0,311.95
2560.0,310.51
2565.0,340.02
2570.0,377.86
2575.0,421.7
2580.0,471.67
