Composition,
Date Added,1994-11-23
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"San Luis Obispo Co., CA "
Minimum Wavelength,300
Sample Name,CA4 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Shale 
References,
Resolution,5.0
Material class,Rock
Sample Description,Unsorted shale  
Sample ID,C1SL01
Original Sample ID,SL-EAC-001
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.02029
305.0,0.019
310.0,0.01896
315.0,0.01907
320.0,0.01897
325.0,0.01855
330.0,0.01856
335.0,0.01854
340.0,0.01832
345.0,0.01855
350.0,0.01837
355.0,0.01899
360.0,0.01877
365.0,0.0188
370.0,0.0187
375.0,0.01853
380.0,0.01849
385.0,0.01857
390.0,0.01855
395.0,0.01871
400.0,0.01887
405.0,0.01861
410.0,0.01863
415.0,0.01868
420.0,0.01876
425.0,0.01892
430.0,0.01899
435.0,0.01917
440.0,0.01927
445.0,0.01934
450.0,0.0196
455.0,0.01972
460.0,0.01982
465.0,0.01998
470.0,0.02016
475.0,0.02042
480.0,0.02052
485.0,0.02073
490.0,0.02088
495.0,0.02113
500.0,0.02131
505.0,0.02152
510.0,0.02171
515.0,0.02213
520.0,0.02225
525.0,0.0225
530.0,0.02268
535.0,0.02302
540.0,0.0233
545.0,0.02349
550.0,0.02379
555.0,0.02397
560.0,0.02434
565.0,0.02462
570.0,0.02496
575.0,0.02535
580.0,0.0257
585.0,0.02607
590.0,0.02649
595.0,0.02685
600.0,0.02726
605.0,0.02775
610.0,0.02813
615.0,0.02861
620.0,0.02905
625.0,0.0295
630.0,0.02995
635.0,0.03044
640.0,0.03092
645.0,0.03148
650.0,0.03193
655.0,0.03249
660.0,0.03298
665.0,0.03351
670.0,0.03376
675.0,0.03435
680.0,0.03496
685.0,0.03553
690.0,0.03614
695.0,0.0368
700.0,0.03749
705.0,0.03808
710.0,0.03868
715.0,0.0395
720.0,0.04015
725.0,0.04084
730.0,0.04162
