Composition,
Date Added,2015-11-02
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,"Labradorite: Mexico; Spinel: Amity, NY"
Minimum Wavelength,300
Sample Name,"Labr95-Sp5, second preparation"
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Labradorite Spinel
References,
Resolution,5.0
Material class,Mixture
Sample Description,"SP-CMP-100-B was further mixed lightly in Dimonite mortar and pestle for 5 mins, put in a sample dish, lightly tapped, and a stainless steel spatula was run over the top."
Sample ID,C1SP100B2
Original Sample ID,SP-CMP-100-B2
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.4393
305.0,0.48078
310.0,0.5206
315.0,0.55353
320.0,0.58356
325.0,0.60608
330.0,0.62509
335.0,0.64221
340.0,0.65563
345.0,0.66588
350.0,0.67649
355.0,0.68822
360.0,0.70107
365.0,0.70921
370.0,0.71246
375.0,0.71424
380.0,0.71268
385.0,0.71338
390.0,0.72346
395.0,0.72933
400.0,0.73549
405.0,0.73936
410.0,0.74361
415.0,0.74663
420.0,0.75052
425.0,0.75552
430.0,0.75804
435.0,0.75941
440.0,0.76221
445.0,0.76087
450.0,0.76074
455.0,0.75914
460.0,0.7585
465.0,0.75941
470.0,0.76053
475.0,0.76091
480.0,0.76465
485.0,0.76544
490.0,0.76595
495.0,0.76422
500.0,0.76507
505.0,0.76324
510.0,0.76085
515.0,0.76167
520.0,0.76052
525.0,0.76018
530.0,0.75941
535.0,0.75635
540.0,0.75732
545.0,0.75844
550.0,0.75888
555.0,0.75806
560.0,0.75862
565.0,0.75797
570.0,0.7581
575.0,0.76034
580.0,0.76111
585.0,0.76197
590.0,0.76392
595.0,0.76226
600.0,0.76353
605.0,0.7639
610.0,0.76543
615.0,0.76534
620.0,0.7652
625.0,0.76638
630.0,0.76725
635.0,0.76646
640.0,0.76581
645.0,0.76655
650.0,0.7679
655.0,0.76962
660.0,0.76948
665.0,0.76924
670.0,0.77061
675.0,0.77264
680.0,0.77554
685.0,0.77755
690.0,0.77715
695.0,0.77961
700.0,0.77903
705.0,0.78238
710.0,0.78373
715.0,0.78452
720.0,0.78479
725.0,0.78496
730.0,0.78601
735.0,0.78777
740.0,0.78813
745.0,0.78836
750.0,0.7901
755.0,0.79074
760.0,0.79299
765.0,0.79555
770.0,0.7961
775.0,0.79833
780.0,0.79926
785.0,0.80037
790.0,0.80223
795.0,0.80299
800.0,0.80442
805.0,0.80515
810.0,0.80666
815.0,0.80724
820.0,0.80819
825.0,0.80876
830.0,0.81006
