Composition,
Date Added,2005-05-09
Formula,
Grain Size Description,<480.0um
Grain Size,(250.0 - 480.0)
Locality,
Minimum Wavelength,800
Sample Name,Serpentine #2370 Vial E 250-480 um shocked fragments
Maximum Wavelength,4762
Database of Origin,RELAB
Other Information,Shocked Serpentine
References,
Resolution,4.0
Material class,Mineral
Sample Description,Impact dehydration study (NASA Origins / PGG)
Sample ID,BNR1SR084
Original Sample ID,SR-ASR-084
Viewing Geometry,Unknown
Wavelength,Response
799.9,0.11823
800.0,0.1182
800.2,0.11815
800.3,0.11767
800.4,0.11755
800.5,0.1175
800.7,0.11785
800.8,0.11788
800.9,0.11685
801.0,0.11699
801.2,0.11797
801.3,0.11843
801.4,0.11856
801.5,0.11835
801.6,0.11785
801.8,0.11793
801.9,0.11755
802.0,0.11714
802.1,0.11787
802.3,0.11786
802.4,0.11791
802.5,0.11878
802.6,0.11892
802.8,0.11833
802.9,0.11815
803.0,0.11785
803.1,0.11759
803.3,0.1182
803.4,0.11876
803.5,0.11849
803.6,0.11818
803.8,0.11826
803.9,0.11799
804.0,0.11809
804.1,0.11788
804.3,0.11741
804.4,0.11725
804.5,0.11749
804.6,0.11779
804.8,0.1176
804.9,0.1175
805.0,0.11811
805.1,0.11827
805.3,0.11797
805.4,0.11777
805.5,0.11713
805.6,0.11649
805.8,0.11678
805.9,0.11805
806.0,0.11843
806.1,0.11852
806.3,0.1184
806.4,0.118
806.5,0.11739
806.6,0.11717
806.8,0.11798
806.9,0.11801
807.0,0.11812
807.1,0.1183
807.3,0.11812
807.4,0.11842
807.5,0.11834
807.6,0.11768
807.8,0.11702
807.9,0.11744
808.0,0.11805
808.1,0.11804
808.3,0.11745
808.4,0.11712
808.5,0.11762
808.6,0.11852
808.8,0.11848
808.9,0.11748
809.0,0.11695
809.2,0.11735
809.3,0.11767
809.4,0.11791
809.5,0.11836
809.7,0.11857
809.8,0.11846
809.9,0.11838
810.0,0.11866
810.2,0.1178
810.3,0.11675
810.4,0.11724
810.5,0.11748
810.7,0.11761
810.8,0.1179
810.9,0.11745
811.0,0.11759
811.2,0.11841
811.3,0.11876
811.4,0.11836
811.5,0.11803
811.7,0.11774
811.8,0.11692
811.9,0.11669
812.1,0.11769
812.2,0.11845
812.3,0.11811
812.4,0.11803
812.6,0.11797
812.7,0.11789
812.8,0.11723
813.0,0.11735
813.1,0.11818
813.2,0.11839
813.3,0.11822
813.5,0.11784
813.6,0.11735
813.7,0.11745
813.8,0.11757
814.0,0.11773
814.1,0.11823
814.2,0.11792
814.4,0.11747
814.5,0.11775
814.6,0.11857
814.7,0.11837
814.9,0.11814
815.0,0.11787
815.1,0.11771
815.3,0.11799
815.4,0.11821
815.5,0.11812
815.6,0.11768
815.8,0.11694
815.9,0.11664
