Composition,
Date Added,2004-09-22
Formula,
Grain Size Description,<1000.0um
Grain Size,"(710.0, 1000.0)"
Locality,
Minimum Wavelength,1000
Sample Name,WAR-6894
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Pyroxenoid Pyroxmangite
References,Arizona State Univ.
Resolution,4.0
Material class,Mineral
Sample Description,From ASU TES spectral library to contribute to the CRISM spectral library for Mars
Sample ID,BIR1SR074
Original Sample ID,SR-JFM-074
Viewing Geometry,unknown
Wavelength,Response
1000.0,0.15611
1000.2,0.15598
1000.4,0.15585
1000.6,0.15574
1000.8,0.15574
1001.0,0.15566
1001.2,0.15551
1001.4,0.1556
1001.6,0.15557
1001.8,0.15546
1001.9,0.15556
1002.1,0.15565
1002.3,0.15553
1002.5,0.15547
1002.7,0.15549
1002.9,0.15543
1003.1,0.15533
1003.3,0.15525
1003.5,0.15513
1003.7,0.15511
1003.9,0.15515
1004.1,0.15498
1004.3,0.15495
1004.5,0.15496
1004.7,0.15489
1004.9,0.15492
1005.0,0.15488
1005.3,0.15483
1005.4,0.15484
1005.6,0.1547
1005.8,0.15467
1006.0,0.15479
1006.2,0.15472
1006.4,0.15457
1006.6,0.15451
1006.8,0.15456
1007.0,0.15469
1007.2,0.15461
1007.4,0.15442
1007.6,0.15439
1007.8,0.15436
1008.0,0.15427
1008.2,0.15431
1008.4,0.1543
1008.6,0.15425
1008.8,0.15425
1009.0,0.15435
1009.2,0.15443
1009.4,0.15427
1009.5,0.15411
1009.8,0.15405
1010.0,0.15412
1010.1,0.1541
1010.3,0.15397
1010.5,0.1539
1010.7,0.15396
1010.9,0.15394
1011.1,0.1539
1011.3,0.15382
1011.5,0.15382
1011.7,0.15376
1011.9,0.15363
1012.1,0.15369
1012.3,0.1537
1012.5,0.15366
1012.7,0.15372
1012.9,0.15362
1013.1,0.1535
1013.3,0.15355
1013.5,0.15361
1013.7,0.15358
1013.9,0.1535
1014.1,0.1535
1014.3,0.15357
1014.5,0.15358
1014.7,0.1535
1014.9,0.15343
1015.1,0.15339
1015.3,0.15344
1015.5,0.15349
1015.7,0.15343
1015.9,0.15327
1016.1,0.15323
1016.3,0.1532
1016.5,0.15318
1016.7,0.15314
1016.9,0.15315
1017.1,0.15323
1017.3,0.15317
1017.5,0.15308
1017.7,0.15312
1017.9,0.15315
1018.1,0.15318
1018.3,0.15309
1018.5,0.15303
1018.7,0.15312
1018.9,0.15314
1019.1,0.15306
1019.3,0.15305
1019.5,0.153
1019.7,0.15303
1019.9,0.15307
1020.1,0.15308
1020.3,0.15304
1020.5,0.15305
1020.7,0.15298
1020.9,0.15288
1021.1,0.15293
1021.3,0.153
1021.5,0.15294
1021.7,0.15282
1021.9,0.15285
1022.1,0.15285
1022.3,0.15278
1022.5,0.15275
1022.7,0.15279
1022.9,0.15281
1023.1,0.15278
1023.3,0.15278
1023.5,0.15279
1023.7,0.15284
1023.9,0.15284
1024.1,0.1528
1024.3,0.15277
1024.5,0.15273
1024.7,0.15266
1024.9,0.15261
1025.1,0.15267
1025.3,0.15275
1025.5,0.15279
1025.7,0.15268
1025.9,0.15265
1026.1,0.15273
1026.3,0.15274
1026.5,0.15265
1026.8,0.15259
1026.9,0.15266
1027.2,0.15267
1027.4,0.15269
1027.6,0.1528
1027.8,0.15276
1028.0,0.15284
1028.2,0.15284
1028.4,0.1528
1028.6,0.1527
1028.8,0.1526
1029.0,0.15264
1029.2,0.15264
1029.4,0.15262
1029.6,0.15262
1029.8,0.1527
1030.0,0.15269
1030.2,0.15265
1030.4,0.15271
1030.6,0.1527
1030.8,0.1526
1031.0,0.15252
1031.2,0.15268
1031.4,0.15279
1031.7,0.15278
1031.8,0.15283
1032.1,0.15282
1032.3,0.15279
1032.5,0.15281
1032.7,0.15282
1032.9,0.15286
1033.1,0.15285
1033.3,0.15284
1033.5,0.15291
1033.7,0.15295
1033.9,0.15295
1034.1,0.15296
1034.3,0.15297
1034.5,0.15289
