Composition,
Date Added,2004-09-23
Formula,
Grain Size Description,<1000.0um
Grain Size,"(710.0, 1000.0)"
Locality,
Minimum Wavelength,320
Sample Name,WAR-4482
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Kyanite Al2SiO5
References,
Resolution,4.0
Material class,Mineral
Sample Description,From ASU TES spectral library to contribute to the CRISM spectral library for Mars
Sample ID,BKR1SR072
Original Sample ID,SR-JFM-072
Viewing Geometry,unknown
Wavelength,Response
320.0,0.07931
325.0,0.08207
330.0,0.08369
335.0,0.08412
340.0,0.08442
345.0,0.08474
350.0,0.08576
355.0,0.08659
360.0,0.08748
365.0,0.08938
370.0,0.09184
375.0,0.09517
380.0,0.09921
385.0,0.10406
390.0,0.10973
395.0,0.11545
400.0,0.11899
405.0,0.12309
410.0,0.12741
415.0,0.13177
420.0,0.13699
425.0,0.14277
430.0,0.14928
435.0,0.15725
440.0,0.16522
445.0,0.17115
450.0,0.17607
455.0,0.17876
460.0,0.18028
465.0,0.18156
470.0,0.18301
475.0,0.18491
480.0,0.18751
485.0,0.19085
490.0,0.19523
495.0,0.20054
500.0,0.20629
505.0,0.21241
510.0,0.21839
515.0,0.22469
520.0,0.23091
525.0,0.23711
530.0,0.24361
535.0,0.2494
540.0,0.25495
545.0,0.25991
550.0,0.26411
555.0,0.26797
560.0,0.27099
565.0,0.2731
570.0,0.27476
575.0,0.27505
580.0,0.27591
585.0,0.27672
590.0,0.2773
595.0,0.27777
600.0,0.2782
605.0,0.27804
610.0,0.27845
615.0,0.27893
620.0,0.27934
625.0,0.27999
630.0,0.28072
635.0,0.28138
640.0,0.28213
645.0,0.28288
650.0,0.28361
655.0,0.28426
660.0,0.28511
665.0,0.28596
670.0,0.28665
675.0,0.28748
680.0,0.28844
685.0,0.2892
690.0,0.28983
695.0,0.29111
700.0,0.29191
705.0,0.29263
710.0,0.29312
715.0,0.29419
720.0,0.29495
725.0,0.29614
730.0,0.29644
735.0,0.29698
740.0,0.29748
745.0,0.29768
750.0,0.29821
755.0,0.29884
760.0,0.29937
765.0,0.29949
770.0,0.29997
775.0,0.30038
780.0,0.30045
785.0,0.30051
790.0,0.30044
795.0,0.30053
800.0,0.30079
805.0,0.3005
810.0,0.30079
815.0,0.30075
820.0,0.30087
825.0,0.30073
830.0,0.30088
835.0,0.30079
840.0,0.30111
845.0,0.30083
850.0,0.30105
855.0,0.30173
860.0,0.30159
865.0,0.30194
870.0,0.30186
875.0,0.30228
880.0,0.30318
885.0,0.30328
890.0,0.30339
895.0,0.30456
900.0,0.30486
905.0,0.30421
910.0,0.30486
915.0,0.30487
920.0,0.30589
925.0,0.30662
930.0,0.30679
935.0,0.3076
940.0,0.30813
945.0,0.30875
950.0,0.30935
955.0,0.31106
960.0,0.31116
965.0,0.31238
970.0,0.31357
975.0,0.31441
980.0,0.31512
985.0,0.31603
990.0,0.31647
995.0,0.31708
1000.0,0.31773
1005.0,0.31853
1010.0,0.31895
1015.0,0.31956
1020.0,0.32082
1025.0,0.32107
1030.0,0.32201
1035.0,0.3229
1040.0,0.32388
1045.0,0.32486
1050.0,0.32606
1055.0,0.32695
1060.0,0.32785
1065.0,0.32814
1070.0,0.32912
1075.0,0.33033
1080.0,0.33105
1085.0,0.33122
1090.0,0.33238
1095.0,0.33343
1100.0,0.33369
1105.0,0.3346
1110.0,0.33518
1115.0,0.33653
1120.0,0.33704
1125.0,0.33765
1130.0,0.33787
1135.0,0.33926
1140.0,0.33985
1145.0,0.34094
1150.0,0.34098
1155.0,0.3414
1160.0,0.34222
1165.0,0.34312
1170.0,0.34406
1175.0,0.34501
1180.0,0.34577
1185.0,0.34637
1190.0,0.34699
1195.0,0.34766
1200.0,0.34804
1205.0,0.34888
1210.0,0.34939
1215.0,0.34927
1220.0,0.35023
1225.0,0.35067
1230.0,0.35109
1235.0,0.35168
1240.0,0.35201
1245.0,0.35169
1250.0,0.3517
1255.0,0.3523
1260.0,0.35263
1265.0,0.35259
1270.0,0.35241
1275.0,0.35215
1280.0,0.35232
1285.0,0.3522
1290.0,0.35235
1295.0,0.35188
1300.0,0.35129
1305.0,0.35088
1310.0,0.35113
1315.0,0.35053
1320.0,0.35055
1325.0,0.35069
1330.0,0.35077
1335.0,0.35046
1340.0,0.35047
1345.0,0.3508
1350.0,0.35126
1355.0,0.35092
1360.0,0.3506
1360.6,0.35054
1360.9,0.35039
1361.3,0.35028
1361.7,0.35027
1362.0,0.35029
1362.4,0.35029
1362.7,0.35017
1363.1,0.35007
1363.4,0.35009
1363.8,0.3501
1364.2,0.35006
1364.5,0.35003
1364.9,0.34995
1365.2,0.34988
1365.6,0.34981
1365.9,0.34969
1366.3,0.34964
1366.7,0.34967
1367.0,0.34965
1367.4,0.3496
1367.8,0.34954
1368.1,0.34944
1368.5,0.34943
1368.8,0.3493
1369.2,0.34919
1369.6,0.34922
1369.9,0.34922
1370.3,0.34912
1370.7,0.34904
1371.0,0.34898
1371.4,0.34888
1371.7,0.34881
1372.1,0.34887
1372.5,0.3489
1372.8,0.34877
1373.2,0.34863
1373.6,0.34856
1373.9,0.34855
1374.3,0.34851
1374.6,0.34845
1375.0,0.34842
1375.4,0.34836
1375.7,0.34831
1376.1,0.34819
1376.5,0.34817
1376.8,0.34818
1377.2,0.34805
1377.6,0.34786
1377.9,0.34779
1378.3,0.34781
1378.7,0.34778
1379.0,0.34768
1379.4,0.3475
1379.8,0.34742
1380.1,0.34745
1380.5,0.34743
1380.9,0.34734
1381.2,0.34719
1381.6,0.34708
1382.0,0.34708
1382.3,0.34711
1382.7,0.34711
1383.1,0.3469
1383.4,0.34676
1383.8,0.34665
1384.2,0.34649
1384.6,0.34637
1384.9,0.34636
1385.3,0.34626
1385.7,0.34605
1386.0,0.34588
1386.4,0.34575
1386.8,0.34565
1387.2,0.34551
1387.5,0.34534
1387.9,0.34522
1388.3,0.3451
1388.6,0.3449
1389.0,0.34467
1389.4,0.34445
1389.8,0.34426
1390.1,0.34407
1390.5,0.34381
1390.9,0.34357
1391.2,0.34334
1391.6,0.34311
1392.0,0.34285
1392.4,0.34259
1392.7,0.34214
1393.1,0.34179
1393.5,0.34156
1393.9,0.34127
1394.2,0.34088
1394.6,0.34055
1395.0,0.34028
1395.4,0.33992
1395.7,0.33956
1396.1,0.33924
1396.5,0.33891
1396.9,0.33849
1397.2,0.33809
1397.6,0.33786
1398.0,0.33752
1398.4,0.33718
1398.8,0.33693
1399.1,0.33667
1399.5,0.33647
1399.9,0.33627
1400.3,0.33609
1400.6,0.33581
1401.0,0.33549
1401.4,0.33531
1401.8,0.33518
1402.2,0.33501
1402.5,0.33478
1402.9,0.3346
1403.3,0.3345
1403.7,0.33443
1404.1,0.33437
1404.4,0.33419
1404.8,0.33412
1405.2,0.33403
1405.6,0.3338
1406.0,0.33363
1406.3,0.3335
1406.7,0.33346
1407.1,0.33339
1407.5,0.3332
1407.9,0.33297
1408.3,0.33279
1408.6,0.3326
1409.0,0.33249
1409.4,0.33232
1409.8,0.33209
1410.2,0.33187
1410.6,0.33188
1410.9,0.33185
1411.3,0.33164
1411.7,0.3315
1412.1,0.33149
1412.5,0.33147
1412.8,0.3315
1413.2,0.33155
1413.6,0.33152
1414.0,0.33147
1414.4,0.33147
1414.8,0.33148
1415.2,0.33164
1415.6,0.33207
1415.9,0.33279
1416.3,0.33373
1416.7,0.33473
1417.1,0.33556
1417.5,0.33622
1417.9,0.33684
1418.3,0.33738
1418.7,0.3379
1419.0,0.33833
1419.4,0.33865
1419.8,0.33903
1420.2,0.33939
1420.6,0.33968
1421.0,0.33988
1421.4,0.34013
1421.8,0.34041
1422.2,0.34065
1422.5,0.34085
1422.9,0.34099
1423.3,0.34108
1423.7,0.34126
1424.1,0.34137
1424.5,0.34143
1424.9,0.34151
1425.3,0.3416
1425.7,0.3418
1426.1,0.34187
1426.5,0.3418
1426.8,0.34182
1427.2,0.34192
1427.6,0.34198
1428.0,0.34203
1428.4,0.34207
1428.8,0.34208
1429.2,0.34203
1429.6,0.34203
1430.0,0.34214
1430.4,0.34211
1430.8,0.34206
1431.2,0.34203
1431.6,0.34205
1432.0,0.34209
1432.4,0.34206
1432.8,0.342
1433.2,0.34205
1433.6,0.34209
1433.9,0.34205
1434.3,0.34199
1434.8,0.34195
1435.1,0.34193
1435.5,0.34193
1435.9,0.34193
1436.3,0.34193
1436.7,0.34193
1437.1,0.34188
1437.5,0.34185
1437.9,0.34183
1438.3,0.34176
1438.7,0.34164
1439.1,0.34164
1439.5,0.34169
1439.9,0.34165
1440.3,0.34161
1440.7,0.34158
1441.1,0.34153
1441.5,0.34153
1441.9,0.34154
1442.3,0.3415
1442.7,0.3414
1443.1,0.3414
1443.5,0.34142
1443.9,0.34133
1444.3,0.34127
1444.7,0.34124
1445.1,0.34118
1445.6,0.34116
1445.9,0.3411
1446.3,0.34102
1446.8,0.34098
1447.2,0.34097
1447.6,0.34092
1448.0,0.34086
1448.4,0.34088
1448.8,0.34076
1449.2,0.34066
1449.6,0.34067
1450.0,0.34063
1450.4,0.34059
1450.8,0.3406
1451.2,0.34054
1451.6,0.34047
1452.0,0.34042
1452.4,0.34033
1452.8,0.34037
1453.2,0.34038
1453.7,0.34031
1454.1,0.34029
1454.5,0.34025
1454.9,0.34019
1455.3,0.34016
1455.7,0.34012
1456.1,0.34005
1456.5,0.34001
1456.9,0.33998
1457.3,0.33987
