Composition,
Date Added,1991-11-18
Formula,
Grain Size Description,<850.0um
Grain Size,"(0.0, 850.0)"
Locality,Utah
Minimum Wavelength,300
Sample Name,Montmorillonite 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Montmorillonite Bentonite 
References,
Resolution,5.0
Material class,Mineral
Sample Description,
Sample ID,C1SS12
Original Sample ID,SS-REA-012
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.07662
305.0,0.08507
310.0,0.08978
315.0,0.09085
320.0,0.09625
325.0,0.09827
330.0,0.0995
335.0,0.10166
340.0,0.10589
345.0,0.10616
350.0,0.10776
355.0,0.11013
360.0,0.11296
365.0,0.11638
370.0,0.12352
375.0,0.1343
380.0,0.14787
385.0,0.16117
390.0,0.17127
395.0,0.17822
400.0,0.18654
405.0,0.1956
410.0,0.2066
415.0,0.21781
420.0,0.22956
425.0,0.24056
430.0,0.25046
435.0,0.25939
440.0,0.26701
445.0,0.27579
450.0,0.28485
455.0,0.29338
460.0,0.30061
465.0,0.3085
470.0,0.31444
475.0,0.32027
480.0,0.322
485.0,0.32465
490.0,0.32643
495.0,0.3297
500.0,0.33448
505.0,0.33904
510.0,0.34479
515.0,0.35539
520.0,0.37024
525.0,0.38496
530.0,0.39833
535.0,0.40811
540.0,0.41891
545.0,0.43153
550.0,0.44418
555.0,0.45464
560.0,0.46395
565.0,0.46964
570.0,0.47194
575.0,0.47307
580.0,0.47273
585.0,0.47062
590.0,0.46827
595.0,0.46551
600.0,0.46176
605.0,0.45728
610.0,0.45378
615.0,0.45035
620.0,0.44695
625.0,0.44487
630.0,0.4439
635.0,0.44254
640.0,0.44285
645.0,0.44483
650.0,0.44717
655.0,0.44933
660.0,0.45425
665.0,0.45979
670.0,0.46489
675.0,0.47273
680.0,0.48055
685.0,0.48818
690.0,0.49692
695.0,0.50669
700.0,0.5157
705.0,0.52404
710.0,0.5334
715.0,0.54188
720.0,0.54915
725.0,0.5573
730.0,0.5621
735.0,0.56823
740.0,0.57331
745.0,0.57723
750.0,0.58103
755.0,0.5847
760.0,0.58428
765.0,0.58546
770.0,0.58634
775.0,0.58787
780.0,0.58563
785.0,0.58893
790.0,0.58879
795.0,0.58905
800.0,0.58808
805.0,0.58824
810.0,0.58617
815.0,0.58384
820.0,0.58513
825.0,0.58443
830.0,0.58239
835.0,0.58122
840.0,0.58032
845.0,0.57791
850.0,0.5763
855.0,0.57514
860.0,0.57514
865.0,0.57355
870.0,0.5724
875.0,0.57014
880.0,0.57093
885.0,0.56934
890.0,0.56954
895.0,0.56744
900.0,0.56601
905.0,0.56583
910.0,0.56419
915.0,0.56365
920.0,0.56258
925.0,0.56332
930.0,0.56192
935.0,0.56133
940.0,0.55965
945.0,0.55976
950.0,0.55539
955.0,0.55493
960.0,0.5521
965.0,0.55206
970.0,0.55256
975.0,0.55287
980.0,0.554
985.0,0.55478
990.0,0.55457
995.0,0.55474
1000.0,0.55475
1005.0,0.55468
1010.0,0.5547
1015.0,0.5543
1020.0,0.55382
1025.0,0.5535
1030.0,0.55371
1035.0,0.5543
1040.0,0.55385
1045.0,0.55364
1050.0,0.55271
1055.0,0.5523
1060.0,0.5516
1065.0,0.55208
1070.0,0.55169
1075.0,0.5512
1080.0,0.55149
1085.0,0.55029
1090.0,0.55005
1095.0,0.54982
1100.0,0.54927
1105.0,0.54927
