Composition,
Date Added,2015-03-24
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,300
Sample Name,97.5% olivine (45-75 um) + 2.5% FeS (<45 um) pellet irradiated with 10 mJ laser
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,FeS was purchased from a company
Sample ID,C1MO06L10
Original Sample ID,MO-SXS-006-L10
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,198.46
305.0,203.11
310.0,213.82
315.0,227.59
320.0,244.26
325.0,262.03
330.0,279.54
335.0,298.87
340.0,317.62
345.0,333.7
350.0,347.4
355.0,361.55
360.0,374.38
365.0,386.79
370.0,395.68
375.0,404.24
380.0,409.4
385.0,416.0
390.0,429.65
395.0,435.75
400.0,440.18
405.0,446.67
410.0,452.24
415.0,456.35
420.0,459.33
425.0,462.84
430.0,464.98
435.0,468.18
440.0,470.17
445.0,472.19
450.0,471.84
455.0,474.8
460.0,477.43
465.0,480.29
470.0,482.56
475.0,487.09
480.0,490.16
485.0,491.24
490.0,492.83
495.0,493.8
500.0,498.07
505.0,502.37
510.0,503.88
515.0,506.77
520.0,508.42
525.0,509.89
530.0,510.5
535.0,512.73
540.0,514.17
545.0,515.65
550.0,516.86
555.0,517.97
560.0,518.18
565.0,519.61
570.0,520.36
575.0,519.56
580.0,519.01
585.0,519.29
590.0,520.59
595.0,520.41
600.0,519.17
605.0,519.4
610.0,518.54
615.0,518.87
620.0,517.73
625.0,517.21
630.0,516.87
635.0,516.93
640.0,517.11
645.0,518.01
650.0,518.56
655.0,520.12
660.0,520.72
665.0,521.92
670.0,522.4
675.0,524.41
680.0,524.91
685.0,523.97
690.0,523.35
695.0,523.04
700.0,520.88
705.0,519.5
710.0,517.54
715.0,515.9
720.0,514.35
725.0,512.21
730.0,510.48
735.0,508.47
740.0,506.25
745.0,503.84
750.0,501.87
755.0,498.29
760.0,495.68
765.0,494.17
770.0,490.87
775.0,487.99
780.0,485.0
785.0,483.04
790.0,479.99
795.0,477.68
800.0,474.86
805.0,472.28
810.0,469.98
815.0,467.58
820.0,465.78
825.0,464.13
830.0,461.85
835.0,460.43
840.0,458.53
845.0,457.07
850.0,455.72
855.0,453.98
860.0,452.0
865.0,450.19
870.0,448.19
875.0,447.17
880.0,445.61
885.0,444.2
890.0,442.67
895.0,441.02
900.0,439.26
905.0,437.17
910.0,434.64
915.0,433.52
920.0,431.83
925.0,427.37
930.0,425.16
935.0,421.66
940.0,419.69
945.0,416.31
950.0,411.85
955.0,408.48
960.0,404.66
965.0,400.13
970.0,397.43
975.0,394.12
980.0,389.05
985.0,385.85
990.0,383.19
995.0,379.06
1000.0,375.3
1005.0,372.07
1010.0,368.98
1015.0,366.8
1020.0,364.32
1025.0,363.49
1030.0,361.6
1035.0,360.14
1040.0,359.21
1045.0,357.88
1050.0,358.11
1055.0,357.94
1060.0,358.09
1065.0,358.77
1070.0,359.62
1075.0,360.76
1080.0,362.08
1085.0,364.26
1090.0,367.01
