Composition,
Date Added,2001-11-08
Formula,
Grain Size Description,<150.0um
Grain Size,"(0.0, 150.0)"
Locality,"Manikpur, Banda district, Uttar Pradesh, India"
Minimum Wavelength,320
Sample Name,Atarra
Maximum Wavelength,25921
Database of Origin,RELAB
Other Information,L4
References,
Resolution,12.0
Material class,Rock
Sample Description,"Ordinary chondrite powder studied by Jarosevich, Meteoritics, 323-337, 1990.  Almost all metal removed.  USNM 7073"
Sample ID,LATB65
Original Sample ID,TB-TJM-065
Viewing Geometry,unknown
Wavelength,Response
320.0,0.06054
330.0,0.06577
340.0,0.07181
350.0,0.07728
360.0,0.08369
370.0,0.08859
380.0,0.09399
390.0,0.09663
400.0,0.10326
410.0,0.10894
420.0,0.11308
430.0,0.118
440.0,0.12259
450.0,0.12627
460.0,0.13031
470.0,0.13395
480.0,0.13795
490.0,0.14381
500.0,0.14765
510.0,0.15034
520.0,0.15453
530.0,0.15677
540.0,0.16064
550.0,0.1631
560.0,0.16608
570.0,0.1705
580.0,0.17251
590.0,0.17161
600.0,0.17348
610.0,0.17352
620.0,0.17518
630.0,0.17447
640.0,0.1763
650.0,0.17958
660.0,0.18094
670.0,0.18353
680.0,0.18495
690.0,0.18578
700.0,0.18661
710.0,0.19144
720.0,0.19189
730.0,0.19212
740.0,0.19183
750.0,0.19261
760.0,0.19178
770.0,0.18884
780.0,0.18657
790.0,0.1834
800.0,0.18
810.0,0.17529
820.0,0.17097
830.0,0.16528
840.0,0.16071
850.0,0.15636
860.0,0.1524
870.0,0.14932
880.0,0.14591
890.0,0.14188
900.0,0.14075
910.0,0.14153
920.0,0.14192
930.0,0.14229
940.0,0.14194
950.0,0.14194
960.0,0.14298
970.0,0.14464
980.0,0.14694
990.0,0.14792
1000.0,0.14865
1010.0,0.14908
1020.0,0.14995
1030.0,0.15135
1040.0,0.15332
1050.0,0.15438
1060.0,0.15555
1070.0,0.15553
1080.0,0.15659
1090.0,0.15801
1100.0,0.16049
1110.0,0.16318
1120.0,0.16512
1130.0,0.16727
1140.0,0.16856
1150.0,0.17005
1160.0,0.17125
1170.0,0.17298
1180.0,0.1745
1190.0,0.17477
1200.0,0.17465
1210.0,0.17428
1220.0,0.17513
1230.0,0.17559
1240.0,0.17616
1250.0,0.17675
1260.0,0.17734
1270.0,0.17777
1280.0,0.17856
1290.0,0.17902
1300.0,0.17972
1310.0,0.18055
1320.0,0.18108
1330.0,0.18148
1340.0,0.18241
1350.0,0.18286
1360.0,0.1831
1370.0,0.18415
1380.0,0.18515
1390.0,0.18634
1400.0,0.18669
1410.0,0.18786
1420.0,0.18824
1430.0,0.18858
1440.0,0.18895
1450.0,0.18932
1460.0,0.18979
1470.0,0.19034
1480.0,0.1909
1490.0,0.19169
1500.0,0.192
1510.0,0.19225
1520.0,0.19206
1530.0,0.19218
1540.0,0.19159
1550.0,0.19167
1560.0,0.19091
1570.0,0.19056
1580.0,0.18932
1590.0,0.1888
1600.0,0.18832
1610.0,0.18807
1620.0,0.18745
1630.0,0.1872
1640.0,0.18685
1650.0,0.18629
1660.0,0.18583
1670.0,0.18528
1680.0,0.18481
1690.0,0.18346
1700.0,0.18221
1710.0,0.18059
1720.0,0.17928
1730.0,0.17759
1740.0,0.17601
1750.0,0.17465
1760.0,0.1741
1770.0,0.17298
1780.0,0.17172
1790.0,0.17093
1800.0,0.16995
1810.0,0.16858
1820.0,0.16791
1830.0,0.16747
1840.0,0.16678
1850.0,0.16577
1860.0,0.16556
1870.0,0.16477
1880.0,0.16414
1890.0,0.16392
1900.0,0.16414
1910.0,0.1639
1920.0,0.16359
1930.0,0.16344
1940.0,0.1631
1950.0,0.16302
1960.0,0.16276
1970.0,0.16319
1980.0,0.1636
1990.0,0.16445
2000.0,0.16494
2010.0,0.16557
2020.0,0.1666
2030.0,0.16728
2040.0,0.16771
2050.0,0.16856
2060.0,0.1692
2070.0,0.16992
2080.0,0.17101
2090.0,0.17202
2100.0,0.17294
2110.0,0.17356
2120.0,0.17335
2130.0,0.17299
2140.0,0.17302
2150.0,0.17273
2160.0,0.17307
2170.0,0.17367
2180.0,0.17373
2190.0,0.17332
2200.0,0.17336
2210.0,0.17352
2220.0,0.17346
2230.0,0.17373
2240.0,0.17401
2250.0,0.175
2260.0,0.17551
2270.0,0.17592
2280.0,0.17627
2290.0,0.17635
2300.0,0.17619
2310.0,0.17614
2320.0,0.17601
2330.0,0.1763
2340.0,0.17612
2350.0,0.17586
2360.0,0.17635
2370.0,0.17713
2380.0,0.17663
2390.0,0.1778
2400.0,0.17868
2410.0,0.17919
2420.0,0.18002
2430.0,0.18172
2440.0,0.18258
2450.0,0.18294
2460.0,0.18287
2470.0,0.18284
2480.0,0.18306
2490.0,0.18328
2500.0,0.18404
2510.0,0.18454
2520.0,0.18535
2530.0,0.18603
2531.3,0.18555
2532.6,0.18565
2533.8,0.1856
2535.0,0.18595
2536.3,0.18668
2537.5,0.18621
2538.8,0.18586
2540.0,0.18675
2541.2,0.18642
2542.5,0.18582
2543.7,0.18607
2545.0,0.18598
2546.2,0.18566
2547.5,0.18604
2548.7,0.18679
2550.0,0.1875
2551.2,0.18709
2552.5,0.18658
2553.8,0.1869
2555.0,0.18695
2556.3,0.18675
2557.5,0.18683
2558.8,0.18712
2560.1,0.18712
