Composition,
Date Added,2009-03-12
Formula,
Grain Size Description,<2.0um
Grain Size,0.0 - 2.0
Locality,
Minimum Wavelength,280
Sample Name,WD03-21 part
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Sediment
Sample Description,Spectroscopy of mixed-layer clay minerals.
Sample ID,BKR1ER029
Original Sample ID,ER-TGS-029
Viewing Geometry,
Wavelength,Response
280.0,76.91
285.0,67.89
290.0,65.34
295.0,65.64
300.0,66.61
305.0,67.97
310.0,69.86
315.0,72.07
320.0,74.3
325.0,76.59
330.0,78.73
335.0,80.92
340.0,82.7
345.0,84.54
350.0,86.05
355.0,87.92
360.0,89.94
365.0,92.5
370.0,95.47
375.0,99.2
380.0,103.35
385.0,107.7
390.0,113.06
395.0,117.03
400.0,121.07
405.0,124.28
410.0,127.29
415.0,130.5
420.0,134.43
425.0,138.71
430.0,143.12
435.0,148.15
440.0,152.52
445.0,156.41
450.0,158.55
455.0,159.78
460.0,160.8
465.0,161.82
470.0,162.63
475.0,164.34
480.0,166.38
485.0,168.79
490.0,171.27
495.0,174.55
500.0,177.86
505.0,181.14
510.0,184.08
515.0,187.26
520.0,189.68
525.0,192.83
530.0,195.22
535.0,197.46
540.0,199.64
545.0,202.07
550.0,203.7
555.0,205.52
560.0,207.32
565.0,208.61
570.0,210.54
575.0,211.34
580.0,212.13
585.0,213.66
590.0,214.48
595.0,215.51
600.0,216.35
605.0,217.37
610.0,218.42
615.0,219.52
620.0,220.26
625.0,221.42
630.0,222.51
635.0,221.8
640.0,224.08
645.0,225.19
650.0,225.7
655.0,226.79
660.0,227.26
665.0,228.66
670.0,229.79
675.0,230.69
680.0,231.71
685.0,233.03
690.0,233.88
695.0,235.1
700.0,236.07
705.0,237.46
710.0,238.73
715.0,239.46
720.0,240.72
725.0,241.79
730.0,243.08
735.0,244.55
740.0,245.73
745.0,246.06
750.0,247.68
755.0,249.3
760.0,249.77
765.0,251.44
770.0,251.82
775.0,253.8
780.0,254.69
785.0,255.55
790.0,256.85
795.0,257.65
800.0,259.08
805.0,259.72
810.0,260.32
815.0,262.15
820.0,262.68
825.0,264.03
830.0,264.38
835.0,265.1
840.0,266.07
845.0,266.94
850.0,267.72
855.0,268.65
860.0,269.41
865.0,269.86
870.0,270.29
875.0,271.89
880.0,272.3
885.0,273.72
890.0,273.81
895.0,275.6
900.0,275.57
905.0,277.09
910.0,278.27
915.0,279.57
920.0,280.16
925.0,281.37
930.0,282.45
935.0,282.66
940.0,284.22
945.0,285.3
950.0,285.88
955.0,286.43
960.0,287.72
965.0,288.19
970.0,288.58
975.0,289.54
980.0,290.2
985.0,291.03
990.0,291.57
995.0,292.42
1000.0,292.88
1005.0,294.43
1010.0,295.32
1015.0,295.95
1020.0,296.14
1025.0,296.79
1030.0,298.08
1035.0,297.26
1040.0,298.6
1045.0,300.23
1050.0,300.37
1055.0,300.81
1060.0,301.64
1065.0,302.73
1070.0,303.17
1075.0,303.01
1080.0,305.1
1085.0,306.18
1090.0,306.21
1095.0,306.66
1100.0,308.0
1105.0,309.4
1110.0,310.49
1115.0,310.9
1120.0,311.54
1125.0,311.53
1130.0,312.23
1135.0,314.07
1140.0,314.41
1145.0,314.67
1150.0,316.48
1155.0,317.42
1160.0,317.47
1165.0,319.41
1170.0,319.35
1175.0,320.09
1180.0,320.92
1185.0,321.99
1190.0,323.92
1195.0,323.33
1200.0,324.92
1205.0,325.79
1210.0,327.29
1215.0,327.27
1220.0,327.82
1225.0,329.41
1230.0,329.76
1235.0,330.46
1240.0,331.25
1245.0,332.17
1250.0,332.96
1255.0,333.39
1260.0,334.48
1265.0,335.98
1270.0,336.34
1275.0,337.41
1280.0,337.39
1285.0,337.73
1290.0,339.03
1295.0,340.04
1300.0,339.96
1305.0,340.44
1310.0,341.1
1315.0,342.74
1320.0,342.61
1325.0,343.89
1330.0,343.42
1335.0,344.98
1340.0,344.39
