Composition,
Date Added,2005-04-29
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,320
Sample Name,IS04 skaf 10
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Sediment
Sample Description,
Sample ID,C1JM67
Original Sample ID,JM-TGS-067
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,17.42
330.0,16.0
340.0,15.23
350.0,15.13
360.0,15.65
370.0,16.41
380.0,17.48
390.0,18.96
400.0,20.73
410.0,21.61
420.0,23.47
430.0,26.01
440.0,29.05
450.0,32.06
460.0,34.81
470.0,37.37
480.0,40.3
490.0,44.51
500.0,50.24
510.0,57.41
520.0,66.23
530.0,76.88
540.0,89.16
550.0,103.31
560.0,118.81
570.0,135.9
580.0,153.97
590.0,172.75
600.0,191.9
610.0,211.07
620.0,230.38
630.0,248.58
640.0,265.85
650.0,281.55
660.0,296.18
670.0,309.58
680.0,322.71
690.0,335.49
700.0,347.94
710.0,359.76
720.0,371.02
730.0,384.51
740.0,393.58
750.0,402.11
760.0,409.17
770.0,414.41
780.0,418.21
790.0,420.87
800.0,421.56
810.0,422.87
820.0,422.77
830.0,422.13
840.0,421.08
850.0,419.53
860.0,418.7
870.0,417.54
880.0,417.1
890.0,416.64
900.0,417.12
910.0,413.81
920.0,415.77
930.0,417.02
940.0,418.44
950.0,420.17
960.0,423.24
970.0,425.47
980.0,428.95
990.0,432.72
1000.0,436.65
1010.0,440.63
1020.0,446.02
1030.0,451.82
1040.0,456.74
1050.0,463.7
1060.0,469.77
1070.0,476.18
1080.0,483.45
1090.0,489.94
1100.0,497.26
1110.0,504.45
1120.0,512.0
1130.0,519.5
1140.0,526.67
1150.0,534.26
1160.0,541.54
1170.0,549.33
1180.0,556.48
1190.0,563.56
1200.0,570.73
1210.0,580.79
1220.0,585.91
1230.0,592.33
1240.0,598.58
1250.0,604.42
1260.0,609.82
1270.0,615.09
1280.0,619.33
1290.0,623.37
1300.0,627.11
1310.0,631.7
1320.0,634.64
1330.0,637.67
1340.0,640.34
1350.0,642.52
1360.0,643.71
1370.0,643.61
1380.0,643.38
1390.0,640.15
1400.0,636.47
1410.0,629.57
1420.0,625.06
1430.0,621.37
1440.0,621.41
1450.0,624.1
1460.0,625.3
1470.0,627.46
1480.0,629.76
1490.0,632.88
1500.0,635.63
1510.0,638.61
1520.0,641.13
1530.0,643.53
1540.0,645.44
1550.0,647.52
1560.0,648.47
1570.0,649.9
1580.0,651.42
1590.0,651.71
1600.0,651.65
1610.0,652.77
1620.0,652.63
1630.0,651.96
1640.0,652.1
1650.0,651.95
1660.0,651.93
1670.0,649.53
1680.0,649.37
1690.0,647.34
1700.0,645.05
1710.0,647.15
1720.0,645.72
1730.0,644.94
1740.0,644.77
1750.0,643.49
1760.0,642.83
1770.0,641.59
1780.0,640.56
1790.0,640.11
1800.0,640.03
1810.0,639.44
1820.0,640.3
1830.0,639.57
1840.0,638.37
1850.0,637.78
1860.0,631.43
1870.0,624.05
1880.0,610.54
1890.0,600.38
1900.0,579.47
1910.0,547.81
1920.0,535.92
1930.0,528.57
1940.0,528.55
1950.0,531.59
1960.0,537.07
1970.0,542.41
1980.0,548.15
1990.0,553.7
2000.0,559.81
2010.0,563.7
2020.0,567.67
2030.0,571.21
2040.0,574.01
2050.0,576.49
2060.0,578.69
2070.0,580.86
2080.0,583.22
2090.0,585.39
2100.0,585.09
2110.0,587.49
2120.0,587.97
2130.0,588.78
2140.0,589.06
2150.0,593.85
2160.0,588.37
2170.0,586.39
2180.0,585.13
2190.0,582.87
2200.0,580.77
2210.0,578.51
2220.0,575.74
2230.0,573.0
2240.0,569.46
2250.0,564.93
2260.0,560.07
2270.0,556.76
2280.0,553.49
2290.0,549.91
2300.0,547.15
2310.0,549.27
2320.0,542.9
2330.0,541.22
2340.0,539.58
2350.0,535.43
2360.0,531.72
2370.0,527.12
2380.0,522.47
2390.0,517.53
2400.0,513.26
2410.0,507.55
2420.0,502.82
2430.0,495.64
2440.0,490.81
2450.0,485.19
2460.0,478.88
2470.0,475.13
2480.0,468.03
2490.0,464.13
2500.0,458.85
2510.0,454.88
2520.0,451.83
2530.0,453.58
2540.0,445.79
2550.0,448.06
