Composition,
Date Added,2008-02-28
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,320
Sample Name,H05-028A-cut
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,Spectroscopy of rock coatings and weathering rinds (MFRP)
Sample ID,C1MK26
Original Sample ID,MK-TGS-026
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,42.3
330.0,43.79
340.0,44.82
350.0,45.75
360.0,47.53
370.0,48.62
380.0,49.75
390.0,50.84
400.0,51.89
410.0,52.49
420.0,53.03
430.0,53.34
440.0,53.56
450.0,53.63
460.0,53.69
470.0,53.75
480.0,53.79
490.0,53.89
500.0,54.04
510.0,54.26
520.0,54.4
530.0,54.6
540.0,54.89
550.0,55.24
560.0,55.66
570.0,56.2
580.0,56.68
590.0,57.11
600.0,57.38
610.0,57.52
620.0,57.69
630.0,57.85
640.0,58.01
650.0,58.14
660.0,58.13
670.0,58.49
680.0,58.96
690.0,59.31
700.0,59.53
710.0,59.51
720.0,59.64
730.0,59.63
740.0,59.61
750.0,59.65
760.0,59.52
770.0,59.42
780.0,59.28
790.0,59.07
800.0,58.47
810.0,58.6
820.0,58.43
830.0,58.31
840.0,58.08
850.0,57.8
860.0,57.62
870.0,57.13
880.0,56.67
890.0,56.08
900.0,55.93
910.0,56.14
920.0,56.1
930.0,55.51
940.0,54.93
950.0,54.48
960.0,53.57
970.0,53.11
980.0,52.42
990.0,51.71
1000.0,51.38
1010.0,50.56
1020.0,50.41
1030.0,50.3
1040.0,50.51
1050.0,50.6
1060.0,50.61
1070.0,50.78
1080.0,50.82
1090.0,51.17
1100.0,51.33
1110.0,51.49
1120.0,51.52
1130.0,51.72
1140.0,51.7
1150.0,51.73
1160.0,51.71
1170.0,51.84
1180.0,51.76
1190.0,51.65
1200.0,51.71
1210.0,51.45
1220.0,51.37
1230.0,51.28
1240.0,51.25
1250.0,51.21
1260.0,51.11
1270.0,50.99
1280.0,50.83
1290.0,50.77
1300.0,50.58
1310.0,50.52
1320.0,50.51
1330.0,50.51
1340.0,50.72
1350.0,50.41
1360.0,50.56
1370.0,50.34
1380.0,50.45
1390.0,50.41
1400.0,50.37
1410.0,50.32
1420.0,50.26
1430.0,50.23
1440.0,50.28
1450.0,50.25
1460.0,50.43
1470.0,50.36
1480.0,50.39
1490.0,50.35
1500.0,50.52
1510.0,50.47
1520.0,50.72
1530.0,50.64
1540.0,50.72
1550.0,50.87
1560.0,50.72
1570.0,50.98
1580.0,51.02
1590.0,51.16
1600.0,51.1
1610.0,51.1
1620.0,51.5
1630.0,51.49
1640.0,51.25
1650.0,51.62
1660.0,51.56
1670.0,51.52
1680.0,51.47
1690.0,51.51
1700.0,51.62
1710.0,51.4
1720.0,51.28
1730.0,51.21
1740.0,51.28
1750.0,51.29
1760.0,51.14
1770.0,51.26
1780.0,50.93
1790.0,50.97
1800.0,50.75
1810.0,50.66
1820.0,50.46
1830.0,50.42
1840.0,50.27
1850.0,50.18
1860.0,49.97
1870.0,49.93
1880.0,49.54
1890.0,49.63
1900.0,49.41
1910.0,49.18
1920.0,49.04
1930.0,48.84
1940.0,48.81
1950.0,48.81
1960.0,48.66
1970.0,48.55
1980.0,48.18
1990.0,48.11
2000.0,47.88
2010.0,47.76
2020.0,47.58
2030.0,47.39
2040.0,47.32
2050.0,47.12
2060.0,47.0
2070.0,46.92
2080.0,46.78
2090.0,46.6
2100.0,46.54
2110.0,46.19
2120.0,45.98
2130.0,45.86
2140.0,45.86
2150.0,45.49
2160.0,45.58
2170.0,45.5
2180.0,45.4
2190.0,45.44
2200.0,45.33
2210.0,45.06
2220.0,45.09
2230.0,44.86
2240.0,45.07
2250.0,45.24
2260.0,45.03
2270.0,45.02
2280.0,44.96
2290.0,44.96
2300.0,44.94
2310.0,45.04
2320.0,44.99
2330.0,44.79
2340.0,45.04
2350.0,44.89
2360.0,44.99
2370.0,44.79
2380.0,44.99
2390.0,45.14
2400.0,45.43
2410.0,45.39
2420.0,45.42
2430.0,45.38
2440.0,45.76
2450.0,45.77
2460.0,45.99
2470.0,45.98
2480.0,46.39
2490.0,46.26
2500.0,46.18
2510.0,46.56
2520.0,46.67
2530.0,46.88
2540.0,47.15
2550.0,47.24
