Composition,
Date Added,2007-08-03
Formula,
Grain Size Description,<38.0um
Grain Size,0.0 - 38.0
Locality,
Minimum Wavelength,320
Sample Name,Allende: HC-10 dark inclusion
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,Understanding spinel-rich asteroids
Sample ID,C1MT73
Original Sample ID,MT-TJM-073
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,40.17
325.0,43.47
330.0,45.13
335.0,47.26
340.0,49.01
345.0,50.68
350.0,52.25
355.0,54.01
360.0,55.55
365.0,57.1
370.0,59.1
375.0,60.39
380.0,61.92
385.0,63.23
390.0,64.32
395.0,65.66
400.0,66.52
405.0,67.48
410.0,68.35
415.0,69.18
420.0,69.98
425.0,70.88
430.0,71.51
435.0,72.14
440.0,72.84
445.0,73.19
450.0,73.72
455.0,74.08
460.0,74.52
465.0,75.06
470.0,75.34
475.0,75.84
480.0,76.32
485.0,76.62
490.0,77.09
495.0,77.53
500.0,77.8
505.0,78.35
510.0,78.59
515.0,78.98
520.0,79.48
525.0,79.7
530.0,80.02
535.0,80.58
540.0,80.75
545.0,81.13
550.0,81.29
555.0,81.55
560.0,81.71
565.0,81.86
570.0,82.02
575.0,82.1
580.0,82.22
585.0,82.25
590.0,82.62
595.0,82.73
600.0,82.74
605.0,83.04
610.0,83.22
615.0,83.47
620.0,83.74
625.0,83.75
630.0,83.99
635.0,84.12
640.0,84.12
645.0,84.19
650.0,84.47
655.0,84.47
660.0,84.65
665.0,84.44
670.0,84.57
675.0,84.59
680.0,84.61
685.0,84.64
690.0,84.72
695.0,84.65
700.0,84.77
705.0,84.72
710.0,84.75
715.0,84.85
720.0,84.85
725.0,84.87
730.0,84.95
735.0,84.95
740.0,85.03
745.0,84.91
750.0,85.17
755.0,85.14
760.0,85.02
765.0,85.12
770.0,84.97
775.0,85.18
780.0,85.28
785.0,85.05
790.0,85.19
795.0,85.19
800.0,85.06
805.0,85.05
810.0,85.1
815.0,85.17
820.0,85.27
825.0,85.2
830.0,85.1
835.0,85.15
840.0,85.07
845.0,85.07
850.0,85.05
855.0,85.3
860.0,85.37
865.0,85.53
870.0,85.55
875.0,85.4
880.0,85.2
885.0,85.16
890.0,85.09
895.0,84.97
900.0,84.9
905.0,84.99
910.0,85.06
915.0,85.02
920.0,84.93
925.0,85.02
930.0,84.96
935.0,84.85
940.0,84.87
945.0,84.92
950.0,84.81
955.0,84.71
960.0,84.69
965.0,84.56
970.0,84.42
975.0,84.38
980.0,84.42
985.0,84.38
990.0,84.34
995.0,84.15
1000.0,84.08
1005.0,83.46
1010.0,84.06
1015.0,83.91
1020.0,83.94
1025.0,83.6
1030.0,83.7
1035.0,83.83
1040.0,83.76
1045.0,83.66
1050.0,83.29
1055.0,83.64
1060.0,83.65
1065.0,83.53
1070.0,83.83
1075.0,83.71
1080.0,83.79
1085.0,83.96
1090.0,83.94
1095.0,84.13
1100.0,84.12
