Composition,
Date Added,2010-11-11
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,1428
Sample Name,Vancomycin
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Biological
Sample Description,"Antibiotics coating on iron oxide nanoparticles for treating infectious tissues or delivering drugs using magnetic field (NSF, Student)"
Sample ID,BMR1NP029
Original Sample ID,NP-TJW-029
Viewing Geometry,
Wavelength,Response
1428.4,252.63
1428.8,251.87
1429.2,251.79
1429.6,251.99
1430.0,251.62
1430.4,251.62
1430.8,251.7
1431.2,250.87
1431.6,250.52
1432.0,250.7
1432.4,250.98
1432.8,250.75
1433.2,250.79
1433.6,251.08
1433.9,251.26
1434.3,251.09
1434.8,250.86
1435.1,250.93
1435.5,250.99
1435.9,250.71
1436.3,250.41
1436.7,250.9
1437.1,250.97
1437.5,250.56
1437.9,250.64
1438.3,250.01
1438.7,249.62
1439.1,249.95
1439.5,250.25
1439.9,249.62
1440.3,248.76
1440.7,249.04
1441.1,249.75
1441.5,249.37
1441.9,248.95
1442.3,248.96
1442.7,249.35
1443.1,249.31
1443.5,248.97
1443.9,249.22
1444.3,249.12
1444.7,248.36
1445.2,248.23
1445.6,248.65
1445.9,248.88
1446.3,248.91
1446.8,248.63
1447.2,248.49
1447.6,247.93
1448.0,247.32
1448.4,247.46
1448.8,247.74
1449.2,247.88
1449.6,247.96
1450.0,248.55
1450.4,248.79
1450.8,249.02
1451.2,249.13
1451.6,249.34
1452.0,249.12
1452.4,248.82
1452.8,248.56
1453.3,248.78
1453.7,249.31
1454.1,249.77
1454.5,249.4
1454.9,249.04
1455.3,248.95
1455.7,249.39
1456.1,249.53
1456.5,249.8
1456.9,250.03
1457.3,250.1
1457.7,249.96
1458.2,249.89
1458.6,250.14
1459.0,250.24
1459.4,250.33
1459.8,250.23
1460.2,249.97
1460.6,250.58
1461.0,250.78
1461.4,250.4
1461.8,250.56
1462.3,250.87
1462.7,250.57
1463.1,250.85
1463.5,251.66
1463.9,251.75
1464.3,251.07
1464.7,251.21
1465.2,251.19
1465.6,250.61
1466.0,250.46
1466.4,250.8
1466.8,251.2
1467.2,251.44
1467.6,251.9
1468.1,252.03
1468.5,251.32
1468.9,251.32
1469.3,251.6
1469.7,251.57
1470.1,251.6
1470.6,251.89
1471.0,252.03
1471.4,251.59
1471.8,251.6
1472.2,251.83
1472.7,251.03
1473.1,251.2
1473.5,251.45
1473.9,251.46
1474.3,251.6
1474.7,251.58
1475.2,251.85
1475.6,251.69
1476.0,251.17
1476.4,251.2
1476.8,251.35
1477.3,251.17
1477.7,250.4
1478.1,250.01
1478.5,250.41
1478.9,250.66
1479.4,249.73
1479.8,249.56
1480.2,249.47
1480.6,249.57
1481.1,250.19
1481.5,249.94
1481.9,248.95
1482.3,248.74
1482.8,248.88
1483.2,249.0
1483.6,249.07
1484.0,248.54
1484.4,247.83
1484.9,247.5
1485.3,247.43
1485.7,247.57
1486.2,247.09
1486.6,246.86
1487.0,247.29
1487.4,247.17
1487.9,246.55
1488.3,246.41
1488.7,245.92
1489.1,245.62
1489.6,245.47
1490.0,245.5
1490.4,245.66
1490.8,245.62
1491.3,245.13
1491.7,244.72
1492.1,244.63
1492.6,244.77
1493.0,244.46
1493.4,244.51
1493.9,245.27
1494.3,245.69
1494.7,244.96
1495.2,244.57
1495.6,244.53
1496.0,244.26
