Composition,
Date Added,1996-01-10
Formula,
Grain Size Description,<1000.0um
Grain Size,(0.0 - 1000.0)
Locality,"Alberta, Canada "
Minimum Wavelength,300
Sample Name,TAR0787-03
Maximum Wavelength,25988
Database of Origin,RELAB
Other Information,Tar Sands 
References,
Resolution,4.0
Material class,Mixture
Sample Description,"Original bitumen content(%wt)6.9  TAR107 is 0-45um fracito of TAR07, TAR207 is 45um fraction of TAR07 "
Sample ID,LCTS07
Original Sample ID,TS-EAC-007
Viewing Geometry,Unknown
Wavelength,Response
300.0,0.04292
305.0,0.03869
310.0,0.03973
315.0,0.0424
320.0,0.04218
325.0,0.04059
330.0,0.04105
335.0,0.04121
340.0,0.04077
345.0,0.04103
350.0,0.04068
355.0,0.04091
360.0,0.0406
365.0,0.04061
370.0,0.0405
375.0,0.04014
380.0,0.04032
385.0,0.03967
390.0,0.03962
395.0,0.03958
400.0,0.03969
405.0,0.03959
410.0,0.03959
415.0,0.03952
420.0,0.03957
425.0,0.03938
430.0,0.03952
435.0,0.03944
440.0,0.03935
445.0,0.0395
450.0,0.03939
455.0,0.03945
460.0,0.03944
465.0,0.03942
470.0,0.0394
475.0,0.03928
480.0,0.03935
485.0,0.03943
490.0,0.03942
495.0,0.03952
500.0,0.03943
505.0,0.03949
510.0,0.03952
515.0,0.03955
520.0,0.0396
525.0,0.03967
530.0,0.03977
535.0,0.0399
540.0,0.03989
545.0,0.04021
550.0,0.04015
555.0,0.04024
560.0,0.04036
565.0,0.0404
570.0,0.04039
575.0,0.04036
580.0,0.04057
585.0,0.04054
590.0,0.04076
595.0,0.0409
600.0,0.04092
605.0,0.04111
610.0,0.04158
615.0,0.04166
620.0,0.04216
625.0,0.04225
630.0,0.04231
635.0,0.04253
640.0,0.04278
645.0,0.04278
650.0,0.04287
655.0,0.04316
660.0,0.04335
665.0,0.04343
670.0,0.04325
675.0,0.04369
680.0,0.04369
685.0,0.04386
690.0,0.04363
695.0,0.04378
700.0,0.04414
705.0,0.04439
710.0,0.04455
715.0,0.04473
720.0,0.04488
725.0,0.04523
730.0,0.04539
735.0,0.04566
740.0,0.04587
745.0,0.04611
750.0,0.04644
755.0,0.04656
760.0,0.04718
765.0,0.04725
770.0,0.04767
775.0,0.04779
780.0,0.04787
785.0,0.04824
790.0,0.04855
795.0,0.04877
800.0,0.0493
805.0,0.04963
810.0,0.04995
815.0,0.05029
820.0,0.05082
825.0,0.05046
830.0,0.05106
835.0,0.0512
840.0,0.05256
845.0,0.05208
850.0,0.05258
855.0,0.05192
860.0,0.0535
865.0,0.05335
870.0,0.05381
875.0,0.0543
880.0,0.0539
885.0,0.05416
890.0,0.05517
895.0,0.05522
900.0,0.05586
905.0,0.05625
910.0,0.05685
915.0,0.05662
920.0,0.05751
925.0,0.05801
930.0,0.05828
935.0,0.05881
940.0,0.0599
945.0,0.06046
950.0,0.06051
955.0,0.06108
960.0,0.06139
965.0,0.06186
970.0,0.06189
975.0,0.06233
980.0,0.06298
980.3,0.0633
980.5,0.06314
980.7,0.06302
980.8,0.0634
981.0,0.0636
981.2,0.0634
981.4,0.06309
981.6,0.06262
981.8,0.06303
982.0,0.0636
982.1,0.06358
982.3,0.06331
982.5,0.063
982.7,0.06309
982.9,0.06334
983.1,0.06372
983.3,0.06358
983.5,0.06351
983.6,0.06349
983.8,0.0633
984.0,0.06342
984.2,0.0634
984.4,0.06319
984.6,0.06358
984.8,0.0637
984.9,0.06341
985.1,0.06372
985.3,0.06411
985.5,0.06396
985.7,0.06371
985.9,0.06378
986.1,0.06377
986.3,0.06368
986.4,0.06356
986.6,0.06364
986.8,0.06384
987.0,0.06388
987.2,0.06406
987.4,0.06383
987.6,0.06378
987.8,0.06387
988.0,0.06372
988.1,0.06357
988.3,0.0638
988.5,0.06414
988.7,0.06412
988.9,0.06411
989.1,0.06415
989.3,0.0642
989.5,0.06403
989.6,0.06377
989.8,0.06357
990.0,0.0639
990.2,0.06426
990.4,0.06444
990.6,0.06436
990.8,0.06397
991.0,0.06383
991.2,0.06383
991.4,0.06403
991.5,0.06439
991.7,0.06415
991.9,0.06414
992.1,0.06453
992.3,0.0646
992.5,0.06448
992.7,0.0646
992.9,0.06468
993.1,0.0647
993.3,0.06444
993.4,0.06432
993.6,0.06432
993.8,0.06449
994.0,0.06469
994.2,0.06458
994.4,0.06431
994.6,0.06416
994.8,0.06441
995.0,0.06448
995.2,0.0646
995.3,0.06442
995.5,0.06428
995.7,0.06446
995.9,0.06461
996.1,0.06436
996.3,0.06438
996.5,0.06466
996.7,0.06492
996.9,0.06495
997.1,0.06491
997.3,0.06482
997.5,0.06469
997.6,0.06456
997.8,0.06445
998.0,0.06455
998.2,0.06493
998.4,0.06532
998.6,0.06557
998.8,0.06538
999.0,0.06519
999.2,0.06479
999.4,0.06446
999.6,0.06478
999.8,0.06527
1000.0,0.06538
1000.1,0.06535
1000.3,0.06521
1000.5,0.06494
1000.7,0.06504
1000.9,0.06516
1001.1,0.06547
1001.3,0.06596
1001.5,0.0656
1001.7,0.06478
1001.9,0.06493
1002.1,0.06519
1002.3,0.06532
1002.5,0.06543
1002.7,0.06522
1002.9,0.06546
1003.1,0.06531
1003.2,0.06519
1003.4,0.06563
1003.6,0.06569
1003.8,0.06574
1004.0,0.06598
1004.2,0.06611
1004.4,0.06619
1004.6,0.06627
1004.8,0.06607
1005.0,0.06568
1005.2,0.06525
1005.4,0.06508
1005.6,0.0652
1005.8,0.06546
1006.0,0.06546
1006.2,0.06559
1006.4,0.06605
1006.6,0.06631
1006.8,0.06598
1006.9,0.06567
1007.1,0.06567
1007.3,0.06583
1007.5,0.06589
1007.7,0.06591
1007.9,0.06598
1008.1,0.06603
1008.3,0.06571
1008.5,0.06572
1008.7,0.06576
1008.9,0.06577
1009.1,0.06587
1009.3,0.06615
1009.5,0.06641
1009.7,0.06589
1009.9,0.06538
1010.1,0.06554
1010.3,0.06612
1010.5,0.06608
1010.7,0.06578
1010.9,0.06598
1011.1,0.06611
1011.3,0.06584
1011.5,0.06601
1011.7,0.06628
1011.9,0.06638
1012.1,0.06642
1012.3,0.06632
1012.5,0.0662
1012.7,0.06623
1012.8,0.06624
1013.0,0.06655
1013.2,0.06646
1013.4,0.06609
1013.6,0.06628
1013.8,0.0667
1014.0,0.0668
1014.2,0.06636
1014.4,0.06633
1014.6,0.06644
1014.8,0.06642
1015.0,0.06607
1015.2,0.06614
1015.4,0.06665
1015.6,0.06683
1015.8,0.06657
1016.0,0.06638
1016.2,0.06683
1016.4,0.06694
1016.6,0.06687
1016.8,0.06703
1017.0,0.06706
1017.2,0.06674
1017.4,0.06631
1017.6,0.06658
1017.8,0.06711
1018.0,0.06698
1018.2,0.06649
1018.4,0.06653
1018.6,0.06666
1018.8,0.06663
1019.0,0.0666
1019.2,0.0666
1019.4,0.06669
1019.6,0.06686
1019.8,0.06684
1020.0,0.06668
1020.2,0.06665
1020.4,0.06652
1020.6,0.06673
1020.8,0.06687
1021.0,0.06676
1021.2,0.06684
1021.4,0.06695
1021.6,0.06714
1021.8,0.06737
1022.0,0.06781
1022.2,0.06787
1022.4,0.06739
1022.6,0.067
1022.8,0.06724
1023.0,0.06721
1023.2,0.06697
1023.4,0.06716
1023.6,0.06741
1023.8,0.06734
1024.1,0.06747
1024.3,0.06769
1024.5,0.06744
1024.7,0.06709
1024.9,0.06712
1025.1,0.06721
1025.3,0.0674
1025.5,0.06752
1025.7,0.06753
1025.9,0.06751
1026.1,0.06717
1026.3,0.06726
1026.5,0.06765
1026.7,0.06754
1026.9,0.06762
1027.1,0.06786
1027.3,0.06764
1027.5,0.06749
1027.7,0.06756
1027.9,0.06788
1028.1,0.06787
1028.3,0.06797
1028.5,0.06808
1028.7,0.06808
1028.9,0.06806
1029.1,0.06815
1029.3,0.06798
1029.5,0.06782
1029.7,0.06809
1029.9,0.06833
1030.2,0.06792
1030.4,0.06789
1030.6,0.06781
1030.8,0.06789
1031.0,0.06814
1031.2,0.06807
1031.4,0.06818
1031.6,0.06799
1031.8,0.06786
1032.0,0.06823
1032.2,0.06841
1032.4,0.06831
1032.6,0.06805
1032.8,0.06808
1033.0,0.06848
1033.2,0.06853
1033.4,0.06821
1033.6,0.06778
1033.9,0.06795
1034.1,0.0681
1034.3,0.06842
1034.5,0.06868
1034.7,0.06834
1034.9,0.06823
1035.1,0.06825
1035.3,0.06834
1035.5,0.06856
1035.7,0.06863
1035.9,0.06853
1036.1,0.06839
1036.3,0.06824
1036.5,0.06834
1036.7,0.06841
1037.0,0.06853
1037.2,0.06869
1037.4,0.06891
1037.6,0.06864
1037.8,0.06851
1038.0,0.06853
1038.2,0.06851
1038.4,0.06859
1038.6,0.06876
1038.8,0.0688
1039.0,0.06852
1039.2,0.06871
1039.4,0.06898
1039.7,0.06876
1039.9,0.06883
1040.1,0.06903
1040.3,0.06895
1040.5,0.06877
1040.7,0.06901
1040.9,0.06925
1041.1,0.06926
1041.3,0.0691
1041.5,0.06882
1041.7,0.06878
1042.0,0.06888
1042.2,0.06911
1042.4,0.06915
1042.6,0.06897
1042.8,0.06891
1043.0,0.0689
1043.2,0.06874
1043.4,0.06873
1043.6,0.06886
1043.8,0.06912
1044.1,0.0692
1044.3,0.06936
1044.5,0.06927
1044.7,0.06912
1044.9,0.06915
1045.1,0.06908
1045.3,0.06912
1045.5,0.06941
1045.7,0.06959
1045.9,0.06945
1046.2,0.06938
1046.4,0.06928
1046.6,0.06935
1046.8,0.06935
1047.0,0.06916
1047.2,0.0693
1047.4,0.06935
1047.6,0.06956
1047.9,0.0696
1048.1,0.06948
1048.3,0.06947
1048.5,0.06952
1048.7,0.06954
1048.9,0.06962
1049.1,0.06967
1049.3,0.06992
1049.5,0.07002
1049.8,0.0698
1050.0,0.06969
1050.2,0.06983
1050.4,0.07011
1050.6,0.07
1050.8,0.06965
1051.0,0.0696
1051.3,0.06961
1051.5,0.06979
1051.7,0.07009
1051.9,0.07032
1052.1,0.07023
1052.3,0.06998
1052.5,0.07011
1052.7,0.07023
1053.0,0.07019
1053.2,0.0701
1053.4,0.07012
1053.6,0.07005
1053.8,0.06998
1054.0,0.07017
1054.2,0.07026
1054.5,0.07033
1054.7,0.07041
1054.9,0.07034
1055.1,0.07049
1055.3,0.07039
1055.5,0.07013
1055.7,0.07013
1056.0,0.07024
1056.2,0.07024
1056.4,0.06998
1056.6,0.06975
1056.8,0.07006
1057.0,0.07028
1057.3,0.07012
1057.5,0.07009
1057.7,0.07027
1057.9,0.07023
1058.1,0.07039
1058.3,0.0707
1058.5,0.07085
1058.8,0.07107
1059.0,0.07087
1059.2,0.07077
1059.4,0.07088
1059.6,0.07058
1059.8,0.07018
1060.1,0.07045
1060.3,0.07084
1060.5,0.07092
1060.7,0.07082
1060.9,0.07079
1061.1,0.07078
1061.4,0.07065
1061.6,0.07071
1061.8,0.07074
1062.0,0.07063
1062.2,0.07064
1062.5,0.07067
1062.7,0.07073
1062.9,0.07058
1063.1,0.07058
1063.3,0.07047
1063.5,0.07087
1063.8,0.07114
1064.0,0.07092
1064.2,0.07098
1064.4,0.07134
1064.6,0.07132
1064.9,0.07111
1065.1,0.07101
1065.3,0.07109
1065.5,0.07094
1065.7,0.07087
1065.9,0.07102
1066.2,0.07109
1066.4,0.07138
1066.6,0.07153
1066.8,0.07151
1067.0,0.07143
1067.3,0.07161
1067.5,0.07168
1067.7,0.07145
1067.9,0.07161
1068.1,0.07164
1068.4,0.07132
1068.6,0.07104
1068.8,0.07105
1069.0,0.07101
1069.2,0.07104
1069.5,0.07123
1069.7,0.07119
1069.9,0.07106
1070.1,0.07131
1070.3,0.07147
1070.6,0.0715
1070.8,0.07149
1071.0,0.0714
1071.2,0.07146
1071.5,0.0717
1071.7,0.07183
1071.9,0.07165
1072.1,0.07127
1072.3,0.0713
1072.6,0.07153
1072.8,0.07154
1073.0,0.07161
1073.2,0.07187
1073.5,0.07201
1073.7,0.07221
1073.9,0.07223
1074.1,0.072
1074.3,0.07182
1074.6,0.07189
1074.8,0.07185
1075.0,0.07176
1075.2,0.07196
1075.5,0.07199
1075.7,0.07172
1075.9,0.07198
1076.1,0.07207
1076.3,0.07209
1076.6,0.07198
1076.8,0.07184
1077.0,0.07179
1077.2,0.07207
1077.5,0.07216
1077.7,0.07191
1077.9,0.07174
1078.1,0.07192
1078.4,0.07201
1078.6,0.07194
1078.8,0.07229
1079.0,0.07247
1079.3,0.07233
1079.5,0.07215
1079.7,0.07219
1079.9,0.07218
1080.2,0.07222
1080.4,0.07232
1080.6,0.07214
1080.8,0.0723
1081.1,0.07277
1081.3,0.07269
1081.5,0.07262
1081.7,0.07261
1082.0,0.07251
1082.2,0.07235
1082.4,0.07252
1082.6,0.07285
1082.9,0.07276
1083.1,0.07245
1083.3,0.07244
1083.5,0.07249
1083.8,0.07253
1084.0,0.07258
1084.2,0.07254
1084.5,0.07258
1084.7,0.07281
1084.9,0.07307
1085.1,0.07291
1085.4,0.07279
1085.6,0.07272
1085.8,0.07269
1086.0,0.07266
1086.3,0.07282
1086.5,0.07306
1086.7,0.07295
1087.0,0.0729
1087.2,0.07312
1087.4,0.07311
1087.6,0.07316
1087.9,0.07288
1088.1,0.07269
1088.3,0.07272
1088.6,0.07272
1088.8,0.07283
1089.0,0.07316
1089.2,0.0733
1089.5,0.0732
1089.7,0.07297
1089.9,0.07299
1090.2,0.07304
1090.4,0.07319
1090.6,0.07355
1090.8,0.0736
1091.1,0.07343
1091.3,0.07331
1091.5,0.07343
1091.8,0.0736
1092.0,0.07353
1092.2,0.07374
1092.5,0.07372
1092.7,0.07337
1092.9,0.07336
1093.1,0.0735
1093.4,0.07367
1093.6,0.07355
1093.8,0.07338
1094.1,0.07326
1094.3,0.07321
1094.5,0.07338
1094.8,0.07371
1095.0,0.0736
1095.2,0.07349
1095.5,0.07333
1095.7,0.07333
1095.9,0.07354
1096.1,0.07352
1096.4,0.07353
1096.6,0.07358
1096.8,0.07373
1097.1,0.07404
1097.3,0.07411
1097.5,0.074
1097.8,0.07403
1098.0,0.07396
1098.2,0.07397
1098.5,0.07391
1098.7,0.07372
1098.9,0.07383
1099.2,0.07405
1099.4,0.07411
1099.6,0.07404
1099.9,0.07404
1100.1,0.07398
1100.3,0.07396
1100.6,0.07394
1100.8,0.07397
1101.0,0.07404
1101.3,0.07407
1101.5,0.07402
1101.7,0.07405
1102.0,0.07408
1102.2,0.07423
1102.4,0.0745
1102.7,0.07451
1102.9,0.07441
1103.1,0.07418
1103.4,0.07396
1103.6,0.07408
1103.8,0.07415
1104.1,0.07418
1104.3,0.07414
1104.6,0.07421
1104.8,0.07439
1105.0,0.0746
1105.3,0.07455
1105.5,0.07436
1105.7,0.07429
1106.0,0.07423
1106.2,0.07438
1106.4,0.07455
1106.7,0.07481
1106.9,0.07472
1107.1,0.07472
1107.4,0.07481
1107.6,0.07465
1107.9,0.07447
1108.1,0.07427
1108.3,0.07431
1108.6,0.07454
1108.8,0.07487
1109.0,0.07508
1109.3,0.07479
1109.5,0.07471
1109.8,0.0748
1110.0,0.07462
1110.2,0.07449
1110.5,0.07475
1110.7,0.07497
1110.9,0.07482
1111.2,0.0748
1111.4,0.07515
1111.7,0.07512
1111.9,0.07515
1112.1,0.07525
1112.4,0.07527
1112.6,0.07512
1112.9,0.07499
1113.1,0.07506
1113.3,0.07503
1113.6,0.07512
1113.8,0.07541
1114.0,0.07543
1114.3,0.07517
1114.5,0.07511
1114.8,0.07521
1115.0,0.07516
1115.2,0.0752
1115.5,0.07545
1115.7,0.07546
1116.0,0.07543
1116.2,0.07538
1116.4,0.07527
1116.7,0.07503
1116.9,0.07522
1117.2,0.0755
1117.4,0.07547
1117.6,0.07555
1117.9,0.07572
1118.1,0.07566
1118.4,0.07564
1118.6,0.07556
1118.9,0.07565
1119.1,0.07585
1119.3,0.07603
1119.6,0.07603
1119.8,0.07588
1120.1,0.07584
1120.3,0.07575
1120.5,0.07559
1120.8,0.07583
1121.0,0.07588
1121.3,0.0757
1121.5,0.0757
1121.8,0.07583
1122.0,0.07573
1122.2,0.07565
1122.5,0.07589
1122.7,0.07592
1123.0,0.07567
1123.2,0.07579
1123.5,0.07574
1123.7,0.07561
1123.9,0.07586
1124.2,0.0761
1124.4,0.07602
1124.7,0.07585
1124.9,0.07583
1125.2,0.07593
1125.4,0.07595
1125.7,0.0761
1125.9,0.07611
1126.1,0.07615
1126.4,0.07618
1126.6,0.07623
1126.9,0.07629
1127.1,0.07622
1127.4,0.07611
1127.6,0.07617
1127.9,0.07614
1128.1,0.07611
1128.4,0.07627
1128.6,0.07647
1128.8,0.07644
1129.1,0.0764
1129.3,0.07641
1129.6,0.07628
1129.8,0.07626
1130.1,0.07631
1130.3,0.07633
1130.6,0.07642
1130.8,0.07639
1131.1,0.0765
1131.3,0.07658
1131.6,0.07658
1131.8,0.07673
1132.0,0.07677
1132.3,0.07649
1132.5,0.07634
1132.8,0.07616
1133.0,0.07621
1133.3,0.0765
1133.5,0.07688
1133.8,0.07708
1134.0,0.07703
1134.3,0.07686
1134.5,0.07686
1134.8,0.07676
1135.0,0.07676
1135.3,0.07678
1135.5,0.07669
1135.8,0.07681
1136.0,0.07679
1136.3,0.07659
1136.5,0.07644
1136.8,0.07672
1137.0,0.07702
1137.3,0.07698
1137.5,0.07685
1137.8,0.07676
1138.0,0.07679
1138.3,0.0771
1138.5,0.07752
1138.8,0.07728
1139.0,0.07702
1139.3,0.07719
1139.5,0.0773
1139.8,0.0772
1140.0,0.07734
1140.3,0.07752
1140.5,0.07726
1140.8,0.07702
1141.0,0.07718
1141.3,0.07731
1141.5,0.07735
1141.8,0.07737
1142.0,0.07742
1142.3,0.0773
1142.5,0.07721
1142.8,0.07741
1143.0,0.07757
1143.3,0.07736
1143.5,0.07745
1143.8,0.0775
1144.0,0.07726
1144.3,0.07737
1144.5,0.07748
1144.8,0.07756
1145.0,0.07757
1145.3,0.07756
1145.6,0.07736
1145.8,0.07726
1146.1,0.07748
1146.3,0.07757
1146.6,0.07763
1146.8,0.07752
1147.1,0.07739
1147.3,0.07753
1147.6,0.07777
1147.8,0.07785
1148.1,0.07777
1148.3,0.07787
1148.6,0.07792
1148.9,0.0779
1149.1,0.07775
1149.4,0.07778
1149.6,0.07794
1149.9,0.0779
1150.1,0.07786
1150.4,0.07806
1150.6,0.07812
1150.9,0.07806
1151.1,0.07814
1151.4,0.07815
1151.7,0.07809
1151.9,0.07798
1152.2,0.07794
1152.4,0.07829
1152.7,0.0782
1152.9,0.07779
1153.2,0.07771
1153.5,0.07797
1153.7,0.07803
1154.0,0.07816
1154.2,0.07822
1154.5,0.07827
1154.7,0.0785
1155.0,0.07853
1155.3,0.0783
1155.5,0.0782
1155.8,0.07834
1156.0,0.07843
1156.3,0.07842
1156.5,0.07844
1156.8,0.0784
1157.1,0.07824
1157.3,0.07831
1157.6,0.07854
1157.8,0.07871
1158.1,0.0786
1158.3,0.07836
1158.6,0.07837
1158.9,0.07843
1159.1,0.07851
1159.4,0.07842
1159.6,0.07831
1159.9,0.07835
1160.2,0.0785
1160.4,0.07888
1160.7,0.07898
1160.9,0.07886
1161.2,0.07888
1161.5,0.07884
1161.7,0.07864
1162.0,0.07851
1162.2,0.07864
1162.5,0.07877
1162.8,0.07876
1163.0,0.07882
1163.3,0.07893
1163.5,0.07901
1163.8,0.07879
1164.1,0.07878
1164.3,0.079
1164.6,0.07906
1164.9,0.07893
1165.1,0.07891
1165.4,0.07902
1165.6,0.07908
1165.9,0.07902
1166.2,0.07905
1166.4,0.07924
1166.7,0.07935
1167.0,0.07937
1167.2,0.07937
1167.5,0.07936
1167.7,0.0792
1168.0,0.07912
1168.3,0.07912
1168.5,0.0793
1168.8,0.07919
1169.1,0.07924
1169.3,0.07942
1169.6,0.07937
1169.8,0.07949
1170.1,0.07958
1170.4,0.07952
1170.6,0.07954
1170.9,0.07958
1171.2,0.07953
1171.4,0.07932
1171.7,0.07929
1172.0,0.07942
1172.2,0.0793
1172.5,0.07926
1172.8,0.07946
1173.0,0.07966
1173.3,0.07994
1173.6,0.07983
1173.8,0.07946
1174.1,0.07947
1174.4,0.07961
1174.6,0.07965
1174.9,0.07981
1175.2,0.07991
1175.4,0.07982
1175.7,0.07961
1176.0,0.07956
1176.2,0.07974
1176.5,0.07991
1176.8,0.07993
1177.0,0.07978
1177.3,0.07986
1177.6,0.07998
1177.8,0.07993
1178.1,0.0798
1178.4,0.07987
1178.6,0.08002
1178.9,0.08016
1179.2,0.08009
1179.4,0.08
1179.7,0.07998
1180.0,0.07991
1180.2,0.07991
1180.5,0.08001
1180.8,0.08008
1181.0,0.08025
1181.3,0.0803
1181.6,0.07995
1181.8,0.07995
1182.1,0.0801
1182.4,0.08024
1182.7,0.0803
1182.9,0.08024
1183.2,0.08017
1183.5,0.0801
1183.7,0.08013
1184.0,0.08023
1184.3,0.08033
1184.5,0.08037
1184.8,0.08034
1185.1,0.08021
1185.4,0.0802
1185.6,0.08037
1185.9,0.08053
1186.2,0.08044
1186.4,0.08044
1186.7,0.0804
1187.0,0.08021
1187.3,0.08019
1187.5,0.08025
1187.8,0.08024
1188.1,0.08012
1188.3,0.08019
1188.6,0.08053
1188.9,0.08051
1189.2,0.08063
1189.4,0.0807
1189.7,0.08054
1190.0,0.08031
1190.3,0.08038
1190.5,0.08064
1190.8,0.08056
1191.1,0.08047
1191.4,0.08051
1191.6,0.08064
1191.9,0.08075
1192.2,0.08078
1192.4,0.08072
1192.7,0.08086
1193.0,0.08089
1193.3,0.08084
1193.5,0.08085
1193.8,0.08095
1194.1,0.08083
1194.4,0.08064
1194.6,0.0808
1194.9,0.08091
1195.2,0.08097
1195.5,0.08097
1195.7,0.08103
1196.0,0.08111
1196.3,0.08094
1196.6,0.08091
1196.9,0.08097
1197.1,0.08071
1197.4,0.08065
1197.7,0.08089
1198.0,0.08086
1198.2,0.08081
1198.5,0.08098
1198.8,0.0811
1199.1,0.08105
1199.3,0.08106
1199.6,0.081
1199.9,0.08113
1200.2,0.08116
1200.5,0.08107
1200.7,0.0812
1201.0,0.08144
1201.3,0.0814
1201.6,0.08134
1201.8,0.08138
1202.1,0.08139
1202.4,0.0813
1202.7,0.08137
1203.0,0.08132
1203.2,0.08135
1203.5,0.08154
1203.8,0.08167
1204.1,0.08151
1204.4,0.08131
1204.6,0.08117
1204.9,0.08132
1205.2,0.08161
1205.5,0.08167
1205.8,0.08169
1206.0,0.08175
1206.3,0.08177
1206.6,0.08174
1206.9,0.08175
1207.2,0.0818
1207.4,0.08167
1207.7,0.08163
1208.0,0.0817
1208.3,0.08179
1208.6,0.08183
1208.9,0.0819
1209.1,0.0819
1209.4,0.08188
1209.7,0.08189
1210.0,0.08195
1210.3,0.08183
1210.5,0.08173
1210.8,0.0818
1211.1,0.08163
1211.4,0.08172
1211.7,0.08202
1212.0,0.08213
1212.2,0.08216
1212.5,0.08206
1212.8,0.08206
1213.1,0.082
1213.4,0.08201
1213.7,0.082
1213.9,0.08192
1214.2,0.08195
1214.5,0.08208
1214.8,0.08231
1215.1,0.08258
1215.4,0.08255
1215.7,0.08242
1215.9,0.08244
1216.2,0.08241
1216.5,0.08243
1216.8,0.08235
1217.1,0.08231
1217.4,0.08244
1217.7,0.08265
1217.9,0.08255
1218.2,0.08244
1218.5,0.0824
1218.8,0.0824
1219.1,0.08268
1219.4,0.08278
1219.7,0.08274
1219.9,0.08277
1220.2,0.08283
1220.5,0.08285
1220.8,0.08286
1221.1,0.08282
1221.4,0.08264
1221.7,0.08254
1222.0,0.08271
1222.2,0.08296
1222.5,0.08303
1222.8,0.08292
1223.1,0.08266
1223.4,0.08281
1223.7,0.08304
1224.0,0.08315
1224.3,0.0831
1224.6,0.08294
1224.8,0.08303
1225.1,0.08318
1225.4,0.08319
1225.7,0.08308
1226.0,0.08302
1226.3,0.08311
1226.6,0.0832
1226.9,0.08337
1227.2,0.08341
1227.5,0.08329
1227.7,0.08335
1228.0,0.08336
1228.3,0.0833
1228.6,0.08327
1228.9,0.08342
1229.2,0.08354
1229.5,0.08365
1229.8,0.08349
1230.1,0.08339
1230.4,0.08339
1230.7,0.08346
1231.0,0.08363
1231.2,0.0836
1231.5,0.08362
1231.8,0.08366
1232.1,0.08359
1232.4,0.08365
1232.7,0.08366
1233.0,0.08367
1233.3,0.08387
1233.6,0.08392
1233.9,0.08376
