Composition,
Date Added,1998-04-28
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,Antigorite 600C w/C 
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Heated at 600C in vacuum with carbon for 1 week.  
Sample ID,C1AT09
Original Sample ID,AT-TXH-009
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,110.97
305.0,117.06
310.0,122.35
315.0,128.71
320.0,137.79
325.0,147.7
330.0,157.78
335.0,166.4
340.0,175.28
345.0,185.54
350.0,193.03
355.0,202.52
360.0,212.95
365.0,222.07
370.0,232.08
375.0,242.5
380.0,251.88
385.0,259.48
390.0,266.57
395.0,273.36
400.0,279.17
405.0,283.94
410.0,291.76
415.0,295.55
420.0,302.47
425.0,305.1
430.0,310.89
435.0,317.37
440.0,326.21
445.0,334.44
450.0,339.66
455.0,340.32
460.0,342.81
465.0,346.67
470.0,349.69
475.0,352.45
480.0,354.85
485.0,358.96
490.0,364.0
495.0,369.62
500.0,374.93
505.0,379.84
510.0,384.74
515.0,388.81
520.0,394.07
525.0,399.59
530.0,403.93
535.0,407.79
540.0,410.58
545.0,412.5
550.0,415.53
555.0,419.53
560.0,421.71
565.0,423.7
570.0,426.99
575.0,434.96
580.0,441.85
585.0,449.1
590.0,453.32
595.0,458.7
600.0,461.72
605.0,464.87
610.0,467.3
615.0,468.36
620.0,470.93
625.0,471.92
630.0,472.78
635.0,473.85
640.0,474.67
645.0,476.28
650.0,478.51
655.0,479.2
660.0,480.41
665.0,480.69
670.0,482.88
675.0,485.11
680.0,486.67
685.0,489.57
690.0,490.42
695.0,492.11
700.0,495.24
705.0,496.06
710.0,497.37
715.0,500.13
720.0,501.26
725.0,503.02
730.0,505.15
735.0,505.29
740.0,506.39
745.0,507.66
750.0,508.58
755.0,511.89
760.0,512.4
765.0,513.79
770.0,515.34
775.0,515.06
780.0,515.94
785.0,515.56
790.0,514.51
795.0,515.7
800.0,514.95
805.0,514.26
810.0,514.26
815.0,514.03
820.0,513.88
825.0,513.07
830.0,511.79
835.0,512.07
840.0,511.71
845.0,511.36
850.0,511.53
855.0,510.55
860.0,510.77
865.0,510.07
870.0,512.1
875.0,511.46
880.0,510.77
885.0,511.41
890.0,512.25
895.0,512.89
900.0,512.81
905.0,513.0
910.0,513.85
915.0,515.12
920.0,514.46
925.0,515.16
930.0,516.67
935.0,517.65
940.0,518.45
945.0,518.87
950.0,520.01
955.0,521.2
960.0,522.28
965.0,523.64
970.0,524.29
