Composition,
Date Added,1995-11-23
Formula,
Grain Size Description,<1.0um
Grain Size,0.0 - 1.0
Locality,
Minimum Wavelength,900
Sample Name,Carbon lampblack
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Mineral
Sample Description,
Sample ID,NALB01
Original Sample ID,LB-TXH-001
Viewing Geometry,
Wavelength,Response
900.0,8.56
900.3,8.77
900.6,8.8
901.0,8.79
901.3,8.7
901.6,8.76
901.9,8.74
902.2,8.79
902.5,9.4
902.8,9.95
903.2,9.36
903.5,8.77
903.8,9.02
904.1,8.93
904.4,9.09
904.7,8.7
905.1,8.34
905.4,8.55
905.7,8.69
906.0,8.87
906.3,9.17
906.6,9.03
907.0,8.95
907.3,9.06
907.6,8.81
907.9,8.87
908.2,8.97
908.5,9.02
908.9,9.02
909.2,8.75
909.5,8.64
909.8,8.92
910.1,8.78
910.5,8.83
910.8,9.3
911.1,9.19
911.4,8.76
911.7,8.98
912.1,9.17
912.4,8.77
912.7,8.91
913.0,9.21
913.3,9.1
913.7,9.1
914.0,9.16
914.3,9.33
914.6,9.28
915.0,9.0
915.3,8.97
915.6,9.05
915.9,9.0
916.2,9.05
916.6,9.36
916.9,9.51
917.2,9.5
917.5,9.27
917.9,9.2
918.2,9.34
918.5,9.59
918.8,9.61
919.2,9.12
919.5,8.88
919.8,9.21
920.2,9.39
920.5,9.25
920.8,9.05
921.1,9.04
921.5,9.3
921.8,9.37
922.1,9.37
922.4,9.59
922.8,9.56
923.1,9.34
923.4,9.09
923.8,9.19
924.1,9.61
924.4,9.47
924.7,9.16
925.1,9.47
925.4,9.48
925.7,9.28
926.1,9.29
926.4,9.61
926.7,9.61
927.1,9.52
927.4,9.71
927.7,9.6
928.1,9.39
928.4,9.29
928.7,9.22
929.1,9.38
929.4,9.47
929.7,9.25
930.1,9.18
930.4,9.3
930.7,9.42
931.1,9.44
931.4,9.35
931.7,9.68
932.1,10.23
932.4,10.15
932.7,9.94
933.1,9.66
933.4,9.54
933.7,9.78
934.1,9.89
934.4,9.86
934.8,9.76
935.1,9.72
935.4,9.76
935.8,9.73
936.1,9.58
936.4,9.83
936.8,10.04
937.1,10.19
937.5,9.96
937.8,9.7
938.1,9.84
938.5,10.01
938.8,9.83
939.2,9.87
939.5,10.02
939.8,10.01
940.2,9.97
940.5,9.87
940.9,9.82
941.2,9.72
941.5,9.77
941.9,10.08
942.2,10.36
942.6,10.18
942.9,9.99
943.3,10.01
943.6,10.12
943.9,10.11
944.3,9.99
944.6,9.91
945.0,10.07
945.3,10.14
945.7,10.17
946.0,10.25
946.4,10.45
946.7,10.46
947.0,10.13
947.4,9.95
947.7,9.99
948.1,10.03
948.4,10.02
948.8,9.98
949.1,10.07
949.5,10.11
949.8,10.09
950.2,10.05
950.5,10.23
950.9,10.28
951.2,10.21
951.6,10.14
951.9,10.21
952.3,10.47
952.6,10.37
953.0,10.2
953.3,10.36
953.7,10.46
954.0,10.55
954.4,10.56
954.7,10.59
955.1,10.59
955.4,10.49
955.8,10.47
956.1,10.51
956.5,10.6
956.8,10.8
957.2,11.15
957.5,11.25
957.9,10.73
958.3,10.45
958.6,10.44
959.0,10.28
959.3,10.35
959.7,10.83
960.0,10.92
960.4,10.74
960.7,10.75
961.1,10.71
961.4,10.68
961.8,10.76
962.2,10.72
962.5,10.67
962.9,10.67
963.2,10.69
963.6,10.64
964.0,10.68
964.3,10.66
964.7,10.78
965.0,10.87
965.4,10.76
965.7,10.8
966.1,10.8
966.5,10.9
966.8,11.01
967.2,10.78
967.6,10.73
967.9,10.78
968.3,10.84
968.6,10.81
969.0,10.77
969.4,10.98
969.7,11.28
970.1,11.23
970.4,10.9
970.8,10.81
971.2,10.89
971.5,11.0
971.9,10.96
972.3,10.83
972.6,10.9
973.0,11.06
973.4,10.99
973.7,10.93
974.1,10.95
974.5,11.1
974.8,11.15
975.2,11.15
975.6,11.13
975.9,11.01
976.3,10.93
976.7,10.83
977.0,10.81
977.4,10.78
977.8,10.87
978.1,10.89
978.5,10.98
978.9,11.03
979.2,11.05
979.6,10.98
980.0,11.07
980.4,11.07
980.7,11.08
981.1,11.13
981.5,11.1
981.8,11.04
982.2,10.98
982.6,10.91
983.0,10.93
983.3,11.06
983.7,11.22
984.1,11.4
984.5,11.41
984.8,11.2
985.2,11.16
985.6,11.34
986.0,11.39
986.3,11.5
986.7,11.4
987.1,11.15
987.5,11.19
987.8,11.17
988.2,11.01
988.6,11.02
989.0,11.11
989.3,11.24
989.7,11.27
990.1,11.27
990.5,11.32
990.9,11.3
991.2,11.3
991.6,11.24
992.0,11.2
992.4,11.24
992.7,11.35
993.1,11.37
993.5,11.23
993.9,11.17
994.3,11.21
994.7,11.23
995.0,11.29
995.4,11.49
995.8,11.56
996.2,11.39
996.6,11.31
996.9,11.46
997.3,11.55
997.7,11.47
998.1,11.32
998.5,11.32
998.9,11.36
999.3,11.32
999.6,11.39
1000.0,11.51
1000.4,11.56
1000.8,11.46
1001.2,11.44
1001.6,11.31
1002.0,11.24
1002.3,11.32
1002.7,11.39
1003.1,11.46
1003.5,11.46
1003.9,11.48
1004.3,11.52
1004.7,11.51
1005.1,11.54
1005.5,11.58
1005.8,11.54
1006.2,11.58
1006.6,11.67
1007.0,11.53
1007.4,11.41
1007.8,11.38
1008.2,11.47
1008.6,11.56
1009.0,11.51
1009.4,11.56
1009.8,11.62
1010.2,11.65
1010.6,11.66
1010.9,11.66
1011.3,11.61
1011.7,11.62
1012.1,11.69
1012.5,11.72
1012.9,11.68
1013.3,11.61
