Composition,
Date Added,2019-03-15
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,1428
Sample Name,Murchison <75 um 5.5-mm 500-psi pellet
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,
Sample ID,BIR1MB064P
Original Sample ID,MB-TXH-064-P
Viewing Geometry,
Wavelength,Response
1428.42,52.191
1428.82,51.626
1429.21,51.398
1429.6,52.047
1430.0,51.957
1430.39,51.704
1430.79,51.64
1431.18,51.214
1431.58,51.11
1431.97,52.144
1432.37,52.917
1432.77,52.395
1433.16,51.559
1433.56,50.969
1433.95,50.791
1434.35,50.612
1434.75,50.75
1435.14,51.164
1435.54,51.312
1435.94,51.172
1436.34,51.033
1436.74,51.02
1437.13,51.967
1437.53,52.644
1437.93,51.758
1438.33,50.965
1438.73,51.003
1439.13,51.077
1439.53,51.384
1439.93,51.529
1440.33,51.988
1440.73,51.712
1441.13,51.374
1441.53,51.572
1441.93,51.481
1442.33,51.298
1442.73,51.234
1443.13,50.876
1443.54,50.409
1443.94,50.571
1444.34,50.487
1444.74,50.925
1445.14,51.481
1445.55,52.036
1445.95,52.208
1446.35,51.821
1446.76,51.217
1447.16,51.53
1447.57,51.549
1447.97,51.659
1448.37,52.389
1448.78,52.826
1449.18,52.17
1449.59,51.657
1449.99,51.728
1450.4,51.651
1450.81,51.676
1451.21,51.393
1451.62,50.548
1452.03,50.593
1452.43,51.119
1452.84,52.088
1453.25,51.997
1453.65,51.301
1454.06,50.727
1454.47,50.299
1454.88,50.302
1455.29,50.905
1455.69,51.531
1456.1,50.948
1456.51,50.091
1456.92,50.832
1457.33,51.05
1457.74,50.86
1458.15,51.534
1458.56,51.45
1458.97,51.145
1459.38,50.657
1459.79,50.068
1460.2,50.567
1460.62,51.298
1461.03,51.772
1461.44,51.234
1461.85,50.69
1462.26,50.506
1462.68,51.122
1463.09,51.653
1463.5,51.25
1463.91,50.871
1464.33,51.052
1464.74,51.382
1465.16,50.887
1465.57,50.791
1465.98,50.783
1466.4,51.329
1466.81,51.609
1467.23,50.776
1467.64,50.89
1468.06,51.379
1468.48,51.202
1468.89,51.039
1469.31,51.748
1469.72,51.668
1470.14,50.605
1470.56,49.974
1470.97,50.584
1471.39,51.487
1471.81,51.85
1472.23,51.474
1472.65,51.165
1473.06,51.269
1473.48,51.165
1473.9,50.655
1474.32,50.6
1474.74,50.531
1475.16,50.536
1475.58,50.959
1476.0,51.24
1476.42,50.984
1476.84,50.806
1477.26,50.882
1477.68,50.786
1478.1,50.571
1478.53,50.528
1478.95,50.369
1479.37,49.752
1479.79,50.174
1480.21,49.965
1480.64,50.205
1481.06,50.906
1481.48,51.321
1481.91,51.37
1482.33,51.074
1482.75,50.733
1483.18,50.844
1483.6,50.965
1484.03,51.059
1484.45,51.151
1484.88,51.236
1485.3,50.969
1485.73,50.652
1486.15,50.753
1486.58,50.766
1487.01,50.938
1487.43,50.975
1487.86,50.388
1488.29,50.713
1488.71,50.946
1489.14,50.483
1489.57,50.037
1490.0,50.328
1490.43,50.295
1490.85,50.446
1491.28,50.971
1491.71,51.132
1492.14,50.873
1492.57,51.312
1493.0,51.497
1493.43,50.882
1493.86,50.766
1494.29,50.833
1494.72,51.188
1495.15,51.299
1495.58,50.859
1496.02,50.669
1496.45,50.593
1496.88,50.433
1497.31,50.463
1497.74,50.02
1498.18,49.597
1498.61,49.904
1499.04,50.004
1499.48,50.084
1499.91,50.86
1500.35,50.637
1500.78,50.191
1501.21,50.336
1501.65,50.525
1502.08,50.727
1502.52,50.935
1502.95,50.718
1503.39,50.5
1503.83,50.37
1504.26,50.832
1504.7,51.01
1505.14,50.407
1505.57,49.978
1506.01,50.492
1506.45,50.829
1506.89,50.762
1507.32,50.738
1507.76,50.538
1508.2,50.303
1508.64,49.829
1509.08,49.714
1509.52,50.644
1509.96,51.079
1510.4,50.667
1510.84,50.512
1511.28,50.507
1511.72,50.543
1512.16,50.73
1512.6,50.305
1513.04,49.61
1513.48,49.689
1513.93,50.401
1514.37,50.758
1514.81,50.822
1515.25,50.725
1515.7,50.2
1516.14,50.131
1516.58,50.285
1517.03,50.073
1517.47,49.947
1517.92,49.98
1518.36,49.98
1518.8,50.353
1519.25,50.441
1519.69,50.5
1520.14,50.682
1520.59,50.608
1521.03,50.502
1521.48,50.317
1521.93,50.14
1522.37,50.162
1522.82,50.32
1523.27,50.223
1523.71,50.481
1524.16,50.909
1524.61,50.647
1525.06,50.645
1525.51,50.737
1525.96,50.689
1526.41,50.398
1526.86,49.987
1527.31,50.009
1527.76,50.24
1528.21,50.55
1528.66,50.389
1529.11,50.239
1529.56,50.168
1530.01,50.101
1530.46,50.0
1530.91,49.905
1531.37,50.08
1531.82,50.477
1532.27,50.341
1532.72,50.245
1533.18,50.557
1533.63,50.491
1534.08,50.129
1534.54,49.642
1534.99,49.782
1535.45,49.623
1535.9,49.612
1536.36,50.315
1536.81,50.664
1537.27,50.519
1537.72,50.598
1538.18,50.232
1538.64,49.933
1539.09,50.301
1539.55,50.42
1540.01,49.923
1540.46,49.757
1540.92,49.897
1541.38,50.078
1541.84,50.172
1542.3,50.311
1542.76,50.304
1543.22,50.065
1543.68,49.865
1544.14,50.133
1544.59,50.85
1545.06,50.544
1545.52,49.789
1545.98,49.666
1546.44,50.194
1546.9,50.198
1547.36,50.029
1547.82,50.019
1548.29,50.246
1548.75,50.493
1549.21,50.486
1549.67,50.304
1550.14,50.21
1550.6,50.36
1551.06,50.34
1551.53,50.239
1551.99,50.481
1552.46,50.436
1552.92,50.433
1553.39,50.33
1553.85,50.119
1554.32,50.266
1554.79,50.223
1555.25,50.198
1555.72,50.169
1556.19,50.352
1556.65,50.859
1557.12,50.859
1557.59,50.361
1558.06,49.91
1558.52,49.97
1558.99,50.145
1559.46,50.093
1559.93,50.236
1560.4,50.368
1560.87,50.374
1561.34,50.181
1561.81,50.14
1562.28,50.284
1562.75,49.834
1563.22,49.686
1563.69,50.096
1564.17,50.09
1564.64,49.949
1565.11,49.792
1565.58,50.01
1566.06,50.194
1566.53,50.346
1567.0,50.369
1567.48,50.364
1567.95,50.373
1568.42,50.328
1568.9,50.065
1569.37,50.283
1569.85,50.668
1570.32,50.462
1570.8,49.773
1571.28,50.074
1571.75,50.322
1572.23,50.068
1572.71,50.084
1573.18,50.059
1573.66,49.856
1574.14,50.118
1574.62,50.464
1575.1,50.416
1575.57,50.441
1576.05,49.963
1576.53,49.802
1577.01,50.214
1577.49,50.275
1577.97,50.231
1578.45,50.383
1578.93,50.331
1579.41,50.43
1579.89,50.268
1580.38,50.024
1580.86,49.989
1581.34,50.085
1581.82,50.138
1582.31,50.454
1582.79,50.581
1583.27,50.476
1583.76,49.976
1584.24,49.597
1584.72,50.027
1585.21,50.401
1585.69,50.165
1586.18,49.955
1586.66,50.08
1587.15,50.36
1587.64,50.654
1588.12,50.311
1588.61,49.727
1589.1,49.912
1589.58,50.311
1590.07,50.078
1590.56,50.059
1591.05,50.338
1591.53,50.119
1592.02,49.705
