Composition,
Date Added,2019-09-11
Formula,
Grain Size Description,<25.0um
Grain Size,0.0 - 25.0
Locality,
Minimum Wavelength,300
Sample Name,Juvinas <25 um
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Dry sieved.   Field Museum of Natural History (ME 1366)
Sample ID,BKR1MB070A
Original Sample ID,MB-TXH-070-A
Viewing Geometry,
Wavelength,Response
300.0,132.56
305.0,134.45
310.0,137.84
315.0,141.27
320.0,145.44
325.0,150.62
330.0,157.95
335.0,165.87
340.0,176.38
345.0,187.74
350.0,200.71
355.0,215.36
360.0,231.26
365.0,248.03
370.0,264.38
375.0,279.2
380.0,291.92
385.0,302.02
390.0,310.93
395.0,319.0
400.0,326.2
405.0,333.88
410.0,342.37
415.0,347.8
420.0,352.02
425.0,355.86
430.0,358.18
435.0,363.1
440.0,367.84
445.0,371.54
450.0,374.79
455.0,377.95
460.0,381.81
465.0,385.77
470.0,385.5
475.0,387.97
480.0,388.27
485.0,390.85
490.0,393.09
495.0,397.34
500.0,398.89
505.0,396.06
510.0,395.2
515.0,404.83
520.0,409.12
525.0,411.65
530.0,413.37
535.0,414.37
540.0,415.34
545.0,414.81
550.0,415.4
555.0,418.05
560.0,420.81
565.0,424.52
570.0,424.65
575.0,426.75
580.0,428.11
585.0,428.9
590.0,429.88
595.0,431.46
600.0,432.9
605.0,433.86
610.0,434.99
615.0,435.76
620.0,437.02
625.0,438.51
630.0,440.42
635.0,441.42
640.0,441.64
645.0,443.98
650.0,444.66
655.0,445.64
660.0,447.02
665.0,447.7
670.0,449.64
675.0,451.56
680.0,452.54
685.0,454.61
690.0,455.62
695.0,457.86
700.0,458.26
705.0,460.16
710.0,461.59
715.0,462.25
720.0,464.22
725.0,463.25
730.0,463.47
735.0,464.36
740.0,464.19
745.0,464.62
750.0,463.63
755.0,463.6
760.0,463.26
765.0,461.46
770.0,458.23
775.0,455.25
780.0,451.25
785.0,446.58
790.0,440.98
795.0,435.2
800.0,426.94
805.0,419.95
810.0,412.15
815.0,402.13
820.0,392.51
825.0,383.16
830.0,373.83
835.0,364.3
840.0,355.15
845.0,345.22
850.0,336.52
855.0,327.38
860.0,318.92
865.0,311.54
870.0,303.99
875.0,296.98
880.0,290.73
