Composition,
Date Added,2005-01-06
Formula,
Grain Size Description,<100.0um
Grain Size,0.0 - 100.0
Locality,
Minimum Wavelength,1667
Sample Name,Orgueil <100 um (remixed)
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,M. Zolensky Sample  
Sample ID,BMR1MB057R
Original Sample ID,MB-TXH-057-R
Viewing Geometry,
Wavelength,Response
1666.7,47.25
1667.3,47.16
1667.8,47.07
1668.3,47.16
1668.9,47.28
1669.4,47.18
1670.0,47.1
1670.5,47.07
1671.0,47.1
1671.6,47.15
1672.1,47.19
1672.7,47.18
1673.2,47.19
1673.7,47.09
1674.3,47.09
1674.8,47.15
1675.4,47.21
1675.9,47.17
1676.4,47.13
1677.0,47.2
1677.5,47.23
1678.1,47.19
1678.6,47.13
1679.2,47.15
1679.7,47.23
1680.3,47.23
1680.8,47.25
1681.3,47.3
1681.9,47.4
1682.4,47.49
1683.0,47.36
1683.5,47.26
1684.1,47.31
1684.6,47.32
1685.2,47.33
1685.7,47.36
1686.3,47.34
1686.8,47.36
1687.3,47.4
1687.9,47.32
1688.4,47.23
1689.0,47.28
1689.6,47.37
1690.1,47.42
1690.7,47.36
1691.2,47.26
1691.8,47.32
1692.3,47.41
1692.9,47.39
1693.4,47.29
1694.0,47.29
1694.5,47.37
1695.1,47.32
1695.6,47.31
1696.2,47.33
1696.7,47.34
1697.3,47.36
1697.8,47.43
1698.4,47.5
1699.0,47.5
1699.5,47.41
1700.1,47.37
1700.6,47.36
1701.2,47.42
1701.8,47.48
1702.3,47.49
1702.9,47.48
1703.4,47.38
1704.0,47.27
1704.6,47.39
1705.1,47.46
1705.7,47.44
1706.2,47.5
1706.8,47.52
1707.4,47.57
1707.9,47.5
1708.5,47.39
1709.1,47.37
1709.6,47.38
1710.2,47.41
1710.7,47.56
1711.3,47.6
1711.9,47.52
1712.4,47.48
1713.0,47.47
1713.6,47.52
1714.1,47.55
1714.7,47.58
1715.3,47.64
1715.8,47.71
1716.4,47.66
1717.0,47.54
1717.5,47.62
1718.1,47.67
1718.7,47.63
1719.3,47.59
1719.8,47.51
1720.4,47.5
1721.0,47.47
1721.5,47.52
1722.1,47.53
1722.7,47.58
1723.3,47.57
1723.8,47.6
1724.4,47.57
1725.0,47.48
1725.5,47.48
1726.1,47.52
1726.7,47.53
1727.3,47.56
1727.8,47.52
1728.4,47.48
1729.0,47.47
1729.6,47.56
1730.2,47.62
1730.7,47.61
1731.3,47.64
1731.9,47.65
1732.5,47.62
1733.0,47.64
1733.6,47.59
1734.2,47.63
1734.8,47.68
1735.4,47.62
1735.9,47.57
1736.5,47.6
1737.1,47.67
1737.7,47.72
1738.3,47.68
1738.8,47.73
1739.4,47.68
1740.0,47.68
1740.6,47.75
1741.2,47.76
1741.8,47.73
1742.4,47.73
1742.9,47.72
1743.5,47.73
1744.1,47.77
1744.7,47.76
1745.3,47.72
1745.9,47.76
1746.5,47.81
1747.1,47.78
1747.6,47.72
1748.2,47.71
1748.8,47.75
1749.4,47.75
1750.0,47.75
1750.6,47.84
1751.2,47.87
1751.8,47.76
1752.4,47.69
1753.0,47.8
1753.6,47.85
1754.2,47.84
1754.7,47.81
1755.3,47.79
1755.9,47.83
1756.5,47.86
1757.1,47.86
1757.7,47.83
1758.3,47.85
1758.9,47.89
1759.5,47.92
1760.1,47.93
1760.7,47.85
1761.3,47.84
1761.9,47.93
1762.5,47.96
1763.1,47.87
1763.7,47.89
1764.3,47.95
1764.9,47.93
1765.5,47.98
1766.1,47.99
1766.7,47.94
1767.3,47.91
1767.9,47.9
1768.5,47.88
1769.1,47.88
1769.7,47.93
1770.3,47.97
1770.9,47.96
1771.5,47.92
1772.1,47.97
1772.7,48.01
1773.3,48.01
1773.9,47.97
1774.6,47.99
1775.2,48.05
1775.8,48.09
1776.4,48.1
1777.0,48.1
1777.6,48.03
1778.2,47.94
1778.8,47.87
1779.4,47.89
1780.0,47.94
1780.7,47.97
1781.3,47.99
1781.9,47.99
1782.5,47.98
1783.1,48.02
1783.7,48.06
1784.3,48.07
1784.9,48.05
1785.6,48.05
1786.2,48.02
1786.8,47.98
1787.4,47.97
1788.0,48.03
1788.6,48.11
1789.3,48.14
1789.9,48.06
1790.5,48.05
1791.1,48.15
1791.7,48.17
1792.3,48.11
1793.0,48.11
1793.6,48.13
1794.2,48.16
1794.8,48.18
1795.4,48.15
1796.1,48.13
1796.7,48.09
1797.3,48.07
1797.9,48.07
1798.6,48.06
1799.2,48.05
1799.8,48.12
1800.4,48.16
1801.1,48.1
1801.7,48.11
1802.3,48.15
1802.9,48.17
1803.6,48.2
1804.2,48.23
1804.8,48.27
1805.5,48.22
1806.1,48.18
1806.7,48.21
1807.3,48.25
1808.0,48.2
1808.6,48.12
1809.2,48.12
1809.9,48.22
1810.5,48.23
1811.1,48.22
1811.8,48.23
1812.4,48.24
1813.0,48.22
1813.7,48.2
1814.3,48.22
1814.9,48.27
1815.6,48.25
1816.2,48.25
1816.8,48.27
1817.5,48.27
1818.1,48.28
1818.8,48.25
1819.4,48.32
1820.0,48.35
1820.7,48.33
1821.3,48.32
1821.9,48.31
1822.6,48.3
1823.2,48.34
1823.9,48.45
1824.5,48.48
1825.2,48.41
1825.8,48.42
1826.4,48.45
1827.1,48.4
1827.7,48.36
1828.4,48.39
1829.0,48.4
1829.7,48.41
1830.3,48.39
1831.0,48.4
1831.6,48.44
1832.3,48.49
1832.9,48.48
1833.6,48.51
1834.2,48.46
1834.8,48.42
1835.5,48.42
1836.2,48.43
1836.8,48.43
1837.4,48.42
1838.1,48.46
1838.8,48.49
1839.4,48.49
1840.1,48.5
1840.7,48.45
1841.4,48.39
1842.0,48.38
1842.7,48.42
1843.3,48.45
1844.0,48.47
1844.6,48.51
1845.3,48.54
1845.9,48.55
1846.6,48.57
1847.3,48.55
1847.9,48.51
1848.6,48.54
1849.3,48.53
1849.9,48.43
1850.6,48.45
1851.2,48.51
1851.9,48.55
1852.6,48.52
1853.2,48.5
1853.9,48.56
1854.5,48.6
1855.2,48.59
1855.9,48.57
1856.5,48.63
1857.2,48.65
1857.9,48.62
1858.5,48.65
1859.2,48.63
1859.9,48.58
1860.5,48.58
1861.2,48.59
1861.9,48.6
1862.5,48.63
1863.2,48.65
1863.9,48.65
1864.5,48.68
1865.2,48.67
1865.9,48.65
1866.6,48.65
1867.2,48.7
1867.9,48.7
1868.6,48.64
1869.3,48.63
1869.9,48.59
1870.6,48.6
1871.3,48.62
1871.9,48.6
1872.6,48.62
1873.3,48.66
1874.0,48.7
1874.7,48.72
1875.3,48.72
1876.0,48.61
1876.7,48.58
1877.4,48.65
1878.1,48.66
1878.7,48.62
1879.4,48.62
1880.1,48.67
1880.8,48.69
1881.5,48.7
1882.1,48.75
1882.8,48.75
1883.5,48.73
1884.2,48.73
1884.9,48.69
1885.6,48.67
1886.3,48.69
1886.9,48.67
1887.6,48.65
1888.3,48.7
1889.0,48.72
1889.7,48.66
1890.4,48.64
1891.1,48.67
1891.8,48.71
1892.4,48.72
1893.1,48.67
1893.8,48.63
1894.5,48.65
1895.2,48.67
1895.9,48.57
1896.6,48.55
1897.3,48.55
1898.0,48.52
1898.7,48.57
1899.4,48.61
1900.1,48.61
1900.8,48.6
1901.5,48.61
1902.2,48.62
1902.9,48.6
1903.6,48.57
1904.3,48.58
1905.0,48.61
1905.7,48.59
1906.4,48.58
1907.1,48.62
1907.8,48.65
1908.5,48.61
1909.2,48.54
1909.9,48.52
1910.6,48.55
1911.3,48.53
1912.0,48.55
1912.7,48.6
1913.4,48.6
1914.1,48.58
1914.8,48.6
1915.5,48.61
1916.2,48.59
1916.9,48.51
1917.6,48.48
1918.3,48.55
1919.1,48.56
1919.8,48.48
1920.5,48.46
1921.2,48.49
1921.9,48.48
1922.6,48.46
1923.3,48.51
1924.1,48.51
1924.8,48.48
1925.5,48.46
1926.2,48.49
1926.9,48.53
1927.6,48.54
1928.3,48.55
1929.1,48.56
1929.8,48.56
1930.5,48.51
1931.2,48.45
1931.9,48.51
1932.7,48.59
1933.4,48.55
1934.1,48.5
1934.8,48.56
1935.5,48.59
1936.3,48.55
1937.0,48.48
1937.7,48.52
1938.4,48.58
1939.2,48.56
1939.9,48.52
1940.6,48.54
1941.3,48.58
1942.1,48.58
1942.8,48.61
1943.5,48.62
1944.3,48.61
1945.0,48.6
1945.7,48.6
1946.4,48.66
1947.2,48.66
1947.9,48.64
1948.6,48.63
1949.4,48.63
1950.1,48.65
1950.8,48.67
1951.6,48.67
1952.3,48.67
1953.0,48.74
1953.8,48.76
1954.5,48.77
1955.3,48.77
1956.0,48.8
1956.7,48.82
1957.5,48.8
1958.2,48.85
1958.9,48.91
1959.7,48.88
1960.4,48.81
1961.2,48.81
1961.9,48.86
1962.7,48.85
1963.4,48.81
1964.1,48.78
1964.9,48.8
1965.6,48.79
1966.4,48.73
1967.1,48.81
1967.9,48.93
1968.6,48.91
1969.4,48.85
1970.1,48.83
1970.8,48.86
1971.6,48.88
1972.3,48.9
1973.1,48.93
1973.8,48.92
1974.6,48.91
1975.4,48.93
1976.1,48.9
1976.9,48.86
1977.6,48.89
1978.4,49.0
1979.1,49.04
1979.9,49.01
1980.6,49.01
1981.4,49.0
1982.2,48.96
1982.9,48.99
1983.7,49.03
1984.4,49.05
1985.2,49.05
1985.9,48.98
1986.7,48.95
1987.5,49.01
1988.2,49.08
1989.0,49.09
1989.8,49.06
1990.5,49.1
1991.3,49.17
1992.1,49.16
1992.8,49.1
1993.6,49.07
1994.3,49.14
1995.1,49.19
1995.9,49.21
1996.7,49.21
1997.4,49.19
1998.2,49.2
1999.0,49.17
1999.7,49.14
2000.5,49.17
2001.3,49.17
2002.1,49.16
2002.8,49.2
2003.6,49.21
2004.4,49.24
2005.2,49.26
2005.9,49.26
2006.7,49.25
2007.5,49.27
2008.3,49.28
2009.0,49.27
2009.8,49.25
2010.6,49.25
2011.4,49.27
2012.2,49.27
2012.9,49.25
2013.7,49.27
2014.5,49.29
2015.3,49.3
2016.1,49.32
2016.8,49.34
2017.6,49.39
2018.4,49.41
2019.2,49.37
2020.0,49.39
2020.8,49.32
2021.6,49.29
2022.4,49.34
2023.2,49.37
2023.9,49.36
2024.7,49.38
2025.5,49.36
2026.3,49.33
2027.1,49.37
2027.9,49.4
2028.7,49.4
2029.5,49.4
2030.3,49.44
2031.1,49.48
2031.9,49.48
2032.7,49.43
2033.5,49.4
2034.3,49.46
2035.1,49.45
2035.9,49.4
2036.7,49.44
2037.5,49.47
2038.3,49.45
2039.1,49.47
2039.9,49.49
2040.7,49.48
2041.5,49.49
2042.3,49.51
2043.1,49.52
2043.9,49.48
2044.7,49.46
2045.5,49.47
2046.3,49.45
2047.1,49.47
2047.9,49.53
2048.7,49.53
2049.5,49.5
2050.4,49.53
2051.2,49.55
2052.0,49.51
2052.8,49.5
2053.6,49.56
2054.4,49.58
2055.2,49.58
2056.0,49.58
2056.9,49.59
2057.7,49.58
2058.5,49.54
2059.3,49.54
2060.1,49.6
2060.9,49.68
2061.8,49.7
2062.6,49.61
2063.4,49.57
2064.2,49.6
2065.1,49.66
2065.9,49.67
2066.7,49.69
2067.5,49.7
2068.3,49.67
2069.2,49.63
2070.0,49.64
2070.8,49.66
2071.6,49.65
2072.5,49.66
2073.3,49.66
2074.1,49.66
2075.0,49.68
2075.8,49.72
2076.6,49.69
2077.5,49.7
2078.3,49.77
2079.1,49.76
2080.0,49.75
2080.8,49.76
2081.6,49.75
2082.5,49.7
2083.3,49.66
2084.1,49.68
2085.0,49.73
2085.8,49.72
2086.7,49.7
2087.5,49.76
2088.3,49.79
2089.2,49.77
2090.0,49.78
2090.9,49.8
2091.7,49.79
2092.6,49.74
2093.4,49.72
2094.2,49.72
2095.1,49.75
2095.9,49.76
2096.8,49.74
2097.6,49.75
2098.5,49.77
2099.3,49.79
2100.2,49.82
2101.0,49.84
2101.9,49.8
2102.7,49.8
2103.6,49.83
2104.4,49.85
2105.3,49.84
2106.1,49.84
2107.0,49.85
2107.9,49.81
2108.7,49.84
2109.6,49.91
2110.4,49.89
2111.3,49.87
2112.2,49.89
2113.0,49.91
2113.9,49.9
2114.7,49.89
2115.6,49.93
2116.5,49.93
2117.3,49.93
2118.2,49.92
2119.1,49.9
2119.9,49.91
2120.8,49.89
2121.7,49.89
2122.5,49.95
2123.4,49.98
2124.3,49.97
2125.1,49.96
2126.0,49.97
2126.9,49.99
2127.8,49.98
2128.6,49.95
2129.5,49.96
2130.4,49.98
2131.3,50.0
2132.1,50.06
2133.0,50.05
2133.9,50.02
2134.8,50.03
2135.6,50.04
2136.5,50.06
2137.4,50.06
2138.3,50.06
2139.2,50.03
2140.1,50.0
2140.9,50.02
2141.8,50.1
2142.7,50.1
2143.6,50.1
2144.5,50.08
2145.4,50.09
2146.3,50.06
2147.1,50.03
2148.0,50.04
2148.9,50.1
2149.8,50.09
2150.7,50.08
2151.6,50.13
2152.5,50.16
2153.4,50.09
2154.3,50.07
2155.2,50.11
2156.1,50.13
2157.0,50.15
2157.9,50.18
2158.8,50.19
2159.7,50.21
2160.6,50.19
2161.5,50.19
2162.4,50.21
2163.3,50.21
2164.2,50.21
2165.1,50.21
2166.0,50.15
2166.9,50.15
2167.8,50.16
2168.7,50.15
2169.6,50.14
2170.5,50.19
2171.4,50.22
2172.3,50.18
2173.3,50.18
2174.2,50.21
2175.1,50.22
2176.0,50.27
2176.9,50.25
2177.8,50.25
2178.7,50.29
2179.6,50.29
2180.6,50.28
2181.5,50.25
2182.4,50.24
2183.3,50.29
2184.2,50.28
2185.1,50.26
2186.1,50.25
2187.0,50.28
2187.9,50.34
2188.8,50.35
2189.8,50.33
2190.7,50.34
2191.6,50.34
2192.6,50.35
2193.5,50.38
2194.4,50.39
2195.3,50.34
2196.3,50.32
2197.2,50.32
2198.1,50.33
2199.1,50.34
2200.0,50.33
2200.9,50.36
2201.9,50.37
2202.8,50.38
2203.7,50.35
2204.7,50.36
2205.6,50.35
2206.5,50.32
2207.5,50.36
2208.4,50.4
2209.4,50.41
2210.3,50.41
2211.3,50.38
2212.2,50.36
2213.1,50.4
2214.1,50.37
2215.0,50.33
2216.0,50.34
2216.9,50.35
2217.9,50.41
2218.8,50.48
2219.8,50.49
2220.7,50.42
2221.7,50.41
2222.6,50.41
2223.6,50.43
2224.5,50.4
2225.5,50.37
2226.4,50.39
2227.4,50.4
2228.4,50.42
2229.3,50.43
2230.3,50.43
2231.2,50.44
2232.2,50.43
2233.1,50.43
2234.1,50.42
2235.1,50.42
2236.0,50.42
2237.0,50.41
2238.0,50.39
2238.9,50.37
2239.9,50.4
2240.9,50.41
2241.8,50.4
2242.8,50.39
2243.8,50.39
2244.8,50.4
2245.7,50.4
2246.7,50.37
2247.7,50.33
2248.6,50.34
2249.6,50.39
2250.6,50.38
2251.6,50.37
2252.6,50.35
2253.5,50.35
2254.5,50.35
2255.5,50.38
2256.5,50.39
2257.5,50.36
2258.4,50.36
2259.4,50.37
2260.4,50.36
2261.4,50.34
2262.4,50.32
2263.4,50.32
2264.4,50.32
2265.4,50.34
2266.3,50.29
2267.3,50.29
2268.3,50.32
2269.3,50.3
2270.3,50.29
2271.3,50.28
2272.3,50.24
2273.3,50.27
2274.3,50.3
2275.3,50.28
2276.3,50.26
2277.3,50.23
2278.3,50.2
2279.3,50.18
2280.3,50.21
2281.3,50.23
2282.3,50.21
2283.3,50.2
2284.3,50.21
2285.3,50.18
2286.3,50.14
2287.3,50.1
2288.4,50.09
2289.4,50.08
2290.4,50.07
2291.4,50.05
2292.4,50.02
2293.4,50.01
2294.4,50.0
2295.4,50.01
2296.5,50.0
2297.5,49.98
2298.5,49.96
2299.5,49.94
2300.5,49.94
2301.6,49.99
2302.6,49.97
2303.6,49.95
2304.6,49.97
2305.6,49.99
2306.7,49.95
2307.7,49.92
2308.7,49.91
2309.8,49.89
2310.8,49.85
2311.8,49.85
2312.9,49.86
2313.9,49.85
2314.9,49.84
2315.9,49.84
2317.0,49.81
2318.0,49.76
2319.1,49.76
2320.1,49.8
2321.1,49.86
2322.2,49.88
2323.2,49.91
2324.3,49.91
2325.3,49.9
2326.3,49.9
2327.4,49.91
2328.4,49.92
2329.5,49.99
