Composition,
Date Added,1992-10-26
Formula,
Grain Size Description,<100.0um
Grain Size,0.0 - 100.0
Locality,
Minimum Wavelength,300
Sample Name,ALH 83100
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,From Michael Zolensky   
Sample ID,C1MB51
Original Sample ID,MB-TXH-051
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,22.76
305.0,23.44
310.0,23.21
315.0,23.8
320.0,24.12
325.0,25.6
330.0,26.05
335.0,26.04
340.0,27.14
345.0,27.73
350.0,28.55
355.0,30.08
360.0,30.88
365.0,32.13
370.0,33.28
375.0,34.39
380.0,35.71
385.0,37.28
390.0,38.11
395.0,39.64
400.0,40.41
405.0,42.17
410.0,43.29
415.0,44.4
420.0,45.86
425.0,47.08
430.0,48.38
435.0,49.67
440.0,50.63
445.0,51.74
450.0,52.86
455.0,53.85
460.0,54.67
465.0,55.5
470.0,56.79
475.0,57.92
480.0,58.91
485.0,59.93
490.0,60.82
495.0,61.84
500.0,62.9
505.0,63.73
510.0,64.89
515.0,65.5
520.0,66.41
525.0,66.91
530.0,67.52
535.0,68.47
540.0,68.95
545.0,69.42
550.0,69.87
555.0,70.43
560.0,70.58
565.0,70.93
570.0,71.15
575.0,71.23
580.0,71.27
585.0,71.31
590.0,71.38
595.0,71.35
600.0,71.22
605.0,71.08
610.0,71.27
615.0,71.02
620.0,70.87
625.0,70.87
630.0,70.8
635.0,70.6
640.0,70.34
645.0,70.24
650.0,70.11
655.0,69.86
660.0,69.68
665.0,69.5
670.0,69.04
675.0,69.01
680.0,68.93
685.0,68.74
690.0,68.5
695.0,68.4
700.0,68.42
705.0,68.31
710.0,68.22
715.0,68.24
720.0,68.21
725.0,68.22
730.0,68.3
735.0,68.55
740.0,68.41
745.0,68.53
750.0,68.73
755.0,69.2
760.0,69.72
765.0,69.46
770.0,70.01
775.0,70.11
780.0,70.6
785.0,70.85
790.0,71.2
795.0,71.22
800.0,71.64
805.0,72.62
810.0,72.41
815.0,72.24
820.0,72.83
825.0,73.24
830.0,73.71
835.0,73.0
840.0,73.3
845.0,73.18
850.0,74.21
855.0,73.62
860.0,74.45
865.0,74.62
870.0,74.4
875.0,73.55
880.0,74.02
885.0,74.37
890.0,73.97
895.0,74.19
900.0,74.41
905.0,74.54
910.0,74.67
915.0,75.05
920.0,75.04
925.0,75.18
930.0,74.96
935.0,75.33
940.0,75.8
945.0,75.95
950.0,75.69
955.0,76.35
960.0,76.61
965.0,76.7
970.0,76.81
975.0,77.14
980.0,77.62
985.0,77.53
990.0,77.99
995.0,78.1
1000.0,78.29
1005.0,78.63
1010.0,78.66
1015.0,78.64
1020.0,78.85
1025.0,79.18
1030.0,79.79
1035.0,79.73
1040.0,79.95
1045.0,80.12
1050.0,80.05
1055.0,80.29
1060.0,80.43
1065.0,80.53
1070.0,80.56
1075.0,80.71
1080.0,80.93
1085.0,80.72
1090.0,81.07
1095.0,81.26
1100.0,81.28
1105.0,81.21
1110.0,81.66
1115.0,81.71
1120.0,81.56
1125.0,81.97
1130.0,82.06
1135.0,82.15
1140.0,82.64
1145.0,82.5
1150.0,82.77
1155.0,82.82
1160.0,83.28
1165.0,83.63
1170.0,83.67
1175.0,84.17
1180.0,84.03
1185.0,84.51
1190.0,84.76
1195.0,84.95
1200.0,85.19
1205.0,85.54
1210.0,85.72
1215.0,85.93
