Composition,
Date Added,2019-04-17
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,250
Sample Name,ALH 83108 (CO3) <125 um pellet irradiated with pulse laser with 5 mJ energy
Maximum Wavelength,2500
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1MB79P05
Original Sample ID,MB-TXH-079-P05
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
250.0,44.423
255.0,44.532
260.0,44.628
265.0,44.617
270.0,45.27
275.0,46.078
280.0,46.733
285.0,47.279
290.0,47.59
295.0,47.975
300.0,48.589
305.0,49.405
310.0,50.508
315.0,51.824
320.0,53.201
325.0,54.602
330.0,56.161
335.0,57.8
340.0,59.49
345.0,61.232
350.0,62.991
355.0,64.803
360.0,66.662
365.0,68.465
370.0,70.323
375.0,72.145
380.0,73.915
385.0,75.693
390.0,77.728
395.0,79.521
400.0,81.225
405.0,82.916
410.0,84.817
415.0,86.678
420.0,88.449
425.0,90.225
430.0,91.898
435.0,93.511
440.0,94.924
445.0,96.172
450.0,97.28
455.0,98.356
460.0,99.471
465.0,100.623
470.0,101.698
475.0,102.868
480.0,104.024
485.0,105.105
490.0,106.328
495.0,107.59
500.0,108.943
505.0,110.295
510.0,111.625
515.0,112.948
520.0,114.226
525.0,115.317
530.0,116.474
535.0,117.55
540.0,118.6
545.0,119.557
550.0,120.5
555.0,121.468
560.0,122.327
565.0,123.119
570.0,124.005
575.0,125.016
580.0,125.557
585.0,126.411
590.0,127.127
595.0,127.81
600.0,128.513
605.0,129.16
610.0,129.871
615.0,130.569
620.0,131.14
625.0,131.674
630.0,132.233
635.0,132.754
640.0,133.28
645.0,133.864
650.0,134.325
655.0,134.696
660.0,135.186
665.0,135.59
670.0,135.968
675.0,136.259
680.0,136.634
685.0,136.904
690.0,137.218
695.0,137.512
700.0,137.768
705.0,137.96
710.0,138.191
715.0,138.398
720.0,138.73
725.0,138.831
730.0,139.024
735.0,139.175
740.0,139.327
745.0,139.507
750.0,139.716
755.0,139.801
760.0,139.934
765.0,140.005
770.0,140.147
775.0,140.226
780.0,140.175
785.0,140.195
790.0,140.198
795.0,140.122
800.0,139.994
805.0,139.939
810.0,140.034
815.0,139.839
820.0,139.652
825.0,139.509
830.0,139.39
835.0,139.303
840.0,139.196
845.0,139.152
850.0,139.094
855.0,139.031
860.0,138.921
865.0,138.876
870.0,138.849
875.0,138.563
880.0,138.433
885.0,138.127
890.0,138.147
895.0,137.883
900.0,137.638
905.0,137.452
910.0,137.278
915.0,137.145
920.0,137.023
925.0,136.928
930.0,136.834
935.0,136.724
940.0,136.514
945.0,136.361
950.0,136.212
955.0,136.075
960.0,135.978
965.0,135.792
970.0,135.56
975.0,135.257
980.0,135.087
985.0,134.846
990.0,134.608
995.0,134.322
1000.0,134.074
1005.0,133.885
1010.0,133.724
1015.0,133.498
1020.0,133.302
1025.0,133.147
1030.0,133.0
1035.0,132.848
1040.0,132.836
1045.0,132.734
1050.0,132.743
1055.0,132.714
1060.0,132.671
1065.0,132.614
1070.0,132.678
1075.0,132.729
1080.0,132.875
1085.0,133.11
1090.0,133.389
1095.0,133.71
1100.0,134.046
1105.0,134.386
1110.0,134.697
1115.0,134.839
1120.0,135.162
1125.0,135.496
1130.0,135.746
1135.0,135.859
1140.0,136.09
1145.0,136.33
1150.0,136.53
1155.0,136.704
1160.0,136.775
1165.0,136.815
1170.0,136.956
1175.0,137.185
1180.0,137.192
1185.0,137.429
1190.0,137.686
1195.0,137.944
1200.0,138.036
1205.0,138.167
1210.0,138.3
1215.0,138.37
1220.0,138.365
1225.0,138.468
1230.0,138.535
1235.0,138.614
1240.0,138.554
1245.0,138.607
1250.0,138.688
1255.0,138.621
1260.0,138.625
1265.0,138.806
1270.0,138.937
1275.0,139.026
1280.0,139.122
1285.0,139.302
1290.0,139.522
1295.0,139.498
1300.0,139.843
1305.0,140.024
1310.0,140.213
1315.0,140.383
1320.0,140.521
1325.0,140.66
1330.0,140.79
1335.0,140.951
1340.0,141.119
1345.0,141.261
1350.0,141.427
1355.0,141.576
1360.0,141.72
1365.0,141.83
1370.0,141.967
1375.0,142.081
1380.0,142.249
1385.0,142.426
1390.0,142.633
1395.0,142.85
1400.0,143.05
1405.0,143.223
1410.0,143.384
1415.0,143.528
1420.0,143.661
1425.0,143.777
1430.0,144.072
1435.0,144.342
1440.0,144.357
1445.0,144.477
1450.0,144.695
1455.0,144.858
1460.0,144.999
1465.0,145.129
1470.0,145.236
1475.0,145.315
1480.0,145.402
1485.0,145.408
1490.0,145.358
1495.0,145.253
1500.0,145.266
1505.0,145.364
1510.0,145.492
1515.0,145.542
1520.0,145.422
1525.0,145.369
1530.0,145.476
1535.0,145.549
1540.0,145.648
1545.0,145.778
1550.0,145.725
1555.0,145.695
1560.0,145.556
1565.0,145.421
1570.0,145.413
1575.0,145.278
1580.0,145.244
1585.0,145.208
1590.0,145.074
1595.0,144.987
1600.0,144.961
1605.0,145.038
1610.0,145.015
1615.0,144.977
1620.0,145.037
1625.0,144.954
1630.0,144.751
1635.0,144.712
1640.0,144.682
1645.0,144.72
1650.0,144.682
1655.0,144.74
1660.0,144.779
1665.0,144.729
1670.0,144.557
1675.0,144.219
1680.0,144.161
1685.0,144.248
1690.0,144.029
1695.0,144.007
1700.0,143.677
1705.0,143.449
1710.0,143.306
1715.0,143.303
1720.0,143.014
1725.0,142.736
1730.0,142.171
1735.0,141.863
1740.0,141.489
1745.0,141.256
1750.0,141.012
1755.0,140.805
1760.0,140.727
1765.0,140.716
1770.0,140.663
1775.0,140.303
1780.0,140.023
1785.0,139.918
1790.0,139.769
1795.0,139.586
1800.0,139.449
1805.0,139.3
1810.0,139.158
1815.0,138.929
1820.0,138.715
1825.0,138.49
1830.0,138.23
1835.0,137.973
1840.0,137.76
1845.0,137.565
1850.0,137.386
1855.0,137.242
1860.0,137.105
1865.0,136.953
1870.0,136.77
1875.0,136.553
1880.0,136.353
1885.0,136.188
1890.0,136.058
1895.0,135.954
1900.0,135.912
1905.0,135.802
1910.0,135.629
1915.0,135.537
1920.0,135.451
1925.0,135.308
1930.0,135.238
1935.0,135.224
1940.0,135.165
1945.0,135.119
1950.0,135.043
1955.0,135.165
1960.0,134.725
1965.0,134.733
1970.0,134.562
1975.0,134.435
1980.0,134.531
1985.0,134.689
1990.0,134.534
1995.0,134.435
2000.0,134.465
2005.0,134.408
2010.0,134.437
2015.0,134.146
2020.0,134.009
2025.0,134.043
2030.0,133.737
2035.0,133.812
2040.0,133.737
2045.0,133.685
2050.0,133.732
2055.0,133.642
2060.0,133.446
2065.0,133.224
2070.0,133.178
2075.0,133.179
2080.0,133.066
2085.0,132.944
2090.0,132.686
2095.0,132.431
2100.0,132.293
2105.0,132.562
2110.0,132.529
2115.0,132.651
2120.0,132.741
2125.0,132.657
2130.0,132.778
2135.0,132.762
2140.0,132.706
2145.0,132.396
2150.0,132.155
2155.0,132.286
2160.0,132.347
2165.0,132.622
2170.0,132.9
2175.0,133.003
2180.0,133.267
2185.0,133.464
2190.0,133.364
2195.0,133.385
2200.0,133.335
2205.0,133.797
2210.0,133.404
2215.0,133.632
2220.0,133.737
2225.0,133.768
2230.0,133.892
2235.0,133.332
2240.0,133.792
2245.0,133.742
2250.0,133.922
2255.0,134.171
2260.0,133.969
2265.0,134.192
2270.0,134.052
2275.0,134.136
2280.0,134.024
2285.0,134.046
2290.0,134.448
2295.0,134.028
2300.0,134.483
2305.0,134.563
2310.0,134.568
2315.0,134.594
2320.0,133.648
2325.0,134.067
2330.0,133.942
2335.0,133.685
2340.0,133.707
2345.0,133.59
2350.0,133.4
2355.0,133.392
2360.0,133.244
2365.0,132.964
2370.0,132.878
2375.0,133.31
2380.0,132.869
2385.0,133.218
2390.0,132.857
2395.0,133.153
2400.0,133.791
2405.0,133.646
2410.0,133.642
2415.0,133.707
2420.0,133.629
2425.0,134.361
2430.0,134.189
2435.0,134.783
2440.0,134.538
2445.0,134.503
2450.0,133.979
2455.0,133.978
2460.0,133.624
2465.0,133.804
2470.0,133.431
2475.0,133.712
2480.0,134.27
2485.0,133.839
2490.0,132.859
2495.0,133.633
2500.0,133.405
