Composition,
Date Added,1993-04-28
Formula,
Grain Size Description,<75.0um
Grain Size,45.0 - 75.0
Locality,
Minimum Wavelength,300
Sample Name,"ALH-78132,61"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,dry-sieved   
Sample ID,CCMB72
Original Sample ID,MB-TXH-072-C
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,50.75
305.0,51.43
310.0,52.24
315.0,53.15
320.0,54.86
325.0,56.26
330.0,57.77
335.0,59.46
340.0,61.31
345.0,63.39
350.0,66.06
355.0,69.05
360.0,72.19
365.0,75.78
370.0,79.78
375.0,83.57
380.0,87.27
385.0,91.21
390.0,95.4
395.0,99.77
400.0,103.99
405.0,107.74
410.0,111.49
415.0,115.56
420.0,119.23
425.0,122.04
430.0,125.65
435.0,128.7
440.0,131.9
445.0,134.93
450.0,137.58
455.0,139.42
460.0,141.54
465.0,143.08
470.0,145.14
475.0,146.64
480.0,147.53
485.0,148.81
490.0,150.16
495.0,152.42
500.0,154.08
505.0,153.53
510.0,154.1
515.0,159.23
520.0,161.59
525.0,162.84
530.0,165.14
535.0,166.56
540.0,167.61
545.0,168.15
550.0,168.79
555.0,170.31
560.0,171.91
565.0,173.3
570.0,174.26
575.0,175.17
580.0,175.86
585.0,176.79
590.0,177.7
595.0,178.55
600.0,179.95
605.0,179.9
610.0,181.67
615.0,183.2
620.0,184.94
625.0,186.94
630.0,188.78
635.0,190.51
640.0,192.41
645.0,194.22
650.0,195.55
655.0,197.33
660.0,198.62
665.0,200.05
670.0,201.48
675.0,202.96
680.0,204.89
685.0,206.0
690.0,207.53
695.0,208.83
700.0,210.06
705.0,211.67
710.0,213.21
715.0,214.34
720.0,215.67
725.0,216.67
730.0,217.61
735.0,218.25
740.0,218.34
745.0,218.29
750.0,217.81
755.0,217.04
760.0,215.68
765.0,213.28
770.0,211.16
775.0,208.35
780.0,204.59
785.0,200.0
790.0,195.69
795.0,190.56
800.0,184.8
805.0,179.27
810.0,172.6
815.0,165.75
820.0,159.45
825.0,153.1
830.0,146.98
835.0,141.46
840.0,135.96
845.0,130.79
850.0,125.92
855.0,121.45
860.0,117.51
865.0,114.01
870.0,110.26
875.0,107.14
880.0,104.12
885.0,101.49
890.0,99.1
895.0,97.46
900.0,95.67
905.0,94.33
910.0,93.1
915.0,92.08
920.0,91.7
925.0,91.28
930.0,90.89
935.0,90.99
940.0,91.19
945.0,91.73
950.0,92.72
955.0,93.67
960.0,95.1
965.0,96.71
970.0,98.96
975.0,101.22
980.0,103.93
985.0,107.01
990.0,110.6
995.0,114.54
1000.0,118.85
1005.0,123.15
1010.0,128.04
1015.0,133.1
1020.0,138.3
1025.0,143.39
1030.0,149.17
1035.0,154.43
1040.0,160.19
1045.0,165.59
1050.0,171.1
1055.0,176.27
1060.0,181.55
1065.0,186.69
1070.0,191.76
1075.0,196.56
1080.0,201.19
1085.0,205.52
1090.0,209.72
1095.0,213.84
1100.0,217.79
1105.0,221.01
1110.0,224.51
1115.0,227.45
1120.0,230.49
1125.0,233.2
1130.0,235.02
1135.0,237.04
1140.0,239.19
1145.0,240.6
1150.0,242.35
1155.0,243.66
1160.0,244.86
1165.0,245.87
1170.0,246.95
1175.0,247.79
1180.0,248.97
1185.0,249.66
1190.0,250.65
1195.0,251.25
1200.0,252.66
1205.0,253.33
1210.0,254.14
1215.0,254.81
1220.0,255.93
1225.0,257.01
1230.0,257.83
1235.0,258.98
1240.0,259.57
1245.0,260.7
1250.0,261.92
1255.0,262.75
1260.0,264.3
1265.0,265.55
1270.0,266.48
1275.0,267.37
1280.0,268.9
1285.0,269.92
1290.0,270.96
1295.0,272.38
1300.0,273.59
1305.0,274.62
1310.0,275.72
1315.0,277.23
1320.0,278.54
1325.0,279.49
1330.0,280.64
1335.0,282.02
1340.0,282.82
1345.0,283.96
1350.0,284.5
1355.0,284.66
1360.0,285.86
1365.0,286.04
1370.0,286.73
1375.0,287.51
1380.0,288.34
1385.0,288.1
1390.0,289.02
1395.0,288.69
1400.0,288.8
1405.0,289.0
1410.0,289.08
1415.0,288.78
1420.0,288.96
1425.0,288.62
1430.0,288.11
1435.0,288.39
1440.0,287.83
1445.0,287.33
